idGrade,x,y,t_med_medio,t_max_med,t_min_med,v_vento_medio,v_rajada_max
102,-59.0,3.0,27.365,37.535,20.487,1.382,28.446
103,-57.0,3.0,27.066,36.855,20.506,1.167,22.144
104,-56.5,3.0,27.065,36.706,20.715,1.188,21.891
105,-56.0,3.0,26.926,36.539,20.601,1.172,21.642
106,-55.5,3.0,26.81,36.372,20.633,1.167,21.967
107,-55.0,3.0,26.817,36.231,20.701,1.213,22.276
108,-54.5,3.0,26.823,35.913,20.793,1.331,22.723
109,-54.0,3.0,26.858,35.779,20.876,1.394,22.738
110,-53.5,3.0,26.856,35.643,20.918,1.432,22.574
111,-53.0,3.0,26.791,35.408,20.927,1.471,22.538
112,-52.5,3.0,26.796,35.446,20.701,1.457,22.279
113,-52.0,3.0,26.762,35.333,20.709,1.536,22.741
114,-51.5,3.0,26.771,35.327,20.705,1.521,22.554
115,-51.0,3.0,26.787,35.341,20.633,1.514,22.222
116,-50.5,3.0,26.812,35.482,20.64,1.533,21.737
117,-50.0,3.0,26.849,35.451,20.625,1.573,21.467
118,-70.0,2.5,25.89,35.857,19.929,0.781,36.357
119,-69.5,2.5,25.89,35.857,19.929,0.781,36.357
120,-69.0,2.5,25.981,36.207,19.264,0.768,32.969
121,-68.5,2.5,25.978,36.194,19.288,0.768,33.096
122,-68.0,2.5,25.977,36.191,19.294,0.768,33.125
123,-67.5,2.5,26.183,36.414,19.437,0.893,33.742
124,-67.0,2.5,26.21,36.464,19.397,0.904,33.529
125,-66.5,2.5,26.259,36.552,19.329,0.924,33.161
126,-65.0,2.5,26.587,37.104,19.168,1.029,29.467
127,-64.5,2.5,26.766,37.251,19.404,1.091,27.552
128,-64.0,2.5,26.861,37.37,19.428,1.144,27.592
129,-63.5,2.5,26.967,37.482,19.511,1.212,28.12
130,-63.0,2.5,27.092,37.591,19.667,1.302,29.262
131,-62.5,2.5,27.248,37.644,20.0,1.346,29.37
132,-62.0,2.5,27.416,37.777,20.245,1.502,32.163
133,-61.5,2.5,27.584,37.894,20.515,1.656,35.038
134,-61.0,2.5,27.729,38.027,20.686,1.811,38.048
135,-60.5,2.5,27.749,38.044,20.711,1.833,38.463
136,-60.0,2.5,27.642,37.948,20.622,1.691,35.598
137,-59.5,2.5,27.466,37.685,20.525,1.5,31.134
138,-59.0,2.5,27.325,37.491,20.466,1.332,27.423
139,-58.5,2.5,27.228,37.339,20.446,1.214,24.748
140,-58.0,2.5,27.149,37.152,20.478,1.149,22.974
141,-57.5,2.5,27.094,36.979,20.474,1.132,21.825
142,-57.0,2.5,27.064,36.885,20.495,1.12,21.214
143,-56.5,2.5,26.965,36.708,20.654,1.107,20.834
144,-56.0,2.5,26.907,36.542,20.658,1.109,21.082
145,-55.5,2.5,26.848,36.417,20.654,1.12,21.024
146,-55.0,2.5,26.816,36.285,20.668,1.179,21.693
147,-54.5,2.5,26.879,35.996,20.794,1.294,21.814
148,-54.0,2.5,26.857,35.875,20.824,1.323,21.96
149,-53.5,2.5,26.846,35.677,20.857,1.416,22.493
150,-53.0,2.5,26.803,35.558,20.711,1.409,22.087
151,-52.5,2.5,26.757,35.475,20.683,1.468,22.582
152,-52.0,2.5,26.748,35.443,20.656,1.491,22.991
153,-51.5,2.5,26.741,35.407,20.596,1.515,23.15
154,-51.0,2.5,26.765,35.494,20.612,1.534,22.775
155,-50.5,2.5,26.799,35.446,20.635,1.548,22.333
156,-50.0,2.5,26.829,35.447,20.612,1.545,21.69
157,-49.5,2.5,26.851,35.469,20.532,1.579,21.445
158,-70.5,2.0,25.89,35.857,19.929,0.781,36.357
159,-70.0,2.0,25.89,35.857,19.929,0.781,36.357
160,-69.5,2.0,25.89,35.857,19.929,0.781,36.357
161,-69.0,2.0,25.968,36.157,19.358,0.769,33.452
162,-68.5,2.0,25.962,36.135,19.402,0.77,33.672
163,-68.0,2.0,25.959,36.121,19.426,0.771,33.799
164,-67.5,2.0,26.106,36.281,19.527,0.86,34.232
165,-67.0,2.0,26.126,36.32,19.488,0.867,34.027
166,-66.5,2.0,26.23,36.478,19.439,0.905,32.796
167,-65.5,2.0,26.467,36.865,19.334,0.967,29.477
168,-65.0,2.0,26.615,37.067,19.341,1.012,27.724
169,-64.5,2.0,26.708,37.217,19.277,1.05,27.041
170,-64.0,2.0,26.799,37.347,19.258,1.094,26.756
171,-63.5,2.0,26.915,37.399,19.428,1.105,25.775
172,-63.0,2.0,27.034,37.501,19.611,1.159,26.149
173,-62.5,2.0,27.153,37.593,19.797,1.256,27.625
174,-62.0,2.0,27.281,37.648,20.088,1.342,29.083
175,-61.5,2.0,27.42,37.771,20.321,1.472,31.57
176,-61.0,2.0,27.542,37.867,20.489,1.599,33.954
177,-60.5,2.0,27.561,37.876,20.533,1.612,34.181
178,-60.0,2.0,27.479,37.728,20.498,1.522,31.646
179,-59.5,2.0,27.359,37.549,20.455,1.363,28.121
180,-59.0,2.0,27.263,37.394,20.446,1.235,25.326
181,-58.5,2.0,27.169,37.223,20.456,1.155,23.371
182,-58.0,2.0,27.107,37.059,20.454,1.117,21.935
183,-57.5,2.0,27.044,36.916,20.475,1.077,20.976
184,-57.0,2.0,26.966,36.825,20.498,1.064,20.5
185,-56.5,2.0,26.925,36.686,20.535,1.067,20.545
186,-56.0,2.0,26.913,36.56,20.673,1.095,20.636
187,-55.5,2.0,26.877,36.444,20.667,1.118,20.845
188,-55.0,2.0,26.897,36.215,20.733,1.206,20.934
189,-54.5,2.0,26.853,36.062,20.722,1.242,21.237
190,-54.0,2.0,26.873,35.833,20.832,1.331,21.661
191,-53.5,2.0,26.816,35.69,20.76,1.339,21.712
192,-53.0,2.0,26.777,35.612,20.665,1.411,22.303
193,-52.5,2.0,26.759,35.551,20.641,1.464,23.021
194,-52.0,2.0,26.712,35.451,20.642,1.515,23.803
195,-51.5,2.0,26.713,35.495,20.665,1.544,23.923
196,-51.0,2.0,26.725,35.474,20.628,1.566,23.788
197,-50.5,2.0,26.772,35.461,20.615,1.563,22.986
198,-50.0,2.0,26.81,35.461,20.552,1.562,22.115
199,-49.5,2.0,26.844,35.537,20.461,1.571,21.334
200,-49.0,2.0,26.878,35.544,20.408,1.596,20.783
201,-70.5,1.5,25.89,35.857,19.929,0.781,36.357
202,-70.0,1.5,25.89,35.857,19.929,0.781,36.357
203,-69.5,1.5,25.966,36.148,19.377,0.77,33.545
204,-69.0,1.5,25.956,36.111,19.446,0.771,33.901
205,-68.5,1.5,25.947,36.077,19.51,0.772,34.225
206,-68.0,1.5,25.941,36.052,19.558,0.773,34.47
207,-67.5,1.5,26.079,36.206,19.648,0.848,34.221
208,-67.0,1.5,26.09,36.229,19.62,0.851,34.076
209,-66.5,1.5,26.134,36.317,19.536,0.865,33.538
210,-66.0,1.5,26.231,36.528,19.399,0.88,31.797
211,-65.5,1.5,26.46,36.789,19.398,0.955,29.525
212,-65.0,1.5,26.554,37.013,19.254,0.977,27.569
213,-64.5,1.5,26.651,37.192,19.123,1.008,26.434
214,-64.0,1.5,26.75,37.331,19.109,1.01,25.027
215,-63.5,1.5,26.864,37.401,19.247,1.029,24.181
216,-63.0,1.5,26.94,37.476,19.33,1.077,24.533
217,-62.5,1.5,27.028,37.491,19.59,1.108,24.777
218,-62.0,1.5,27.132,37.554,19.811,1.193,26.151
219,-61.5,1.5,27.223,37.623,20.044,1.261,27.457
220,-61.0,1.5,27.302,37.668,20.213,1.329,28.685
221,-60.5,1.5,27.306,37.612,20.304,1.331,28.571
222,-60.0,1.5,27.301,37.519,20.362,1.301,26.917
223,-59.5,1.5,27.236,37.411,20.374,1.213,24.956
224,-59.0,1.5,27.164,37.313,20.357,1.123,23.016
225,-58.5,1.5,27.103,37.18,20.398,1.072,21.803
226,-58.0,1.5,27.051,36.989,20.452,1.05,20.812
227,-57.5,1.5,26.981,36.903,20.482,1.031,20.23
228,-57.0,1.5,26.956,36.819,20.509,1.03,19.903
229,-56.5,1.5,26.92,36.688,20.546,1.041,20.048
230,-56.0,1.5,26.908,36.566,20.671,1.072,20.208
231,-55.5,1.5,26.903,36.442,20.703,1.123,20.4
232,-55.0,1.5,26.894,36.241,20.705,1.173,20.464
