idGrade,x,y
254,-66.0,1.0
255,-65.5,1.0
256,-65.0,1.0
257,-64.5,1.0
258,-64.0,1.0
259,-63.5,1.0
260,-63.0,1.0
261,-62.5,1.0
262,-62.0,1.0
263,-61.5,1.0
264,-61.0,1.0
265,-60.5,1.0
266,-60.0,1.0
267,-59.5,1.0
268,-59.0,1.0
269,-58.5,1.0
270,-58.0,1.0
271,-57.5,1.0
272,-57.0,1.0
273,-56.5,1.0
274,-56.0,1.0
275,-55.5,1.0
276,-55.0,1.0
277,-54.5,1.0
278,-54.0,1.0
279,-53.5,1.0
280,-53.0,1.0
281,-52.5,1.0
282,-52.0,1.0
283,-51.5,1.0
284,-51.0,1.0
285,-50.5,1.0
286,-50.0,1.0
287,-49.5,1.0
288,-49.0,1.0
289,-71.0,0.5
290,-70.5,0.5
291,-70.0,0.5
292,-69.5,0.5
293,-69.0,0.5
294,-68.5,0.5
295,-68.0,0.5
296,-67.5,0.5
297,-67.0,0.5
298,-66.5,0.5
299,-66.0,0.5
300,-65.5,0.5
301,-65.0,0.5
302,-64.5,0.5
303,-64.0,0.5
304,-63.5,0.5
305,-63.0,0.5
306,-62.5,0.5
307,-62.0,0.5
308,-61.5,0.5
309,-61.0,0.5
310,-60.5,0.5
311,-60.0,0.5
312,-59.5,0.5
313,-59.0,0.5
314,-58.5,0.5
315,-58.0,0.5
316,-57.5,0.5
317,-57.0,0.5
318,-56.5,0.5
319,-56.0,0.5
320,-55.5,0.5
321,-55.0,0.5
322,-54.5,0.5
323,-54.0,0.5
324,-53.5,0.5
325,-53.0,0.5
326,-52.5,0.5
327,-52.0,0.5
328,-51.5,0.5
329,-51.0,0.5
330,-50.5,0.5
331,-50.0,0.5
332,-49.5,0.5
333,-49.0,0.5
334,-48.5,0.5
335,-48.0,0.5
336,-71.0,0.0
337,-70.5,0.0
338,-70.0,0.0
339,-69.5,0.0
340,-69.0,0.0
341,-68.5,0.0
342,-68.0,0.0
343,-67.5,0.0
344,-67.0,0.0
345,-66.5,0.0
346,-66.0,0.0
347,-65.5,0.0
348,-65.0,0.0
349,-64.5,0.0
350,-64.0,0.0
351,-63.5,0.0
352,-63.0,0.0
353,-62.5,0.0
354,-62.0,0.0
355,-61.5,0.0
356,-61.0,0.0
357,-60.5,0.0
358,-60.0,0.0
