,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,ini_temp,fim_temp,ini_vento,fim_vento
118,16384913,Goiânia,Inmet,-49.22022,-16.64284,727.3,2007-06-12,2021-08-25,2007-06-12,2021-08-25
119,5184067,Crateús,Inmet,-40.67213,-5.18664,298.19,2011-10-31,2021-08-25,2011-11-02,2021-08-25
120,7074140,Picos,Inmet,-41.40404,-7.07102,232.91,2011-11-01,2021-08-25,2012-09-18,2021-08-25
121,21344524,Varginha,Inmet,-45.4043,-21.56651,949.78,2006-12-04,2021-08-25,2006-12-04,2021-08-25
122,20444638,Passos,Inmet,-46.63392,-20.74524,781.7,2006-12-04,2021-08-25,2006-12-04,2021-08-25
126,17434906,Morrinhos,Inmet,-49.1017,-17.74507,751.09,2007-06-12,2021-08-25,2007-06-12,2021-08-25
133,21475613,Jardim,Inmet,-56.13772,-21.47853,252.47,2011-08-03,2021-08-25,2011-08-03,2021-08-25
134,8613859,Floresta,Inmet,-38.58406,-8.59879,327.42,2011-11-03,2021-08-25,2011-11-03,2021-08-25
139,16674861,Silvânia,Inmet,-48.61817,-16.67979,952.0,2010-10-11,2021-08-25,2010-10-11,2021-08-25
146,14234213,Brumado,Inmet,-41.67228,-14.18189,473.37,2011-10-24,2021-08-25,2011-10-24,2021-08-25
147,19884441,Florestal,Inmet,-44.41688,-19.8854,753.5,2008-06-05,2021-08-25,2008-06-05,2021-08-25
148,20554854,Barretos,Inmet,-48.545,-20.55918,534.36,2010-06-19,2021-08-18,2010-06-19,2021-08-18
151,10733810,Poço Verde,Inmet,-38.10839,-10.73802,367.01,2011-11-25,2021-08-25,2011-11-28,2021-08-25
155,11324186,Irecê,Inmet,-41.8645,-11.329,768.42,2011-12-15,2021-08-25,2011-12-15,2021-08-25
156,18464059,Mantena,Inmet,-40.98651,-18.78062,254.91,2007-08-25,2021-08-25,2007-08-25,2021-08-25
170,8147034,Feijó,Inmet,-70.34359,-8.14265,157.17,2011-12-15,2021-07-07,2011-12-15,2021-07-07
172,19984395,Belo Horizonte - Cercadinho,Inmet,-43.9586,-19.98,1214.0,2013-12-27,2021-08-25,2013-12-27,2021-08-25
177,16214507,São Romão,Inmet,-45.1238,-16.36275,490.29,2007-07-03,2021-08-25,2007-07-03,2021-08-25
178,15454127,Águas Vermelhas,Inmet,-41.45779,-15.75154,754.07,2007-09-08,2021-08-25,2007-09-08,2021-08-25
181,16344129,Itaobim,Inmet,-41.48559,-16.57567,271.63,2007-09-05,2021-08-25,2007-09-04,2021-08-25
182,15434226,Rio Pardo de Minas,Inmet,-42.43575,-15.72314,850.06,2007-11-19,2021-08-25,2007-11-19,2021-08-25
184,16094218,Salinas,Inmet,-42.31027,-16.16033,487.14,2007-09-13,2021-08-25,2007-09-13,2021-08-25
185,17474607,João Pinheiro,Inmet,-46.11939,-17.78477,877.05,2007-07-08,2021-08-25,2007-07-08,2021-08-25
186,19444208,Caratinga,Inmet,-42.13715,-19.73576,609.25,2007-07-08,2021-08-25,2007-07-08,2021-08-25
200,13003961,Amargosa,Inmet,-39.61688,-13.00947,397.8,2011-11-28,2021-08-25,2011-11-28,2021-08-25
203,14005212,Água Boa,Inmet,-52.21169,-14.0165,440.0,2011-10-23,2021-07-27,2011-10-23,2021-07-27
205,23594852,Itapeva,Inmet,-48.88582,-23.98192,743.33,2006-12-04,2021-08-25,2006-12-04,2021-08-25
207,25005051,Ivaí,Inmet,-50.85385,-25.01076,803.58,1991-02-18,2021-08-25,1991-02-18,2021-08-25
211,15365721,Porto Estrela,Inmet,-57.22585,-15.32473,147.75,2011-10-27,2021-08-25,2011-10-27,2021-08-25
213,27805033,Lages,Inmet,-50.33546,-27.80223,952.7,2014-11-06,2021-08-25,2014-11-06,2021-07-07
216,16164759,Luziânia,Inmet,-47.96696,-16.26054,1000.82,2007-06-12,2021-08-25,2007-06-12,2021-08-25
218,15565008,Goiás,Inmet,-50.14143,-15.93973,512.86,2007-08-26,2021-08-25,2007-08-26,2021-08-25
219,14584932,Itapaci,Inmet,-49.53998,-14.97979,551.16,2007-07-03,2021-08-25,2007-07-03,2021-08-25
220,17555143,Jataí,Inmet,-51.71747,-17.92362,670.08,2007-07-03,2021-08-25,2007-07-03,2021-08-25
221,14054621,Posse,Inmet,-46.3665,-14.08921,830.0,2007-07-03,2021-08-25,2007-07-03,2021-08-25
224,8584811,Pedro Afonso,Inmet,-48.17726,-8.96868,189.71,2007-03-14,2021-08-25,2007-03-14,2021-08-25
227,16585149,Caiapônia,Inmet,-51.81757,-16.96684,740.1,2007-07-08,2021-08-25,2007-07-08,2021-08-25
228,14074731,Alto Paraíso de Goiás,Inmet,-47.52326,-14.13307,1264.7,2007-07-03,2021-08-25,2007-07-03,2021-08-25
229,17475057,Rio Verde,Inmet,-50.96487,-17.7853,780.11,2007-07-03,2021-08-25,2007-07-03,2021-08-25
230,16285044,Paraúna,Inmet,-50.42545,-16.96254,678.74,2008-03-27,2021-08-25,2008-03-27,2021-08-25
232,17184817,Pires do Rio,Inmet,-48.28413,-17.30415,757.27,2007-10-30,2021-08-25,2007-10-30,2021-08-25
233,18154794,Catalão,Inmet,-47.92761,-18.15478,900.72,2008-02-25,2021-08-25,2008-02-25,2021-08-25
234,18254912,Itumbiara,Inmet,-49.19206,-18.40976,491.17,2000-01-01,2021-07-19,2000-01-01,2021-07-19
235,16474737,Cristalina,Inmet,-47.61297,-16.7849,1211.08,2007-12-13,2021-08-25,2007-12-11,2021-08-25
236,15934813,Gama (Ponte Alta),Inmet,-48.13738,-15.93514,990.0,2014-09-30,2021-08-25,2014-09-30,2021-08-25
256,1184755,Castanhal,Inmet,-47.94797,-1.30088,47.13,2011-10-23,2021-08-25,2011-10-23,2021-08-25
257,2324413,São Luís,Inmet,-44.21358,-2.52677,54.8,2011-10-23,2021-08-25,2011-10-23,2021-08-25
263,2414816,Tomé Açu,Inmet,-48.36059,-2.59261,42.95,2011-12-15,2021-08-25,2011-12-15,2021-08-25
266,6635195,São Félix do Xingu,Inmet,-51.95697,-6.63962,211.0,2000-01-02,2021-08-25,2000-01-01,2021-08-25
269,4244479,Bacabal,Inmet,-44.79499,-4.24306,22.33,2011-11-19,2021-08-25,2011-12-01,2021-08-25
270,5504523,Barra do Corda,Inmet,-45.23705,-5.50678,154.19,2011-11-04,2021-08-25,2011-12-15,2021-08-25
272,9104593,Alto Parnaíba,Inmet,-45.93202,-9.1082,283.69,2000-01-01,2021-08-25,2000-01-01,2021-08-25
274,5554745,Imperatriz,Inmet,-47.45979,-5.55572,117.96,2011-12-15,2021-08-25,2011-12-15,2021-08-25
282,4254992,Novo Repartimento,Inmet,-49.93931,-4.24399,100.76,2011-11-17,2021-08-25,2012-02-09,2020-07-16
287,8254927,Conceição do Araguaia,Inmet,-49.28277,-8.30361,175.74,2011-12-15,2021-08-25,2011-12-15,2021-08-25
288,705142,Porto Grande,Inmet,-51.42778,0.70278,74.09,2011-12-15,2021-08-24,2011-12-15,2021-08-24
291,8033457,Recife,Inmet,-34.95924,-8.05928,11.3,2011-10-23,2021-08-25,2011-10-23,2021-08-25
292,9403542,Maceió,Inmet,-35.7702,-9.55117,84.12,2011-10-23,2021-08-25,2011-10-23,2021-08-25
293,5543512,Natal,Inmet,-35.20792,-5.83719,47.46,2011-10-18,2021-08-25,2011-10-18,2021-08-25
