idGrade,x,y,t_med_medio,v_vento_medio
168,-55.0,0.5,26.887,1.145
169,-54.5,0.5,26.862,1.207
170,-54.0,0.5,26.855,1.282
171,-53.5,0.5,26.802,1.342
172,-53.0,0.5,26.78,1.433
173,-52.5,0.5,26.722,1.512
174,-52.0,0.5,26.628,1.602
175,-51.5,0.5,26.441,1.618
176,-51.0,0.5,26.825,1.773
177,-50.5,0.5,26.908,1.714
178,-70.0,0.0,25.903,0.768
179,-69.5,0.0,25.907,0.77
180,-69.0,0.0,25.975,0.798
181,-68.5,0.0,25.951,0.793
182,-68.0,0.0,25.924,0.787
183,-67.5,0.0,25.9,0.783
184,-67.0,0.0,25.893,0.782
185,-66.5,0.0,25.955,0.799
186,-66.0,0.0,26.108,0.836
187,-65.5,0.0,26.297,0.878
188,-65.0,0.0,26.474,0.885
189,-64.5,0.0,26.582,0.885
190,-64.0,0.0,26.623,0.855
191,-63.5,0.0,26.609,0.831
192,-63.0,0.0,26.616,0.817
193,-62.5,0.0,26.67,0.838
194,-62.0,0.0,26.765,0.868
195,-61.5,0.0,26.866,0.899
196,-61.0,0.0,26.913,0.916
197,-60.5,0.0,26.95,0.944
198,-60.0,0.0,26.958,0.929
199,-59.5,0.0,26.985,0.918
200,-59.0,0.0,26.985,0.899
201,-58.5,0.0,26.964,0.895
202,-58.0,0.0,26.973,0.906
203,-57.5,0.0,26.969,0.906
204,-57.0,0.0,26.943,0.91
205,-56.5,0.0,26.918,0.924
206,-56.0,0.0,26.902,0.97
207,-55.5,0.0,26.892,1.051
208,-55.0,0.0,26.879,1.131
209,-54.5,0.0,26.874,1.235
210,-54.0,0.0,26.841,1.31
211,-53.5,0.0,26.797,1.359
212,-53.0,0.0,26.766,1.414
213,-52.5,0.0,26.763,1.497
214,-52.0,0.0,26.794,1.617
215,-51.5,0.0,27.021,1.853
216,-51.0,0.0,27.32,2.098
217,-50.5,0.0,27.014,1.756
218,-50.0,0.0,26.919,1.588
219,-49.5,0.0,26.967,1.575
220,-69.5,-0.5,25.901,0.77
221,-69.0,-0.5,25.978,0.8
222,-68.5,-0.5,25.956,0.794
223,-68.0,-0.5,25.93,0.789
224,-67.5,-0.5,25.907,0.784
225,-67.0,-0.5,25.912,0.786
226,-66.5,-0.5,25.982,0.805
227,-66.0,-0.5,26.145,0.84
228,-65.5,-0.5,26.349,0.863
229,-65.0,-0.5,26.51,0.877
230,-64.5,-0.5,26.598,0.864
231,-64.0,-0.5,26.584,0.825
232,-63.5,-0.5,26.533,0.776
233,-63.0,-0.5,26.479,0.745
234,-62.5,-0.5,26.539,0.767
235,-62.0,-0.5,26.692,0.825
236,-61.5,-0.5,26.807,0.866
237,-61.0,-0.5,26.871,0.9
238,-60.5,-0.5,26.884,0.889
239,-60.0,-0.5,26.894,0.876
240,-59.5,-0.5,26.915,0.864
241,-59.0,-0.5,26.927,0.856
242,-58.5,-0.5,26.949,0.855
243,-58.0,-0.5,26.973,0.862
244,-57.5,-0.5,26.97,0.861
245,-57.0,-0.5,26.96,0.863
246,-56.5,-0.5,26.922,0.867
247,-56.0,-0.5,26.883,0.903
248,-55.5,-0.5,26.865,0.99
249,-55.0,-0.5,26.867,1.12
250,-54.5,-0.5,26.881,1.277
251,-54.0,-0.5,26.865,1.376
252,-53.5,-0.5,26.822,1.408
253,-53.0,-0.5,26.781,1.41
254,-52.5,-0.5,26.774,1.457
255,-52.0,-0.5,26.816,1.536
256,-51.5,-0.5,26.935,1.673
257,-51.0,-0.5,27.009,1.734
258,-50.5,-0.5,26.916,1.579
259,-50.0,-0.5,26.902,1.496
260,-49.5,-0.5,26.983,1.545
261,-49.0,-0.5,27.178,1.746
262,-48.5,-0.5,27.444,2.078
263,-69.0,-1.0,25.987,0.804
264,-68.5,-1.0,25.972,0.799
265,-68.0,-1.0,25.971,0.794
266,-67.5,-1.0,25.95,0.79
267,-67.0,-1.0,25.976,0.795
268,-66.5,-1.0,26.088,0.83
269,-66.0,-1.0,26.225,0.859
270,-65.5,-1.0,26.391,0.871
271,-65.0,-1.0,26.543,0.881
272,-64.5,-1.0,26.609,0.863
273,-64.0,-1.0,26.579,0.818
274,-63.5,-1.0,26.493,0.754
275,-63.0,-1.0,26.402,0.707
276,-62.5,-1.0,26.478,0.739
277,-62.0,-1.0,26.673,0.814
278,-61.5,-1.0,26.796,0.857
279,-61.0,-1.0,26.847,0.878
280,-60.5,-1.0,26.835,0.854
281,-60.0,-1.0,26.831,0.834
282,-59.5,-1.0,26.86,0.828
283,-59.0,-1.0,26.903,0.826
284,-58.5,-1.0,26.962,0.818
285,-58.0,-1.0,27.001,0.825
286,-57.5,-1.0,27.009,0.818
287,-57.0,-1.0,26.986,0.81
288,-56.5,-1.0,26.929,0.802
289,-56.0,-1.0,26.844,0.79
290,-55.5,-1.0,26.807,0.845
291,-55.0,-1.0,26.84,1.079
292,-54.5,-1.0,26.921,1.394
293,-54.0,-1.0,26.95,1.569
294,-53.5,-1.0,26.877,1.531
295,-53.0,-1.0,26.786,1.428
296,-52.5,-1.0,26.75,1.405
297,-52.0,-1.0,26.749,1.414
298,-51.5,-1.0,26.778,1.432
299,-51.0,-1.0,26.778,1.391
300,-50.5,-1.0,26.758,1.325
