,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
80,398.0,16384913.0,Goiânia,Inmet,M,-49.22022,-16.64284,727.3,2001-05-30
81,399.0,5184067.0,Crateús,Inmet,M,-40.67213,-5.18664,298.19,2008-12-11
82,400.0,7074140.0,Picos,Inmet,M,-41.40404,-7.07102,232.91,2008-12-12
83,401.0,21344524.0,Varginha,Inmet,M,-45.4043,-21.56651,949.78,2006-07-13
84,402.0,20444638.0,Passos,Inmet,M,-46.63392,-20.74524,781.7,2006-07-16
86,407.0,3734101.0,Tianguá,Inmet,M,-41.01189,-3.73216,756.0,2018-03-14
87,414.0,13264908.0,Porangatu,Inmet,M,-45.4236,-13.43333,396.0,2001-06-04
90,420.0,15444436.0,Januaria,Inmet,M,-44.36631,-15.44809,468.0,2016-06-23
91,458.0,17434906.0,Morrinhos,Inmet,M,-49.1017,-17.74507,751.09,2001-05-30
94,461.0,10114818.0,Palmas,Inmet,M,-48.30181,-10.19074,291.87,2004-12-17
95,462.0,12364752.0,Paranã,Inmet,M,-47.87192,-12.61489,284.96,2005-02-28
96,465.0,18524644.0,Patos de Minas,Inmet,M,-46.44061,-18.52067,950.0,2017-05-12
97,468.0,21925049.0,Tupã,Inmet,M,-50.49025,-21.92725,498.0,2017-05-12
98,520.0,7074036.0,Campos Sales,Inmet,M,-40.36268,-7.07773,577.95,2008-03-07
99,592.0,16844244.0,Aracuai,Inmet,M,-42.44056,-16.84889,308.0,2017-05-19
100,596.0,21475613.0,Jardim,Inmet,M,-56.13772,-21.47853,252.47,2011-08-03
103,612.0,8613859.0,Floresta,Inmet,M,-38.58406,-8.59879,327.42,2008-09-17
105,614.0,9803661.0,Arapiraca,Inmet,M,-36.6192,-9.80455,236.84,2008-04-27
106,615.0,21464757.0,São Simão,Inmet,M,-47.57944,-21.46111,620.0,2019-07-03
107,617.0,22145376.0,Angélica,Inmet,M,-53.76374,-22.14808,347.0,2018-04-09
108,624.0,21245645.0,Bonito,Inmet,M,-56.45056,-21.24667,329.0,2018-08-06
109,652.0,16674861.0,Silvânia,Inmet,M,-48.61817,-16.67979,952.0,2010-10-11
110,653.0,11594684.0,Dianópolis,Inmet,M,-46.84721,-11.59445,727.87,2008-08-30
111,654.0,11194961.0,Formoso do Araguaia,Inmet,M,-49.60822,-11.88738,215.2,2008-05-01
112,655.0,5644811.0,Araguatins,Inmet,M,-48.11184,-5.64373,130.71,2009-03-12
113,656.0,15524756.0,Águas Emendadas,Inmet,M,-47.6258,-15.59649,1030.36,2008-10-02
115,658.0,3124008.0,Acaraú,Inmet,M,-40.08729,-3.12107,67.15,2009-04-22
