idGrade,x,y,t_med_medio,v_vento_medio
168,-65.0,2.0,26.615,1.012
169,-64.5,2.0,26.708,1.05
170,-64.0,2.0,26.799,1.094
171,-63.5,2.0,26.915,1.105
172,-63.0,2.0,27.034,1.159
173,-62.5,2.0,27.153,1.256
174,-62.0,2.0,27.281,1.342
175,-61.5,2.0,27.42,1.472
176,-61.0,2.0,27.542,1.599
177,-60.5,2.0,27.561,1.612
178,-60.0,2.0,27.479,1.522
179,-59.5,2.0,27.359,1.363
180,-59.0,2.0,27.263,1.235
181,-58.5,2.0,27.169,1.155
182,-58.0,2.0,27.107,1.117
183,-57.5,2.0,27.044,1.077
184,-57.0,2.0,26.966,1.064
185,-56.5,2.0,26.925,1.067
186,-56.0,2.0,26.913,1.095
187,-55.5,2.0,26.877,1.118
188,-55.0,2.0,26.897,1.206
189,-54.5,2.0,26.853,1.242
190,-54.0,2.0,26.873,1.331
191,-53.5,2.0,26.816,1.339
192,-53.0,2.0,26.777,1.411
193,-52.5,2.0,26.759,1.464
194,-52.0,2.0,26.712,1.515
195,-51.5,2.0,26.713,1.544
196,-51.0,2.0,26.725,1.566
197,-50.5,2.0,26.772,1.563
198,-50.0,2.0,26.81,1.562
199,-49.5,2.0,26.844,1.571
200,-49.0,2.0,26.878,1.596
201,-70.5,1.5,25.89,0.781
202,-70.0,1.5,25.89,0.781
203,-69.5,1.5,25.966,0.77
204,-69.0,1.5,25.956,0.771
205,-68.5,1.5,25.947,0.772
206,-68.0,1.5,25.941,0.773
207,-67.5,1.5,26.079,0.848
208,-67.0,1.5,26.09,0.851
209,-66.5,1.5,26.134,0.865
210,-66.0,1.5,26.231,0.88
211,-65.5,1.5,26.46,0.955
212,-65.0,1.5,26.554,0.977
213,-64.5,1.5,26.651,1.008
214,-64.0,1.5,26.75,1.01
215,-63.5,1.5,26.864,1.029
216,-63.0,1.5,26.94,1.077
217,-62.5,1.5,27.028,1.108
218,-62.0,1.5,27.132,1.193
219,-61.5,1.5,27.223,1.261
220,-61.0,1.5,27.302,1.329
221,-60.5,1.5,27.306,1.331
222,-60.0,1.5,27.301,1.301
223,-59.5,1.5,27.236,1.213
224,-59.0,1.5,27.164,1.123
225,-58.5,1.5,27.103,1.072
226,-58.0,1.5,27.051,1.05
227,-57.5,1.5,26.981,1.031
228,-57.0,1.5,26.956,1.03
229,-56.5,1.5,26.92,1.041
230,-56.0,1.5,26.908,1.072
231,-55.5,1.5,26.903,1.123
232,-55.0,1.5,26.894,1.173
233,-54.5,1.5,26.87,1.208
234,-54.0,1.5,26.831,1.284
235,-53.5,1.5,26.814,1.355
236,-53.0,1.5,26.772,1.421
237,-52.5,1.5,26.725,1.48
238,-52.0,1.5,26.667,1.539
239,-51.5,1.5,26.614,1.58
240,-51.0,1.5,26.671,1.586
241,-50.5,1.5,26.756,1.593
