,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
55,105,23564656,SÃO PAULO - Vila Formosa,CEMADEN,P,-46.564,-23.561,,2015-08-24
56,106,23564678,OSASCO - Jaguaribe,CEMADEN,P,-46.784,-23.561,,2015-08-24
57,107,23484686,SANTANA DE PARNAÍBA - Alphaville,CEMADEN,P,-46.857,-23.479,,2015-08-25
58,109,22874375,ITAGUAÍ- Engenho,CEMADEN,P,-43.7537,-22.8654,,2015-04-29
59,111,13444915,PORANGATU- Sede da Prefeitura,CEMADEN,P,-49.149,-13.441,,2015-02-06
60,113,9153553,MATRIZ DE CAMARAGIBE - Matriz de Camaragibe,CEMADEN,H,-35.5391,-9.1596,,2017-04-01
61,116,22954731,MONTE MOR - Parque Imperial,CEMADEN,P,-47.31,-22.9522,,2014-12-01
62,119,24084671,MONGAGUÁ - Agua Branca,CEMADEN,P,-46.717,-24.083,,2014-10-02
63,120,22814342,NILÓPOLIS- Prefeitura Municipal,CEMADEN,P,-43.4195,-22.8078,,2015-05-13
64,121,22804320,RIO DE JANEIRO- CIEP Dr. João Ramos de Souza,CEMADEN,P,-43.2032,-22.7961,,2015-05-14
65,122,9313648,QUEBRANGULO - Quebrangulo,CEMADEN,H,-36.4733,-9.3197,,2017-06-01
66,125,28495230,SOLEDADE - Centro,CEMADEN,P,-52.30609,-28.49815,,2017-10-04
67,134,23304805,QUADRA - Centro,CEMADEN,P,-48.0526,-23.29928,,2015-09-23
68,135,19974414,BETIM - Guanabara,CEMADEN,P,-44.139,-19.968,,2014-08-04
69,140,9384054,PETROLINA - Samu,CEMADEN,P,-40.53536,-9.37883,,2016-05-16
70,142,13373908,VALENÇA - Valença,CEMADEN,H,-39.0767,-13.3664,,2015-04-10
71,143,6584864,ARAGUANÃ - Prefeitura Municipal,CEMADEN,P,-48.64368,-6.58226,,2015-04-16
72,145,16283902,SANTA CRUZ CABRÁLIA - Santa Cruz de Cabrália,CEMADEN,H,-39.0237,-16.2835,,2015-04-23
73,146,8073489,RECIFE - Boa Vista,CEMADEN,P,-34.891,-8.069,,2015-04-24
74,147,22924321,RIO DE JANEIRO- Rio Comprido,CEMADEN,P,-43.212,-22.924,,2015-05-20
75,148,22924385,ITAGUAÍ- Ilha da Madeira,CEMADEN,P,-43.8504,-22.9213,,2015-04-28
76,149,22724347,NOVA IGUAÇU- Escola Municipal Herbert Moses,CEMADEN,P,-43.4682,-22.7232,,2015-05-06
77,151,22814336,RIO DE JANEIRO- Pavuna,CEMADEN,P,-43.3584,-22.8076,,2015-05-04
78,152,8723614,JUREMA - Centro,CEMADEN,P,-36.143,-8.72,,2015-04-24
79,153,20264204,MANHUAÇU - Manhuaçu,CEMADEN,H,-42.0391,-20.26119,,2015-04-24
80,154,8513538,RIBEIRÃO - Bandeirante,CEMADEN,P,-35.385,-8.507,,2015-04-25
81,155,23594682,COTIA - Santa Isabel,CEMADEN,P,-46.817,-23.585,,2015-04-28
82,156,23484609,MOGI DAS CRUZES - Vila Andrade,CEMADEN,P,-46.08597,-23.48276,,2015-04-28
83,157,20764167,GUAÇUÍ - Cândido Machado,CEMADEN,P,-41.669,-20.759,,2015-02-06
84,158,22534373,MENDES - ,CEMADEN,P,-43.7321,-22.5273,,2015-04-28
85,159,4843779,JAGUARUANA - Centro,CEMADEN,P,-37.786,-4.838,,2015-04-29
86,160,19894409,CONTAGEM - Bairro Praia,CEMADEN,P,-44.095,-19.894,,2015-05-08
87,162,22884330,RIO DE JANEIRO- Pilares,CEMADEN,P,-43.2992,-22.8752,,2015-05-22
88,164,16674929,GOIÂNIA - Corrego Cascavel,CEMADEN,H,-49.29707,-16.67425,,2017-03-01
89,166,23464630,ITAQUAQUECETUBA - Sabesp Reservatório CR4,CEMADEN,P,-46.3039,-23.4639,,2015-05-11
90,167,23094720,INDAIATUBA - Fatec,CEMADEN,P,-47.20264,-23.08602,,2015-05-12
91,168,23724741,PIEDADE - Base Operacional Rodoviária 5º BPRv 1ª Cia base 79/01,CEMADEN,P,-47.40705,-23.71786,,2015-05-12
92,170,23964750,TAPIRAÍ - Escritório da Sabesp,CEMADEN,P,-47.50284,-23.96485,,2015-05-12
93,172,22984430,ANGRA DOS REIS - Angra dos Reis,CEMADEN,H,-44.2958,-22.9785,,2015-05-13
94,173,23094697,LOUVEIRA - Delegacia de Policia,CEMADEN,P,-46.97175,-23.09357,,2015-05-13
95,175,22854382,ITAGUAÍ - E.E.M FAZENDA SANTA CANDIDA,CEMADEN,P,-43.82,-22.848,,2015-05-20
96,177,5354913,MARABÁ- Hospital Materno,CEMADEN,P,-49.13402,-5.34923,,2015-04-11
97,178,6064989,PARAUAPEBAS- Reservatório de Água,CEMADEN,P,-49.88672,-6.05574,,2015-04-11
98,179,3934171,PIRACURUCA - ADAPI,CEMADEN,P,-41.70804,-3.92589,,2015-05-26
99,180,2904178,PARNAÍBA - Mercado Municipal,CEMADEN,P,-41.78113,-2.9046,,2015-05-26
100,181,2904177,PARNAÍBA - Capitania dos Portos,CEMADEN,P,-41.77271,-2.89786,,2015-05-26
101,182,2934134,CAJUEIRO DA PRAIA - Secretaria Municipal da Saude,CEMADEN,P,-41.34261,-2.93035,,2015-05-26
102,183,3814182,SÃO JOSÉ DO DIVINO - UBAS,CEMADEN,P,-41.82273,-3.80998,,2015-05-26
103,185,26175039,CANOINHAS- Prefeitura Municipal,CEMADEN,P,-50.39492,-26.17522,,2015-02-24
104,186,4024208,BATALHA - Prefeitura Municipal,CEMADEN,P,-42.07596,-4.02391,,2015-05-26
105,187,7244455,URUÇUÍ - UniversidadeEstadualdoPiaui,CEMADEN,P,-44.55334,-7.24092,,2015-05-27
106,188,4494212,BOQUEIRÃO DO PIAUÍ - UENossaSenhoradeFatima,CEMADEN,P,-42.11949,-4.48696,,2015-05-27
107,189,5254221,ALTO LONGÁ - PrefeituraMunicipal,CEMADEN,P,-42.21046,-5.25264,,2015-05-27
