,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
76,4182,27345161,Ouro,Epagri/Ciram,H,-51.61944,-27.34333,373.0,2008-01-01
77,4183,28284993,São Joaquim,Epagri/Ciram,H,-49.93528,-28.28167,1408.0,2008-01-01
78,4185,27554898,Angelina,Epagri/Ciram,M,-48.98722,-27.55833,440.0,2008-01-01
79,4186,27285242,Itá - Jusante,Epagri/Ciram,H,-52.4233,-27.28556,258.0,2008-01-01
80,4187,2694865,Itajaí,Epagri/Ciram,M,-48.65,-26.9,2.0,2008-01-01
81,4188,2694913,Salto Jusante,Epagri/Ciram,H,-49.13333,-26.9,12.0,2008-01-01
82,4190,27544900,Barragem Garcia,Epagri/Ciram,H,-49.00667,-27.54861,508.0,2008-01-01
83,4191,28494941,Urussanga-Belvedere,Epagri/Ciram,M,-49.41333,-28.49111,558.0,2008-01-01
84,4193,27605101,Abdon Batista,Epagri/Ciram,M,-51.01667,-27.6,740.0,2008-01-01
85,4194,27024867,PL - Balneário Camboriú,Epagri/Ciram,H,-48.66167,-27.02056,5.0,2008-01-01
86,4195,26904867,PL - Itajaí,Epagri/Ciram,H,-48.67639,-26.90528,5.0,2008-01-01
87,4196,27994958,Urubici,Epagri/Ciram,H,-49.58556,-27.99306,997.0,2008-01-01
88,4197,27635133,Celso Ramos,Epagri/Ciram,M,-51.33194,-27.635,756.0,2008-01-01
89,4199,2774983,Rio Bonito,Epagri/Ciram,H,-49.83333,-27.7,0.0,2008-01-01
90,4200,26904907,PL - Blumenau FURB,Epagri/Ciram,H,-49.0775,-26.905,30.0,2008-01-01
91,4203,27575089,Foz do Caveiras - Epagri,Epagri/Ciram,H,-50.89694,-27.57528,750.0,2008-01-01
92,4205,26284910,Barragem Rio do Júlio,Epagri/Ciram,H,-49.10306,-26.28111,645.0,2008-01-01
93,4206,27525181,Seção 5,Epagri/Ciram,H,-51.81056,-27.52,372.0,2008-01-01
94,4207,26294906,Barragem 8 Salto,Epagri/Ciram,H,-49.06139,-26.29472,695.0,2008-01-01
95,4208,27294835,Ilha do Arvoredo,Epagri/Ciram,M,-48.35611,-27.29583,73.0,2008-01-02
96,4211,27485038,Ponte Alta do Sul,Epagri/Ciram,H,-50.38444,-27.48083,800.0,2008-01-08
97,4212,27584847,PL - Florianópolis,Epagri/Ciram,H,-48.47361,-27.58111,2.0,2008-01-20
98,4213,26194870,São Francisco do Sul - Casan - Vega,Epagri/Ciram,H,-48.70583,-26.19944,35.0,2008-01-23
99,4215,27074874,Futura Barragem Balneário Camburiú,Epagri/Ciram,H,-48.74333,-27.07056,40.0,2008-04-18
100,4232,27175155,Joaçaba,Epagri/Ciram,M,-51.55806,-27.17,776.0,2008-08-01
101,4267,27605102,Ponte Cana Brava,Epagri/Ciram,H,-51.01667,-27.6,740.0,2008-01-01
102,4268,27704933,Ponte Caeté,Epagri/Ciram,H,-49.33389,-27.70444,434.0,2008-01-01
103,4270,27054951,Ibirama,Epagri/Ciram,H,-49.51667,-27.05389,80.0,2008-01-01
104,4271,27335075,Passo Marombas,Epagri/Ciram,H,-50.75083,-27.33083,829.0,2008-01-01
105,4272,27805048,Caveiras - Jusante,Epagri/Ciram,H,-50.48056,-27.80472,870.0,2008-01-01
106,4273,26625023,PL - Monte Castelo,Epagri/Ciram,H,-50.23917,-26.62583,800.0,2008-01-01
107,4275,27535086,Passo Carú,Epagri/Ciram,H,-50.86917,-27.53861,720.0,2008-01-01
108,4347,27355164,MB-Ouro - VIGANO,Epagri/Ciram,H,-51.63583,-27.34889,457.0,2014-01-07
109,4564,27584850,Florianópolis - Automática,Epagri/Ciram,M,-48.50694,-27.58111,5.0,2014-01-01
110,4565,28534931,Urussanga,Epagri/Ciram,M,-49.31472,-28.53194,48.0,2014-01-01
111,4568,26084865,Itapoá,Epagri/Ciram,M,-48.64167,-26.08111,2.0,2014-01-01
112,4570,26914926,Indaial,Epagri/Ciram,M,-49.26667,-26.91667,8613.0,2014-01-01
113,4584,26225049,MB-Canoinhas - KURPIEL,Epagri/Ciram,H,-50.49222,-26.22139,779.0,2014-01-01
114,4585,28604882,Laguna,Epagri/Ciram,M,-48.81278,-28.60361,17.0,2014-01-01
115,4586,26234853,São Francisco do Sul,Epagri/Ciram,M,-48.53194,-26.23278,12.0,2016-04-03
116,4587,27165155,Joaçaba- INMET,Epagri/Ciram,M,-51.55,-27.16667,776.0,2014-01-01
117,4591,27604862,São José - INMET,Epagri/Ciram,M,-48.61972,-27.60194,184.0,2014-01-01
118,4592,26935014,Rio do Campo,Epagri/Ciram,M,-50.14556,-26.93722,570.0,2014-01-01
