,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
0,212,24025042,PCH Salto Mauá Jusante,Klabin,H,-50.71209,-24.04498,544.0,2004-03-26
1,1263,24245075,Klabin - Puma,Klabin,P,-50.75083,-24.24539,0.0,2015-03-17
2,1551,24565023,PCH Salto Mauá Montante,Klabin,H,-50.3908,-24.9475,759.0,2003-07-24
3,2732,24245076,Klabin - Puma,Klabin,M,-50.75083,-24.24539,,2015-08-13
4,3753,24055072,UHPV Barramento,Klabin,H,-50.71009,-24.05756,,2016-01-08
