,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
73,4479,23165078,Ponte Preta,Águas Paraná,H,-50.78833,-23.16972,,2014-07-30
74,4480,25614935,Ponte Da Caximba,Águas Paraná,H,-49.35667,-25.61028,,2014-02-04
75,4494,24675048,Bom Jardim Montante,Águas Paraná,H,-50.48444,-24.67778,,2014-02-04
76,4497,24105148,Porto Monteiro,Águas Paraná,H,-51.48222,-24.10594,,2014-02-04
77,4498,23445096,Cebolão,Águas Paraná,H,-50.96611,-23.44944,,2014-02-04
78,4500,23964958,Tamanduá,Águas Paraná,H,-49.58306,-23.96667,623.0,2014-02-04
79,4501,25604951,Guajuvira,Águas Paraná,H,-49.5134,-25.60021,897.0,2013-07-10
80,4502,25534954,Formigas,Águas Paraná,H,-49.54439,-25.53778,897.0,2014-02-20
81,4503,25594922,Cachoeira,Águas Paraná,H,-49.22866,-25.59018,906.0,2013-08-29
82,4693,25664910,Malhada,Águas Paraná,P,-49.10322,-25.66264,906.0,2016-06-15
83,4698,25674917,Campo Largo da Roseira,Águas Paraná,P,-49.17972,-25.67494,906.0,2016-06-15
84,4731,25814880,Cubatão,Águas Paraná,H,-48.8074,-25.81792,,2013-09-08
