data,v_vento,t_med,v_rajada,t_max,t_min
2016-08-25,1.79,26.06,5.20,30.20,20.60
2016-08-26,1.27,21.22,5.10,30.80,11.80
2016-08-27,1.78,21.73,6.80,31.60,12.90
2016-08-28,2.15,22.99,7.70,33.30,13.10
2016-08-29,1.79,24.33,6.90,34.40,15.00
2016-08-30,1.74,24.68,8.20,31.80,18.20
2016-08-31,1.95,18.03,10.40,23.40,16.10
2016-09-01,1.33,20.15,8.00,29.10,15.20
2016-09-02,2.33,21.84,9.20,32.50,14.90
2016-09-03,2.35,22.97,7.50,29.90,19.20
2016-09-04,1.41,20.23,6.20,23.10,17.10
2016-09-05,1.40,22.82,5.20,30.90,16.80
2016-09-06,2.03,19.61,7.90,24.00,17.10
2016-09-07,1.59,18.66,7.30,23.10,16.80
2016-09-08,1.47,18.90,6.00,27.30,11.00
2016-09-09,2.31,20.62,9.40,29.60,13.70
2016-09-10,2.03,22.43,9.00,32.70,15.60
2016-09-11,1.89,23.71,7.60,33.10,17.00
2016-09-12,1.97,24.84,8.00,33.90,16.60
2016-09-13,2.37,26.53,10.30,34.90,18.40
2016-09-14,2.36,24.22,8.10,29.70,18.90
2016-09-15,1.41,22.25,6.40,29.80,15.70
2016-09-16,3.14,20.21,8.00,29.60,13.40
2016-09-17,1.71,23.06,6.40,33.00,15.80
2016-09-18,2.12,25.23,17.90,35.60,18.10
2016-09-19,2.06,23.02,10.90,32.90,15.80
2016-09-20,3.05,20.81,9.20,26.70,14.20
2016-09-21,4.43,16.91,14.10,24.70,10.80
2016-09-22,2.45,20.25,10.10,31.00,12.90
2016-09-23,2.06,22.10,7.60,33.70,12.40
2016-09-24,3.53,21.81,8.80,30.70,16.20
2016-09-25,3.80,18.86,10.20,24.40,15.60
2016-09-26,2.96,19.88,7.40,29.10,13.60
2016-09-27,2.14,19.37,10.60,30.00,10.80
2016-09-28,2.23,21.30,9.00,32.40,12.50
2016-09-29,2.59,23.46,12.80,33.00,15.80
2016-09-30,3.60,20.89,12.30,31.00,13.40
2016-10-01,3.80,20.47,11.00,30.40,15.80
2016-10-02,3.16,21.63,10.10,31.10,15.70
2016-10-03,2.18,17.96,9.00,22.20,15.50
2016-10-04,1.94,20.07,9.30,26.30,17.10
2016-10-05,2.74,20.70,7.70,28.30,15.30
2016-10-06,3.28,20.57,14.10,27.70,14.80
2016-10-07,1.98,19.06,7.60,26.30,12.40
2016-10-08,2.04,20.62,7.90,29.50,12.00
2016-10-09,2.95,22.49,10.70,31.60,15.80
2016-10-10,3.53,22.12,11.20,31.50,16.60
2016-10-11,2.55,22.73,11.10,33.50,15.70
2016-10-12,1.57,23.47,7.50,34.00,15.90
2016-10-13,2.61,22.91,13.70,31.30,19.30
2016-10-14,1.98,22.17,8.40,29.50,19.60
2016-10-15,1.60,23.68,12.00,31.40,19.40
2016-10-16,1.36,25.85,5.70,35.20,18.40
2016-10-17,1.92,27.93,7.40,37.00,19.90
2016-10-18,1.80,27.57,9.20,34.30,21.80
2016-10-19,1.79,28.69,9.10,37.80,21.20
