data,v_vento,t_med,v_rajada,t_max,t_min
2018-12-31,1.40,28.10,3.50,29.20,27.90
2019-01-01,1.61,28.38,10.80,34.70,22.60
2019-01-02,1.98,26.69,13.00,33.40,22.60
2019-01-03,2.56,28.52,10.40,35.20,23.30
2019-01-04,1.55,28.16,17.70,34.30,23.90
2019-01-05,2.45,24.69,9.00,29.10,21.50
2019-01-06,2.20,25.78,15.80,32.60,22.30
2019-01-07,2.62,24.86,10.70,31.30,22.80
2019-01-08,1.87,26.26,7.00,32.80,22.30
2019-01-09,1.64,27.19,18.00,34.30,23.10
2019-01-10,2.10,26.45,12.40,34.60,20.80
2019-01-11,2.12,26.58,9.20,34.00,21.60
2019-01-12,2.54,25.30,12.20,32.20,21.30
2019-01-13,2.00,27.17,9.40,34.30,22.50
2019-01-14,2.02,29.02,8.10,36.10,23.60
2019-01-15,1.90,28.85,16.40,35.80,24.40
2019-01-16,1.71,29.25,7.90,36.10,23.60
2019-01-17,1.80,29.95,7.30,37.00,23.90
2019-01-18,2.94,26.00,11.20,32.50,22.10
2019-01-19,1.83,24.72,8.00,29.00,22.10
2019-01-20,1.77,25.37,12.50,31.20,22.10
2019-01-21,1.65,27.91,6.50,34.50,22.30
2019-01-22,1.30,29.91,7.50,36.90,23.30
2019-01-23,1.60,31.41,7.50,38.40,25.30
2019-01-24,1.98,28.23,10.60,33.60,24.70
2019-01-25,2.14,28.20,7.40,35.70,22.00
2019-01-26,2.24,27.10,14.00,35.50,23.30
2019-01-27,3.17,25.95,14.20,32.90,21.80
2019-01-28,2.86,25.35,15.90,33.90,21.20
2019-01-29,1.35,27.71,7.60,36.10,21.50
2019-01-30,1.85,27.51,13.00,36.10,22.50
2019-01-31,1.37,28.27,8.40,37.80,21.80
2019-02-01,1.43,30.12,5.40,38.90,21.90
2019-02-02,2.61,29.52,9.60,35.40,24.60
2019-02-03,2.37,28.52,10.50,36.90,21.50
2019-02-04,2.44,26.52,10.00,35.20,21.90
2019-02-05,2.44,24.92,16.60,30.90,19.40
2019-02-06,1.69,25.76,7.90,33.00,21.00
2019-02-07,1.73,27.13,7.20,34.70,22.10
2019-02-08,1.29,27.93,10.40,35.40,23.10
2019-02-09,1.53,28.59,10.10,37.10,22.40
2019-02-10,1.80,26.75,15.50,35.50,23.00
2019-02-11,2.09,27.87,10.10,35.10,22.50
2019-02-12,2.04,24.97,11.90,30.30,21.60
2019-02-13,2.14,24.35,6.80,28.40,21.80
2019-02-14,2.41,24.68,7.50,29.00,22.50
2019-02-15,2.61,24.98,13.10,30.10,22.80
2019-02-16,2.25,25.44,7.00,30.80,20.30
2019-02-17,2.16,25.14,11.10,32.00,21.00
2019-02-18,1.68,24.30,11.50,32.30,20.20
