data,v_vento,t_med,v_rajada,t_max,t_min
2007-03-14,1.02,26.75,12.70,33.30,23.30
2007-03-15,0.68,24.81,8.40,29.90,22.60
2007-03-16,0.91,24.85,11.10,30.70,20.40
2007-03-17,0.68,25.91,11.90,32.70,22.30
2007-03-18,0.79,26.82,6.50,33.10,22.80
2007-03-19,1.12,25.34,15.30,32.50,22.20
2007-03-20,0.79,26.14,6.50,32.20,22.40
2007-03-21,0.81,25.59,6.80,31.50,23.10
2007-03-22,0.88,26.35,6.50,32.40,23.30
2007-03-23,0.88,25.95,6.30,30.50,23.10
2007-03-24,0.63,26.41,7.30,33.10,22.40
2007-03-25,0.66,27.51,5.80,34.60,23.00
2007-03-26,0.82,28.04,7.20,34.80,23.00
2007-03-27,0.72,27.67,7.40,34.90,22.50
2007-03-28,0.94,27.06,7.00,33.60,21.80
2007-03-29,0.75,27.66,6.80,34.80,22.70
2007-03-30,0.89,27.55,7.80,34.50,21.90
2007-03-31,0.76,28.69,7.10,35.30,22.60
2007-04-01,0.65,29.80,4.40,36.30,23.40
2007-04-02,1.02,28.65,6.60,34.70,24.30
2007-04-03,1.05,26.77,7.30,31.80,24.20
2007-04-04,1.45,29.68,6.10,35.10,24.20
2007-04-05,1.13,29.81,5.60,34.80,25.00
2007-04-06,1.28,30.94,6.20,35.10,25.50
2007-04-07,0.82,30.93,6.00,35.70,25.10
2007-04-08,2.16,29.71,7.40,33.30,26.20
2007-04-09,1.40,29.04,7.00,33.40,26.30
2007-04-10,0.57,28.47,3.50,31.30,25.60
2007-04-11,1.33,28.74,6.20,33.60,24.90
2007-04-12,1.10,26.65,10.10,29.70,22.50
2007-04-13,0.54,26.58,7.40,31.80,23.20
2007-04-14,0.77,25.62,13.80,32.50,22.20
2007-04-15,0.39,26.34,6.90,32.60,22.50
2007-04-16,0.54,25.34,5.50,28.80,23.10
2007-04-17,1.11,24.38,11.50,30.10,22.50
2007-04-18,0.70,25.15,6.50,31.70,21.40
2007-04-19,1.17,25.89,9.00,31.50,22.10
2007-04-20,1.09,25.00,13.60,31.10,22.60
2007-04-21,1.00,26.75,6.30,33.20,23.40
2007-04-22,0.52,26.12,6.10,31.30,22.30
2007-04-23,0.79,26.33,5.50,32.20,22.50
2007-04-24,0.52,26.42,4.10,31.70,22.30
2007-04-25,0.74,26.35,10.00,33.60,23.40
2007-04-26,0.47,26.42,4.40,33.10,21.90
2007-04-27,0.68,25.30,8.90,28.50,23.20
2007-04-28,0.56,25.23,10.80,31.60,22.50
2007-04-29,0.72,25.94,12.60,32.20,22.50
2007-04-30,0.61,26.34,8.80,33.30,23.20
2007-05-01,0.63,26.84,7.70,33.70,23.30
2007-05-02,0.72,24.98,6.60,28.60,23.00
2007-05-03,0.46,25.95,5.60,31.80,22.40
2007-05-04,0.70,27.45,6.50,34.10,23.60
2007-05-05,0.72,27.48,7.40,33.30,23.30
2007-05-06,0.95,26.99,6.90,33.60,21.70
2007-05-07,0.80,26.56,6.40,33.10,21.10
2007-05-08,0.43,27.11,6.20,34.20,22.30
2007-05-09,0.82,27.50,7.50,35.30,22.00
2007-05-10,0.71,29.15,4.70,35.00,23.10
2007-05-11,0.71,26.94,7.60,31.30,23.80
2007-05-12,0.83,26.58,7.40,32.80,21.40
2007-05-13,1.01,28.89,5.50,33.40,23.60
2007-05-14,0.58,28.10,5.70,33.70,22.70
2007-05-15,0.75,30.36,5.70,34.10,24.60
2007-05-16,0.88,29.24,7.70,34.20,24.00
2007-05-17,1.05,30.21,5.90,33.70,25.70
2007-05-18,0.92,29.75,6.90,33.50,24.80
2007-05-19,0.86,30.16,6.50,33.50,24.00
2007-05-20,0.80,30.93,4.60,34.30,26.00
2007-05-21,1.46,30.93,7.90,33.40,25.30
2007-05-22,1.33,31.44,7.00,34.20,26.20
2007-05-23,1.10,32.17,3.70,34.00,28.10
2007-05-24,0.89,33.39,3.70,35.00,29.20
2007-05-25,0.79,32.12,6.10,34.30,27.20
2007-05-26,1.41,32.69,4.90,35.30,29.00
2007-05-27,0.97,31.56,5.10,33.20,29.30
2007-05-28,,,,,
2007-05-29,0.58,30.17,4.60,33.10,26.20
2007-05-30,1.44,30.41,6.00,33.80,26.70
2007-05-31,1.50,26.47,8.30,30.20,23.50
2007-06-01,1.34,29.98,6.80,32.40,25.80
