data,v_vento,t_med,v_rajada,t_max,t_min
1999-08-19,4.11,26.87,7.80,30.50,21.40
1999-08-20,5.37,23.17,11.90,31.30,17.30
1999-08-21,4.97,24.48,12.20,32.00,18.80
1999-08-22,3.10,24.38,7.90,32.60,17.40
1999-08-23,3.35,24.50,8.10,32.70,17.60
1999-08-24,4.80,23.77,10.30,31.40,18.30
1999-08-25,4.09,23.88,10.50,31.70,17.60
1999-08-26,2.01,24.07,6.00,31.40,17.20
1999-08-27,3.16,25.62,9.40,33.80,19.20
1999-08-28,2.09,24.18,5.50,30.90,17.00
1999-08-29,2.50,24.34,5.60,32.80,17.20
1999-08-30,5.62,27.40,11.20,35.60,20.60
1999-08-31,6.42,28.90,14.50,36.70,22.30
1999-09-01,4.88,28.07,10.90,36.10,20.30
1999-09-02,3.42,27.33,10.80,35.40,18.50
1999-09-03,3.60,26.99,9.80,35.40,18.80
1999-09-04,4.67,27.02,10.60,35.60,20.20
1999-09-05,3.45,26.02,8.90,32.70,20.20
1999-09-06,5.05,25.50,13.90,31.70,18.90
1999-09-07,5.58,27.71,13.10,35.20,22.00
1999-09-08,5.49,26.20,15.30,34.60,18.00
1999-09-09,2.15,17.62,7.40,19.30,16.20
1999-09-10,3.05,18.47,11.40,25.60,13.10
1999-09-11,5.75,19.16,13.70,27.60,13.20
1999-09-12,3.79,20.63,14.40,28.60,14.70
1999-09-13,6.00,22.84,11.80,31.10,16.40
1999-09-14,6.52,20.13,13.60,25.90,16.60
1999-09-15,2.25,17.77,9.70,24.10,14.50
1999-09-16,3.21,17.20,10.80,25.20,10.30
1999-09-17,3.13,20.65,8.80,30.50,11.60
1999-09-18,4.38,22.50,10.20,30.20,15.50
1999-09-19,3.43,24.96,13.40,32.30,19.90
1999-09-20,4.28,24.06,10.90,30.90,17.60
1999-09-21,2.21,24.79,5.60,31.20,18.90
1999-09-22,2.45,24.45,6.90,31.70,18.30
1999-09-23,5.99,21.28,12.60,27.00,14.90
1999-09-24,7.16,18.39,14.30,25.10,11.70
1999-09-25,6.08,18.30,13.20,27.00,11.70
1999-09-26,3.86,23.16,8.90,32.30,15.40
1999-09-27,2.65,25.47,8.30,33.90,17.90
1999-09-28,4.07,25.88,10.30,34.60,17.70
1999-09-29,2.65,24.92,11.90,32.20,20.20
1999-09-30,3.93,21.89,9.00,29.20,16.70
1999-10-01,4.45,26.71,12.10,35.20,21.30
1999-10-02,4.20,21.66,12.30,28.80,14.20
1999-10-03,4.06,16.15,9.50,22.20,12.00
1999-10-04,2.85,17.38,8.10,25.40,9.70
1999-10-05,5.74,19.69,11.10,27.80,12.60
1999-10-06,5.99,22.67,12.10,30.20,17.60
1999-10-07,5.02,22.84,10.70,29.30,19.20
1999-10-08,2.64,20.34,9.40,24.80,17.10
1999-10-09,2.38,19.60,5.70,28.90,12.70
1999-10-10,4.07,21.89,10.00,30.00,14.90
1999-10-11,5.30,23.13,12.10,30.50,17.10
1999-10-12,4.87,24.28,9.80,32.70,17.70
1999-10-13,3.76,25.63,7.90,33.80,18.00
1999-10-14,4.01,26.43,25.80,36.10,20.70
1999-10-15,4.49,26.75,10.10,36.60,20.50
1999-10-16,3.04,26.73,10.20,31.70,23.40
1999-10-17,2.55,20.95,8.40,23.60,19.30
1999-10-18,2.07,22.57,7.10,29.80,16.10
1999-10-19,3.10,24.32,8.60,31.80,18.10
1999-10-20,3.92,24.13,9.60,31.60,18.30
1999-10-21,3.55,23.92,8.00,30.40,18.20
1999-10-22,1.99,24.94,7.40,32.60,18.00
1999-10-23,4.47,24.40,10.50,32.00,18.00
1999-10-24,4.25,24.59,12.00,32.20,19.20
1999-10-25,4.06,20.21,10.00,23.30,17.10
1999-10-26,4.18,21.80,10.10,29.10,16.90
1999-10-27,5.25,22.33,9.50,29.60,18.00
1999-10-28,3.92,24.43,10.20,31.70,18.50
1999-10-29,3.98,26.91,9.80,34.20,21.80
1999-10-30,5.39,26.87,11.40,33.50,21.40
1999-10-31,7.12,24.99,14.80,31.10,18.70
1999-11-01,7.66,24.25,15.40,31.90,16.60
1999-11-02,5.40,21.79,12.10,26.60,18.30
1999-11-03,2.38,23.15,6.60,31.30,16.60
1999-11-04,4.86,22.93,12.80,25.50,20.30
1999-11-05,5.30,18.12,12.20,20.90,15.40
1999-11-06,1.92,19.85,6.30,29.00,12.40
1999-11-07,2.55,23.40,8.30,31.30,14.90
1999-11-08,2.46,25.83,11.30,33.70,18.40
1999-11-09,3.15,18.94,11.40,23.90,15.40
1999-11-10,3.15,19.12,8.60,26.00,13.60
1999-11-11,5.43,18.95,10.40,22.90,15.60
1999-11-12,2.98,20.26,7.30,25.50,17.50
1999-11-13,2.75,22.20,7.90,30.20,15.80
1999-11-14,2.75,23.50,7.40,31.70,17.30
1999-11-15,6.34,24.67,12.00,31.70,17.70
1999-11-16,5.37,23.83,12.10,31.00,16.70
1999-11-17,5.09,24.09,13.10,31.50,17.50
1999-11-18,2.82,24.63,9.20,32.30,17.00
1999-11-19,2.84,25.95,8.70,33.40,19.00
1999-11-20,3.77,25.99,10.90,34.10,20.80
1999-11-21,2.68,24.13,9.30,33.20,16.50
1999-11-22,3.41,26.93,12.30,34.50,19.60
1999-11-23,4.25,25.36,14.90,32.50,17.70
1999-11-24,3.29,24.07,10.70,31.60,15.60
1999-11-25,3.50,23.24,16.40,32.50,16.90
1999-11-26,2.64,22.91,10.00,30.60,17.00
1999-11-27,3.40,25.74,14.30,32.10,18.80
1999-11-28,2.26,26.21,7.30,34.30,18.70
1999-11-29,4.27,27.22,11.00,34.80,21.60
1999-11-30,4.33,28.57,10.00,35.70,22.50
1999-12-01,5.13,27.86,13.40,35.80,21.00
1999-12-02,6.29,27.94,12.60,33.80,20.90
1999-12-03,2.40,22.92,8.10,29.50,20.40
1999-12-04,1.95,25.15,7.40,33.00,19.10
1999-12-05,3.65,27.00,15.20,36.60,21.10
1999-12-06,3.00,25.36,9.80,31.90,21.20
1999-12-07,4.55,24.73,18.60,31.80,21.50
1999-12-08,5.22,23.32,14.90,31.90,19.70
1999-12-09,3.07,22.98,8.40,28.20,18.40
1999-12-10,6.08,22.41,13.60,25.20,20.40
1999-12-11,6.03,23.47,12.20,28.10,19.50
1999-12-12,6.52,23.42,12.30,26.50,20.40
1999-12-13,4.45,22.23,11.50,26.00,20.70
1999-12-14,2.93,23.50,11.00,29.60,19.30
1999-12-15,2.71,24.57,11.90,31.00,18.10
1999-12-16,2.40,25.47,9.40,32.30,17.80
1999-12-17,1.86,26.97,8.60,34.40,18.60
1999-12-18,2.96,28.74,7.10,35.60,20.90
1999-12-19,2.66,29.34,6.40,36.30,23.20
1999-12-20,2.45,29.36,10.30,37.30,23.30
1999-12-21,2.89,29.09,7.70,36.40,22.20
1999-12-22,2.74,25.03,14.60,31.00,19.70
1999-12-23,2.75,25.35,8.70,32.30,19.40
1999-12-24,5.43,26.48,10.70,32.70,21.00
1999-12-25,5.22,26.50,10.10,32.80,20.70
