data,v_vento,t_med,v_rajada,t_max,t_min
2017-12-31,2.00,26.20,6.80,26.60,26.20
2018-01-01,0.70,25.54,7.90,34.50,20.60
2018-01-02,0.54,26.34,9.00,34.60,20.80
2018-01-03,1.35,27.31,10.50,35.00,23.10
2018-01-04,0.42,24.88,4.80,29.10,21.90
2018-01-05,1.50,26.49,9.10,34.10,22.10
2018-01-06,0.76,26.01,6.20,33.70,20.50
2018-01-07,0.98,26.26,6.60,33.90,19.90
2018-01-08,1.69,26.37,11.70,34.20,19.70
2018-01-09,1.94,26.75,9.10,33.10,18.70
2018-01-10,2.04,25.97,11.00,32.40,21.60
2018-01-11,1.23,25.15,7.40,33.60,17.60
2018-01-12,1.50,27.05,7.40,34.30,21.80
2018-01-13,1.46,27.34,7.00,34.90,20.90
2018-01-14,1.75,27.62,8.20,35.10,19.90
2018-01-15,1.92,27.92,10.00,34.40,21.70
2018-01-16,1.58,27.46,11.30,36.20,19.10
2018-01-17,2.05,27.65,10.50,35.20,19.00
2018-01-18,2.20,27.50,11.00,34.90,18.90
2018-01-19,2.12,28.10,9.40,36.40,18.30
2018-01-20,1.49,28.11,9.40,37.80,18.20
2018-01-21,1.69,27.95,9.20,37.40,18.10
2018-01-22,1.34,27.63,14.70,37.30,17.80
2018-01-23,2.22,27.98,8.80,35.50,19.80
2018-01-24,2.30,27.66,11.30,35.70,18.50
2018-01-25,1.72,27.95,8.20,34.50,21.90
2018-01-26,1.54,28.33,9.60,36.50,20.00
2018-01-27,1.45,28.05,11.30,35.80,21.00
2018-01-28,1.77,29.17,8.40,36.40,23.50
2018-01-29,1.44,29.10,7.50,35.90,24.80
2018-01-30,1.67,29.03,8.60,35.20,23.40
2018-01-31,0.54,24.25,10.10,30.00,22.10
2018-02-01,0.77,23.59,9.00,28.00,22.40
2018-02-02,0.77,24.80,15.70,30.40,21.60
2018-02-03,1.57,22.30,11.70,24.50,20.10
2018-02-04,0.67,21.16,6.20,23.10,19.70
2018-02-05,1.79,23.97,9.80,27.90,21.80
2018-02-06,1.14,25.63,6.60,32.00,22.20
2018-02-07,1.42,25.72,14.60,32.90,21.60
2018-02-08,1.02,26.77,8.00,34.70,21.20
2018-02-09,0.87,25.85,8.70,32.70,22.50
2018-02-10,1.20,26.92,7.80,33.10,22.50
2018-02-11,0.96,26.19,8.30,32.80,21.20
2018-02-12,0.65,25.38,6.10,33.20,19.00
2018-02-13,0.97,26.59,5.80,33.30,20.90
2018-02-14,1.99,26.72,7.90,32.20,21.90
2018-02-15,1.46,25.28,9.20,31.60,20.90
2018-02-16,0.82,25.69,11.70,32.10,20.00
2018-02-17,1.07,26.11,6.70,31.80,21.40
2018-02-18,0.85,26.17,7.40,32.50,20.20
2018-02-19,0.96,25.43,6.40,31.70,21.10
2018-02-20,0.63,25.80,6.90,32.70,21.00
2018-02-21,1.01,26.95,6.30,33.80,22.40
2018-02-22,0.94,26.42,7.50,33.70,22.00
2018-02-23,0.63,26.92,5.90,34.00,21.70
2018-02-24,0.80,25.60,10.00,32.20,23.00
2018-02-25,1.18,26.20,8.50,30.90,22.50
2018-02-26,0.62,25.67,8.60,32.90,21.60
2018-02-27,1.05,26.05,6.90,32.90,21.60
2018-02-28,0.92,25.32,6.30,33.00,19.20
2018-03-01,0.71,26.09,6.80,33.80,19.80
2018-03-02,0.96,26.09,6.90,33.90,20.40
2018-03-03,0.75,26.16,5.70,34.30,20.70
2018-03-04,1.38,26.33,17.90,35.40,21.30
2018-03-05,0.96,25.60,8.40,31.10,22.50
2018-03-06,0.58,25.40,10.30,32.40,22.50
2018-03-07,0.25,25.76,4.00,31.60,22.60
2018-03-08,0.93,25.83,10.00,32.80,22.50
2018-03-09,0.45,26.36,5.70,33.30,21.90
2018-03-10,1.28,25.02,11.10,33.00,22.70
2018-03-11,0.68,24.96,8.90,30.60,22.20
2018-03-12,0.58,25.78,4.70,32.40,22.10
2018-03-13,0.85,27.41,8.20,34.60,23.50
2018-03-14,0.45,26.64,4.60,33.80,22.10
2018-03-15,0.51,26.51,11.70,34.60,22.30
2018-03-16,0.55,26.67,4.40,34.20,21.10
2018-03-17,0.80,25.96,6.10,33.40,20.70
2018-03-18,0.67,25.88,6.00,32.90,20.70
2018-03-19,0.85,25.76,6.10,33.60,20.60
2018-03-20,0.49,24.64,5.80,32.50,19.60
2018-03-21,0.64,25.10,6.90,34.00,18.60
2018-03-22,0.74,25.22,14.00,33.20,21.00
2018-03-23,1.25,24.65,11.90,30.00,21.90
2018-03-24,0.71,24.58,9.80,30.80,20.10
2018-03-25,0.69,24.28,7.10,30.20,20.60
2018-03-26,0.36,23.80,6.70,31.90,17.70
2018-03-27,0.73,24.68,6.90,31.60,18.20
2018-03-28,0.73,24.23,8.50,31.00,18.60
2018-03-29,0.84,24.50,9.10,31.70,19.00
2018-03-30,0.72,24.46,7.50,31.90,20.20
2018-03-31,0.54,25.40,5.40,32.50,20.40
2018-04-01,0.87,25.72,6.50,32.60,21.30
2018-04-02,0.50,25.27,5.20,34.00,19.90
2018-04-03,0.30,23.83,3.70,32.60,18.30
2018-04-04,0.21,24.36,4.20,31.20,19.40
2018-04-05,0.74,26.15,6.50,34.50,20.20
2018-04-06,0.74,25.51,6.30,30.90,21.40
2018-04-07,0.62,25.65,5.70,32.90,20.80
2018-04-08,1.27,25.67,7.70,32.20,21.70
2018-04-09,1.05,24.97,8.80,31.10,20.10
2018-04-10,0.72,24.85,10.60,30.30,20.90
2018-04-11,1.00,23.90,9.10,30.70,20.70
2018-04-12,0.63,22.37,7.40,29.70,18.80
2018-04-13,0.52,23.56,8.90,30.90,19.90
2018-04-14,0.43,24.19,6.90,29.70,21.00
2018-04-15,0.60,23.92,7.40,29.50,19.50
2018-04-16,0.53,24.04,7.80,29.10,20.20
2018-04-17,1.17,22.61,13.20,27.00,19.60
2018-04-18,0.62,21.90,9.10,26.70,17.60
2018-04-19,0.28,22.07,5.10,26.50,18.20
2018-04-20,0.49,23.08,4.80,29.70,18.50
2018-04-21,0.79,22.00,6.30,29.20,15.60
2018-04-22,1.09,22.70,7.00,30.40,16.50
2018-04-23,0.76,22.98,8.70,29.60,18.60
2018-04-24,1.20,24.28,10.10,31.00,20.20
2018-04-25,0.89,24.01,8.00,32.30,17.90
2018-04-26,0.84,24.47,5.90,33.00,18.60
2018-04-27,1.12,23.66,9.00,32.60,17.00
2018-04-28,0.94,23.50,7.20,30.40,18.10
2018-04-29,1.20,24.40,8.90,30.20,20.40
2018-04-30,0.55,22.67,6.70,31.20,16.00
2018-05-01,0.66,22.17,5.20,31.70,15.30
2018-05-02,1.23,23.65,8.70,32.10,16.00
2018-05-03,0.84,23.53,7.60,33.20,15.50
2018-05-04,1.17,22.74,8.10,33.50,14.30
2018-05-05,1.37,23.07,8.20,31.90,15.90
2018-05-06,0.88,22.77,8.60,31.50,16.00
2018-05-07,1.14,22.45,9.00,31.20,15.60
2018-05-08,0.98,22.44,8.00,31.30,14.50
2018-05-09,1.33,22.63,11.60,29.40,17.80
2018-05-10,2.06,23.66,12.00,29.80,19.70
2018-05-11,0.70,21.45,6.60,31.00,14.10
2018-05-12,0.38,21.15,5.60,32.20,13.80
2018-05-13,0.69,23.57,9.30,34.20,16.70
2018-05-14,1.59,23.60,10.90,30.80,18.60
2018-05-15,0.92,23.40,8.00,29.10,20.00
2018-05-16,1.34,24.63,7.40,31.80,17.40
2018-05-17,1.20,24.20,8.30,31.90,17.00
2018-05-18,1.16,24.85,7.30,32.40,19.30
2018-05-19,1.00,24.59,6.60,32.40,17.70
2018-05-20,1.77,25.30,9.80,33.70,18.40
2018-05-21,0.65,23.75,7.30,31.40,18.30
2018-05-22,1.26,24.82,8.10,30.80,19.30
2018-05-23,0.75,22.12,8.40,28.20,17.20
2018-05-24,0.94,21.94,7.20,23.60,20.70
2018-05-25,0.74,21.53,6.80,25.60,17.80
2018-05-26,1.57,22.31,8.40,28.10,19.30
2018-05-27,1.92,21.88,8.40,25.60,16.10
2018-05-28,1.30,22.03,8.00,26.50,19.20
2018-05-29,0.64,19.81,8.80,27.20,14.70
2018-05-30,0.97,19.67,7.50,29.20,12.70
2018-05-31,0.78,20.93,7.30,30.40,13.70
2018-06-01,1.05,22.26,7.70,31.10,16.10
2018-06-02,0.58,23.43,6.20,30.90,17.70
2018-06-03,0.84,26.05,6.60,33.50,19.80
2018-06-04,1.08,23.19,7.90,28.60,18.40
2018-06-05,0.90,20.11,5.20,25.00,15.10
2018-06-06,0.77,21.09,6.60,28.70,15.00
2018-06-07,0.55,21.30,5.90,32.00,13.80
2018-06-08,0.40,24.12,5.00,34.30,16.00
2018-06-09,1.91,24.71,9.30,30.50,19.30
2018-06-10,1.45,24.24,8.80,27.70,21.40
2018-06-11,0.77,22.81,5.90,29.80,17.50
2018-06-12,1.36,24.20,9.00,31.10,20.00
2018-06-13,0.84,21.79,6.70,31.40,13.30
2018-06-14,0.93,21.79,6.30,32.00,12.00
2018-06-15,1.40,21.42,9.00,30.80,12.20
2018-06-16,1.00,20.13,7.90,30.00,10.80
2018-06-17,1.29,21.45,9.50,30.70,14.50
2018-06-18,1.40,20.76,8.80,30.70,12.00
2018-06-19,1.60,19.71,9.30,26.00,13.20
2018-06-20,1.61,21.84,8.80,26.20,18.10
2018-06-21,0.61,18.74,8.00,25.40,15.20
2018-06-22,0.35,19.96,4.80,30.30,12.30
2018-06-23,1.30,21.36,8.90,30.50,12.80
2018-06-24,1.08,24.02,8.60,32.00,16.60
2018-06-25,1.91,24.22,11.10,31.30,19.70
2018-06-26,1.16,20.75,7.00,30.30,12.30
2018-06-27,0.98,22.02,7.40,30.80,12.50
2018-06-28,2.08,22.69,10.50,29.60,14.70
2018-06-29,0.88,22.00,7.00,28.90,15.60
2018-06-30,1.15,23.38,6.90,30.30,18.80
2018-07-01,0.86,22.10,6.00,28.70,15.80
2018-07-02,0.91,22.63,7.00,31.60,14.30
2018-07-03,0.63,22.55,6.00,31.90,15.30
2018-07-04,1.31,20.90,11.80,31.10,11.50
2018-07-05,1.13,20.85,6.60,31.00,11.50
2018-07-06,1.06,20.30,7.30,30.50,10.80
2018-07-07,1.46,20.87,9.30,30.50,11.40
2018-07-08,0.55,19.90,5.90,31.20,10.10
2018-07-09,0.70,21.04,6.90,31.90,11.20
2018-07-10,1.23,22.23,8.40,32.50,12.10
2018-07-11,0.98,22.38,7.90,32.20,11.70
2018-07-12,1.33,21.87,8.30,30.90,14.10
2018-07-13,0.91,21.34,7.60,29.00,15.50
2018-07-14,0.95,20.96,10.20,30.70,13.10
2018-07-15,1.08,20.99,7.00,30.30,12.00
2018-07-16,1.82,24.49,9.30,30.20,20.10
2018-07-17,1.62,21.81,10.90,28.90,16.30
2018-07-18,1.51,21.32,9.30,29.90,12.80
2018-07-19,1.55,21.95,8.20,29.70,15.20
2018-07-20,1.26,21.57,8.60,29.10,13.30
2018-07-21,1.32,20.52,9.30,31.70,9.80
2018-07-22,1.67,22.54,13.70,30.50,14.70
2018-07-23,1.92,23.28,11.50,30.40,15.60
2018-07-24,2.49,23.04,10.50,28.90,17.80
2018-07-25,2.17,21.80,9.40,29.40,12.70
2018-07-26,1.29,21.52,7.80,29.30,12.60
2018-07-27,0.92,20.36,8.50,29.70,11.70
2018-07-28,1.08,20.30,8.10,29.90,10.50
2018-07-29,0.83,21.04,7.50,30.60,11.90
2018-07-30,0.79,21.25,7.20,31.10,12.70
2018-07-31,0.80,21.38,7.90,32.40,11.30
2018-08-01,1.78,24.44,10.60,32.50,15.50
2018-08-02,1.39,24.13,10.10,31.00,17.40
2018-08-03,1.28,24.23,8.00,32.10,17.20
2018-08-04,0.99,25.09,8.40,33.30,18.10
2018-08-05,1.32,26.54,8.20,35.70,16.80
2018-08-06,1.89,27.11,8.30,35.90,17.80
2018-08-07,1.67,25.37,8.10,31.60,20.60
2018-08-08,1.46,24.63,8.50,31.70,16.80
2018-08-09,1.04,24.15,7.20,32.40,17.20
2018-08-10,0.80,25.49,6.80,35.60,15.80
2018-08-11,1.02,28.42,7.70,36.00,23.40
2018-08-12,1.33,26.63,9.00,36.00,16.00
2018-08-13,1.25,25.33,6.60,31.80,20.00
2018-08-14,1.68,24.70,7.70,31.00,20.70
2018-08-15,1.25,24.50,9.60,33.70,15.60
2018-08-16,1.84,24.73,8.70,32.60,16.10
2018-08-17,2.05,24.42,7.80,27.40,22.00
2018-08-18,2.02,22.97,6.90,26.60,20.80
2018-08-19,0.87,20.75,8.60,25.60,15.50
2018-08-20,1.29,20.88,10.30,31.80,10.90
2018-08-21,1.83,23.19,9.30,31.10,15.00
2018-08-22,1.66,24.85,9.90,32.40,19.20
2018-08-23,1.92,25.11,8.30,32.60,18.90
2018-08-24,1.84,25.20,9.60,31.90,17.90
2018-08-25,2.02,26.00,9.30,33.50,21.50
2018-08-26,2.27,25.43,15.30,34.20,15.60
2018-08-27,2.58,23.33,10.90,28.20,18.40
2018-08-28,2.47,22.90,11.30,30.30,14.70
2018-08-29,2.28,22.83,14.30,30.70,16.10
2018-08-30,2.51,23.18,12.10,30.20,15.70
2018-08-31,1.64,24.71,9.60,32.10,18.90
2018-09-01,2.03,25.72,9.40,33.40,16.30
2018-09-02,2.28,24.99,10.50,31.50,20.00
2018-09-03,0.94,24.03,7.30,34.50,15.80
2018-09-04,1.04,26.58,7.40,36.20,17.40
2018-09-05,1.71,26.66,10.80,35.00,18.40
2018-09-06,3.36,23.42,9.50,28.70,20.40
2018-09-07,2.20,22.92,7.50,27.60,19.50
2018-09-08,1.53,21.75,9.00,31.20,11.00
2018-09-09,1.71,22.53,10.00,31.80,11.60
2018-09-10,1.61,24.06,10.30,33.20,13.70
2018-09-11,1.54,25.25,7.10,34.60,15.10
2018-09-12,2.83,25.63,9.30,32.30,20.40
2018-09-13,2.70,24.16,9.00,30.20,20.40
2018-09-14,2.32,24.91,12.60,31.80,18.20
2018-09-15,1.65,23.51,6.70,26.40,20.90
2018-09-16,0.97,25.74,11.70,37.60,15.40
2018-09-17,1.26,26.04,7.70,33.40,20.30
2018-09-18,1.27,26.94,13.60,33.60,21.20
2018-09-19,1.43,25.55,9.20,30.70,22.40
2018-09-20,2.33,27.29,10.70,34.40,20.60
2018-09-21,1.99,27.81,10.70,35.50,19.70
2018-09-22,1.74,28.11,9.00,38.10,17.90
2018-09-23,2.61,28.60,10.00,35.70,21.70
2018-09-24,2.18,28.36,10.30,36.50,21.80
2018-09-25,2.25,28.04,12.40,35.20,20.30
2018-09-26,2.70,27.28,10.80,34.60,19.20
2018-09-27,2.11,27.73,10.60,34.50,23.10
2018-09-28,2.10,28.70,10.00,37.50,21.60
2018-09-29,2.25,28.31,11.80,37.70,18.70
2018-09-30,3.13,29.12,10.90,35.70,23.30
2018-10-01,2.97,28.90,11.10,35.70,21.60
2018-10-02,2.97,28.68,9.50,35.30,22.40
2018-10-03,2.42,29.05,9.00,36.70,22.10
2018-10-04,2.27,29.98,10.80,39.30,19.70
2018-10-05,2.48,29.12,9.60,34.90,23.80
2018-10-06,3.11,26.92,11.80,31.70,23.30
2018-10-07,1.71,25.12,8.40,32.30,18.20
2018-10-08,2.33,27.48,9.30,35.30,20.40
2018-10-09,2.73,29.47,9.90,37.00,23.60
2018-10-10,2.74,29.29,11.80,36.90,21.30
2018-10-11,2.75,29.58,10.10,37.40,20.90
2018-10-12,2.44,28.27,10.40,35.10,22.60
2018-10-13,2.40,28.64,12.20,36.10,23.30
2018-10-14,1.88,29.27,11.90,39.60,22.40
2018-10-15,1.39,29.24,6.60,34.90,24.50
2018-10-16,2.32,26.55,11.20,31.60,20.80
2018-10-17,1.44,28.10,11.30,35.80,24.00
2018-10-18,2.13,29.39,8.00,35.60,24.30
2018-10-19,1.80,29.50,10.50,38.20,22.60
2018-10-20,2.16,25.15,11.10,29.50,23.10
2018-10-21,1.57,20.48,9.70,23.40,18.60
2018-10-22,1.20,21.08,6.40,24.80,17.90
2018-10-23,1.72,25.10,8.50,31.40,20.90
2018-10-24,1.75,28.11,9.10,35.50,21.30
2018-10-25,0.93,25.38,6.70,29.20,21.50
2018-10-26,0.68,27.68,6.40,35.40,23.10
2018-10-27,1.40,27.13,18.00,36.90,21.70
2018-10-28,1.06,26.46,7.20,32.10,22.50
2018-10-29,2.13,23.96,8.80,30.00,20.30
2018-10-30,1.41,24.15,7.60,29.70,20.90
2018-10-31,0.95,26.16,7.60,32.10,21.20
2018-11-01,1.31,27.64,7.90,34.40,22.50
2018-11-02,1.70,27.49,17.30,34.30,20.80
2018-11-03,1.63,27.25,6.60,31.90,23.60
2018-11-04,0.72,25.60,5.80,30.40,20.20
2018-11-05,1.25,24.99,8.10,28.40,22.00
2018-11-06,1.28,23.42,7.50,27.10,19.90
2018-11-07,1.21,24.51,7.80,31.40,20.90
2018-11-08,1.75,25.35,11.40,32.30,22.20
2018-11-09,0.69,22.11,9.00,25.70,19.50
2018-11-10,0.59,22.11,5.90,26.10,20.40
2018-11-11,0.80,22.20,6.00,25.80,19.70
2018-11-12,0.92,25.17,9.20,32.20,20.80
2018-11-13,1.51,25.63,8.00,32.10,21.40
2018-11-14,1.59,26.46,8.10,31.70,22.90
2018-11-15,0.98,26.05,7.80,32.10,21.70
2018-11-16,1.19,26.18,7.30,32.50,20.70
2018-11-17,1.57,26.24,7.20,30.10,22.10
2018-11-18,1.61,26.17,8.90,32.10,21.00
2018-11-19,1.60,25.43,9.30,32.10,20.10
2018-11-20,1.35,24.64,8.90,30.40,19.50
2018-11-21,1.91,26.18,8.10,31.10,21.80
2018-11-22,2.17,26.77,11.10,32.50,21.90
2018-11-23,2.53,26.71,10.90,32.30,21.10
2018-11-24,1.81,26.33,8.90,32.90,21.10
2018-11-25,1.07,24.65,6.40,27.90,21.30
2018-11-26,0.77,23.53,9.10,30.90,19.40
2018-11-27,1.51,23.99,8.60,31.50,17.50
2018-11-28,1.20,24.56,8.80,31.50,16.90
2018-11-29,1.75,26.39,6.80,33.60,20.80
2018-11-30,1.31,26.10,6.30,33.20,20.40
2018-12-01,1.48,25.26,9.60,34.00,20.70
2018-12-02,0.51,23.99,14.00,27.00,21.70
2018-12-03,1.12,25.53,7.60,30.50,22.70
2018-12-04,0.57,22.84,6.10,26.70,21.00
2018-12-05,0.44,24.98,5.70,30.40,20.30
2018-12-06,0.77,25.86,17.30,34.50,21.10
2018-12-07,0.90,25.75,7.80,31.70,21.80
