data,v_vento,t_med,v_rajada,t_max,t_min
2006-12-04,4.26,26.36,11.40,29.70,23.30
2006-12-05,4.06,21.15,11.90,27.10,16.20
2006-12-06,3.58,21.81,10.80,27.40,19.00
2006-12-07,3.57,20.41,10.10,25.10,16.20
2006-12-08,4.23,21.15,10.40,27.10,16.10
2006-12-09,1.93,22.60,9.60,29.80,16.60
2006-12-10,2.53,23.66,9.40,30.20,18.30
2006-12-11,3.36,24.37,10.60,30.70,20.40
2006-12-12,3.23,26.09,9.90,33.60,19.90
2006-12-13,2.62,25.64,7.10,30.00,21.80
2006-12-14,2.28,27.40,20.40,35.50,20.30
2006-12-15,2.44,26.89,17.20,33.90,21.80
2006-12-16,3.11,26.98,10.20,34.70,21.40
2006-12-17,2.31,28.65,8.90,38.70,21.80
2006-12-18,3.85,25.20,21.00,30.20,21.60
2006-12-19,1.89,24.73,14.80,30.10,21.80
2006-12-20,2.69,24.47,17.70,29.80,21.70
2006-12-21,1.97,22.95,6.20,28.10,19.70
2006-12-22,3.31,23.52,8.10,29.60,17.60
2006-12-23,1.96,26.06,7.00,32.80,19.40
2006-12-24,3.04,23.53,12.90,26.50,20.30
2006-12-25,2.14,22.11,13.70,25.10,19.20
2006-12-26,3.50,23.02,8.70,27.20,19.80
2006-12-27,2.00,23.25,8.30,29.70,17.10
2006-12-28,3.16,23.98,9.30,30.80,17.40
2006-12-29,3.28,26.12,8.50,33.00,21.10
2006-12-30,2.01,27.26,6.90,34.60,21.30
2006-12-31,2.40,27.46,9.30,33.20,21.70
2007-01-01,2.70,27.21,8.30,34.00,21.50
2007-01-02,2.21,28.52,8.70,34.20,23.80
2007-01-03,2.28,25.49,14.30,30.30,21.70
2007-01-04,1.54,25.68,5.80,30.70,22.80
2007-01-05,2.75,25.58,13.80,31.70,20.90
2007-01-06,3.48,24.20,10.00,28.40,21.40
2007-01-07,3.63,23.09,10.30,28.60,18.20
2007-01-08,4.32,22.80,11.00,27.10,19.00
2007-01-09,2.53,25.07,7.60,32.30,18.90
2007-01-10,2.38,27.07,7.00,34.40,21.20
2007-01-11,1.89,25.34,7.60,29.40,23.40
2007-01-12,2.94,25.68,9.30,31.60,22.60
2007-01-13,1.60,25.75,8.00,32.10,19.70
