data,v_vento,t_med,v_rajada,t_max,t_min
2011-08-03,2.23,15.21,8.80,19.60,9.00
2011-08-04,1.24,11.45,7.20,20.20,2.50
2011-08-05,2.30,18.62,8.50,27.30,11.70
2011-08-06,1.80,21.81,9.20,32.40,11.90
2011-08-07,2.04,24.39,12.90,34.30,14.10
2011-08-08,2.23,25.90,10.90,34.30,18.40
2011-08-09,1.26,26.96,6.70,33.90,19.90
2011-08-10,0.97,25.73,5.70,35.00,17.50
2011-08-11,1.80,26.78,6.40,33.90,21.00
2011-08-12,2.14,27.50,10.60,35.30,17.60
2011-08-13,1.83,26.71,9.90,36.00,16.40
2011-08-14,1.44,25.80,7.00,35.50,15.90
2011-08-15,2.30,25.95,11.40,35.70,17.60
2011-08-16,2.92,27.23,12.50,35.40,19.80
2011-08-17,1.16,23.78,8.40,27.80,20.40
2011-08-18,2.60,26.54,14.40,33.90,19.80
2011-08-19,3.10,23.90,12.90,32.40,15.20
2011-08-20,2.90,12.84,11.80,16.60,10.30
2011-08-21,1.94,12.53,7.90,18.60,9.80
2011-08-22,1.91,11.45,8.50,13.80,9.60
2011-08-23,1.73,13.43,7.10,20.30,10.10
2011-08-24,1.65,18.77,8.60,29.60,9.60
2011-08-25,1.30,23.80,7.30,34.40,13.30
2011-08-26,1.28,25.95,7.40,35.20,16.60
2011-08-27,2.29,26.20,13.40,36.20,16.40
2011-08-28,2.75,28.50,12.90,36.60,20.10
2011-08-29,2.90,29.40,13.70,36.30,22.60
2011-08-30,1.73,27.38,10.80,35.00,20.80
2011-08-31,1.88,22.57,11.30,30.30,16.70
2011-09-01,1.38,19.01,7.80,30.00,7.40
2011-09-02,1.57,21.42,8.50,32.40,9.10
2011-09-03,2.35,25.42,9.40,35.90,16.50
2011-09-04,3.18,29.11,14.00,36.60,22.90
2011-09-05,1.40,27.64,10.10,33.20,22.60
2011-09-06,1.72,23.60,6.50,30.50,17.70
2011-09-07,1.54,24.83,9.00,34.60,16.60
2011-09-08,1.94,22.77,10.40,28.50,18.30
2011-09-09,2.20,16.82,10.60,19.70,15.00
2011-09-10,1.25,18.36,6.60,26.50,12.20
2011-09-11,0.97,23.11,8.50,31.10,16.50
2011-09-12,1.02,21.38,7.50,32.70,10.20
2011-09-13,0.91,22.87,5.50,34.30,11.60
2011-09-14,1.15,25.43,6.70,34.90,14.00
2011-09-15,2.31,25.45,8.30,33.80,18.80
2011-09-16,2.20,27.33,8.80,34.60,19.30
2011-09-17,2.41,28.84,10.00,35.70,23.10
2011-09-18,1.77,23.18,14.80,30.00,19.80
2011-09-19,1.73,25.85,9.40,34.00,19.60
2011-09-20,2.47,21.51,9.40,26.00,19.30
2011-09-21,1.12,23.12,4.80,32.00,15.60
2011-09-22,1.42,25.37,9.50,35.80,14.50
2011-09-23,1.28,22.66,15.70,27.90,20.60
2011-09-24,1.32,22.42,7.30,28.80,18.10
2011-09-25,1.42,21.80,8.00,30.00,12.80
2011-09-26,1.49,24.34,6.80,33.20,18.10
2011-09-27,0.86,25.08,4.90,34.50,14.20
2011-09-28,1.30,25.98,7.50,36.20,16.20
2011-09-29,1.75,27.20,9.70,35.50,18.20
2011-09-30,1.51,28.40,8.20,36.90,19.60
2011-10-01,2.65,27.14,13.40,35.30,19.50
2011-10-02,1.74,23.44,15.10,30.00,19.00
2011-10-03,1.03,24.56,5.90,32.20,16.50
