data,v_vento,t_med,v_rajada,t_max,t_min
2017-10-24,3.49,27.82,8.10,30.60,24.30
2017-10-25,2.72,25.48,7.90,32.10,18.50
2017-10-26,2.30,25.67,12.20,34.50,17.70
2017-10-27,1.65,23.66,9.80,28.60,18.80
2017-10-28,2.54,22.34,8.50,28.00,18.00
2017-10-29,2.22,21.35,10.10,24.40,18.90
2017-10-30,2.36,22.44,8.00,30.00,17.80
2017-10-31,2.15,22.68,12.70,29.60,18.80
2017-11-01,3.49,20.92,9.80,23.60,19.10
2017-11-02,2.91,21.88,8.60,27.20,17.10
2017-11-03,2.42,23.13,9.70,30.50,16.90
2017-11-04,2.41,23.52,9.20,29.50,17.50
2017-11-05,2.31,23.55,8.60,28.00,19.60
2017-11-06,2.83,23.09,20.70,30.00,18.70
2017-11-07,3.45,21.43,10.30,25.50,17.90
2017-11-08,2.03,21.52,6.60,25.70,16.80
2017-11-09,2.18,20.91,7.00,23.90,17.70
2017-11-10,2.08,21.45,9.40,23.80,19.40
2017-11-11,2.58,21.03,10.20,25.30,18.70
2017-11-12,2.03,22.92,8.20,30.20,18.60
2017-11-13,2.37,23.48,6.90,31.00,14.80
2017-11-14,2.79,23.58,7.20,31.50,15.20
2017-11-15,1.95,24.95,7.90,30.40,20.40
2017-11-16,1.72,24.78,7.20,30.90,18.70
2017-11-17,1.77,25.53,7.50,32.50,16.60
2017-11-18,1.90,24.06,11.40,29.60,19.50
2017-11-19,1.65,22.80,10.10,29.40,19.80
2017-11-20,1.62,23.67,8.00,30.00,19.90
2017-11-21,1.61,22.44,6.50,25.30,20.30
2017-11-22,1.84,21.23,7.90,23.50,19.30
2017-11-23,2.62,20.95,8.90,24.00,18.40
2017-11-24,2.77,21.88,7.70,27.10,17.90
2017-11-25,2.08,23.70,7.30,29.20,18.40
2017-11-26,1.63,22.96,9.40,27.30,19.70
2017-11-27,1.30,21.55,7.30,27.90,19.60
2017-11-28,1.77,23.90,9.70,31.10,19.20
2017-11-29,2.28,23.50,11.30,30.10,18.30
2017-11-30,2.83,22.65,9.70,28.60,18.70
2017-12-01,1.85,19.02,7.90,21.90,17.00
2017-12-02,1.58,21.02,5.30,25.20,18.00
2017-12-03,1.98,22.42,12.30,26.90,19.90
2017-12-04,2.05,23.86,9.70,30.90,19.40
2017-12-05,1.47,24.66,7.20,30.00,20.20
2017-12-06,2.05,23.01,8.30,28.00,20.30
2017-12-07,1.83,21.67,10.90,26.30,20.10
2017-12-08,2.33,22.77,10.20,28.60,20.00
2017-12-09,1.67,24.15,7.90,30.60,19.90
2017-12-10,1.82,24.84,6.50,31.50,19.20
2017-12-11,1.70,23.57,7.40,28.80,20.40
2017-12-12,2.49,23.82,8.40,29.80,19.20
2017-12-13,2.62,22.95,7.00,27.20,18.40
2017-12-14,2.06,23.09,7.70,27.30,19.60
2017-12-15,1.82,23.06,6.10,28.80,18.90
2017-12-16,2.42,21.23,9.70,28.20,17.80
