data,v_vento,t_med,v_rajada,t_max,t_min
2011-10-23,2.80,24.50,5.60,24.80,24.10
2011-10-24,0.91,26.45,6.40,34.80,20.50
2011-10-25,0.53,24.02,5.80,31.70,21.70
2011-10-26,1.94,28.31,7.70,33.00,21.20
2011-10-27,1.22,27.54,7.90,34.80,22.80
2011-10-28,0.86,26.39,7.80,36.30,20.70
2011-10-29,1.51,28.20,8.30,36.50,21.60
2011-10-30,1.60,25.17,13.10,33.30,20.50
2011-10-31,0.99,25.03,7.70,32.20,20.40
2011-11-01,1.52,26.18,9.80,34.90,20.50
2011-11-02,1.25,24.83,12.90,33.40,21.30
2011-11-03,1.40,24.15,8.30,31.20,20.80
2011-11-04,1.03,24.94,10.40,33.30,21.50
2011-11-05,1.51,24.58,8.20,32.00,21.40
2011-11-06,1.37,23.38,7.60,29.00,20.30
2011-11-07,0.97,24.05,6.60,29.60,21.40
2011-11-08,0.90,25.33,5.40,31.10,21.60
2011-11-09,1.06,25.48,7.20,32.10,21.80
2011-11-10,1.19,25.92,5.20,32.60,21.80
2011-11-11,1.10,25.65,10.00,31.80,22.10
2011-11-12,0.82,25.26,13.10,33.90,21.10
2011-11-13,0.96,26.28,8.50,33.60,21.70
2011-11-14,1.96,25.97,9.50,32.50,21.40
2011-11-15,1.54,22.83,11.60,25.70,20.90
2011-11-16,0.65,25.31,5.00,32.70,21.30
2011-11-17,0.55,27.20,4.90,35.20,20.50
2011-11-18,0.93,27.37,5.80,35.40,20.90
2011-11-19,1.16,26.20,9.00,33.00,21.50
2011-11-20,0.99,26.74,6.10,33.70,21.60
2011-11-21,1.20,27.35,7.40,35.20,21.80
2011-11-22,1.54,24.70,13.30,30.60,22.80
2011-11-23,0.98,25.33,7.80,31.90,21.50
2011-11-24,1.49,24.73,11.60,31.20,20.90
2011-11-25,0.72,24.83,4.80,30.50,21.60
2011-11-26,1.40,25.55,11.80,32.90,21.50
2011-11-27,0.70,25.12,4.70,32.00,20.50
2011-11-28,1.00,26.55,5.90,34.00,21.00
2011-11-29,0.87,26.82,6.00,34.10,21.80
2011-11-30,1.52,26.25,8.40,33.30,22.00
2011-12-01,0.90,24.49,10.90,32.60,19.60
2011-12-02,0.71,26.10,6.60,34.80,20.90
2011-12-03,1.52,26.20,9.20,33.90,20.50
2011-12-04,0.93,25.95,5.80,31.70,22.40
2011-12-05,1.04,24.05,8.40,30.70,21.90
2011-12-06,1.12,25.21,6.90,30.60,21.70
2011-12-07,1.08,25.91,8.60,33.60,22.00
2011-12-08,1.31,24.60,8.30,32.00,22.00
2011-12-09,1.61,24.29,9.00,29.30,21.80
2011-12-10,1.59,25.70,8.60,32.20,20.70
2011-12-11,1.33,25.30,9.80,32.00,21.80
2011-12-12,2.21,25.85,9.60,31.30,22.50
2011-12-13,1.22,25.17,8.20,30.80,22.90
2011-12-14,0.84,24.45,5.50,30.90,21.90
2011-12-15,0.65,24.84,5.50,31.90,21.70
2011-12-16,0.82,24.58,6.80,29.90,22.40
2011-12-17,1.25,23.98,7.50,27.40,21.90
2011-12-18,1.04,24.06,7.90,30.30,21.00
2011-12-19,0.75,24.13,7.30,30.50,22.30
2011-12-20,0.94,25.26,6.60,32.10,22.00
2011-12-21,1.30,24.27,8.40,29.30,21.70
2011-12-22,0.82,26.03,5.70,33.40,21.10
2011-12-23,1.30,23.78,7.70,27.10,22.10
2011-12-24,0.97,23.21,10.20,28.90,20.40
2011-12-25,0.75,25.06,6.40,33.40,19.80
2011-12-26,0.92,24.98,5.40,30.10,21.40
2011-12-27,0.74,25.54,4.90,33.10,20.80
2011-12-28,1.42,25.91,8.40,32.00,21.50
2011-12-29,1.30,25.72,10.80,32.30,21.00
2011-12-30,1.32,24.83,10.70,31.60,21.80
2011-12-31,1.04,24.90,10.90,32.10,22.00
2012-01-01,1.38,23.99,11.30,29.70,21.80
2012-01-02,1.57,25.43,6.80,31.00,22.50
2012-01-03,1.35,24.46,11.50,31.20,21.10
2012-01-04,1.34,26.26,7.60,34.20,22.10
2012-01-05,1.20,25.79,7.80,32.30,22.10
2012-01-06,1.13,25.70,7.40,30.90,21.40
2012-01-07,1.08,25.48,5.10,31.50,22.30
2012-01-08,1.27,23.95,7.70,27.10,22.20
2012-01-09,1.01,24.56,11.80,31.00,20.80
2012-01-10,1.59,23.51,10.00,29.40,21.70
2012-01-11,1.47,22.36,7.00,26.40,21.40
2012-01-12,0.86,22.80,9.00,28.60,20.80
2012-01-13,1.10,23.98,9.20,30.70,21.50
2012-01-14,2.03,23.90,8.10,28.10,21.50
2012-01-15,1.32,24.71,5.80,29.80,22.30
2012-01-16,1.69,25.53,6.90,32.10,22.50
2012-01-17,1.05,23.58,9.10,27.40,20.90
2012-01-18,1.41,23.29,8.70,29.20,20.70
2012-01-19,1.48,24.04,9.30,29.10,21.70
2012-01-20,1.66,24.17,7.30,30.60,21.20
2012-01-21,0.97,24.64,6.20,30.90,21.70
2012-01-22,1.33,24.38,10.40,30.70,22.00
2012-01-23,1.10,23.74,8.10,30.70,20.40
2012-01-24,0.97,24.55,7.10,30.90,22.50
2012-01-25,0.99,23.94,5.20,28.30,22.20
2012-01-26,1.08,24.69,11.80,31.10,22.10
2012-01-27,1.19,22.34,9.30,24.30,20.90
2012-01-28,1.07,24.98,7.00,32.40,20.10
2012-01-29,1.53,25.69,8.10,31.30,22.00
2012-01-30,0.93,24.38,7.10,31.40,21.60
2012-01-31,1.58,24.88,5.60,31.20,22.20
2012-02-01,0.97,25.28,6.90,31.50,21.50
2012-02-02,0.89,23.68,8.20,28.80,21.10
2012-02-03,1.19,26.11,6.40,32.70,21.30
2012-02-04,1.08,24.30,10.90,32.00,20.80
2012-02-05,1.26,25.98,5.60,34.80,20.40
2012-02-06,0.55,24.06,11.60,33.70,18.90
2012-02-07,0.78,25.95,6.10,35.20,19.70
2012-02-08,1.08,25.75,6.90,34.20,20.90
2012-02-09,0.95,24.96,11.30,33.10,21.30
2012-02-10,1.02,24.50,7.80,31.30,19.60
2012-02-11,0.95,25.20,9.10,31.10,20.20
2012-02-12,1.54,25.65,8.40,32.20,21.80
2012-02-13,1.23,23.05,9.50,26.50,21.90
2012-02-14,1.43,22.36,8.00,25.00,20.50
2012-02-15,1.69,23.25,9.80,28.30,21.20
2012-02-16,1.42,22.59,9.60,27.20,19.90
2012-02-17,0.82,24.80,6.80,32.40,18.70
2012-02-18,1.47,23.62,11.00,31.50,19.70
2012-02-19,1.24,23.14,9.90,29.40,20.50
2012-02-20,0.93,24.91,8.90,32.10,20.90
2012-02-21,1.10,24.12,10.20,31.40,20.70
2012-02-22,1.19,23.94,6.70,30.90,21.60
2012-02-23,1.21,25.15,6.30,31.70,20.90
2012-02-24,1.30,24.85,7.80,30.90,22.00
2012-02-25,1.17,24.73,9.20,32.10,22.10
2012-02-26,1.29,25.00,7.00,31.60,21.80
2012-02-27,1.20,23.90,12.50,30.10,19.40
2012-02-28,1.22,25.04,9.60,31.50,20.30
2012-02-29,1.30,24.07,11.70,31.40,20.20
2012-03-01,1.26,24.55,7.90,30.60,20.90
