data,v_vento,t_med,v_rajada,t_max,t_min
2007-08-26,0.54,29.20,4.50,35.90,24.30
2007-08-27,1.02,27.19,8.00,37.60,18.50
2007-08-28,1.67,27.45,9.20,37.70,19.20
2007-08-29,2.16,29.37,10.20,38.00,21.40
2007-08-30,3.53,29.08,13.00,34.60,23.40
2007-08-31,1.93,25.10,12.50,32.80,17.40
2007-09-01,1.36,26.75,8.60,36.00,19.80
2007-09-02,1.95,27.72,11.10,36.40,20.90
2007-09-03,2.93,28.49,10.80,34.80,23.60
2007-09-04,2.22,27.31,11.60,32.90,19.90
2007-09-05,2.91,27.99,13.50,34.50,22.80
2007-09-06,2.61,28.08,10.60,34.30,23.70
2007-09-07,1.20,27.52,7.60,35.90,20.60
2007-09-08,1.73,27.85,9.10,36.40,21.80
2007-09-09,2.77,28.73,12.90,36.50,22.70
2007-09-10,2.39,29.41,12.70,36.80,23.40
2007-09-11,2.14,29.22,11.20,37.50,23.50
2007-09-12,2.40,29.72,14.10,37.30,23.40
2007-09-13,2.85,29.92,12.60,37.00,26.30
2007-09-14,2.41,29.85,14.30,36.60,26.30
2007-09-15,1.62,30.17,11.10,38.10,24.40
2007-09-16,0.87,29.57,5.70,39.00,21.30
2007-09-17,1.18,30.89,8.40,40.90,24.00
2007-09-18,2.34,32.46,11.30,38.60,27.50
2007-09-19,2.04,29.43,9.80,35.30,23.80
2007-09-20,1.49,30.21,9.80,38.00,24.50
2007-09-21,2.33,30.92,14.30,39.40,23.30
2007-09-22,1.85,29.50,11.10,38.10,21.80
2007-09-23,1.45,30.14,8.30,38.70,22.20
2007-09-24,1.38,28.88,11.00,38.80,21.90
2007-09-25,2.21,28.19,12.90,37.90,21.00
2007-09-26,2.91,30.15,14.80,36.90,24.10
2007-09-27,1.59,28.17,9.50,35.90,20.70
2007-09-28,2.71,29.91,13.70,36.90,24.70
2007-09-29,1.01,29.09,9.00,37.70,22.10
2007-09-30,1.49,29.36,12.80,38.80,23.00
2007-10-01,1.88,28.11,11.90,34.60,23.30
2007-10-02,2.73,26.73,17.30,35.50,19.20
2007-10-03,1.06,26.26,12.80,35.30,19.80
2007-10-04,1.95,29.22,10.50,37.30,21.70
2007-10-05,2.03,28.33,19.10,34.50,20.00
2007-10-06,0.85,25.41,7.70,32.70,21.40
2007-10-07,0.98,27.98,7.80,36.90,20.60
2007-10-08,1.72,30.69,9.80,38.80,21.70
2007-10-09,3.14,31.56,13.40,39.00,26.70
2007-10-10,2.75,30.39,12.70,37.80,25.40
2007-10-11,2.48,30.50,12.10,38.00,23.90
2007-10-12,1.60,29.68,8.90,37.40,22.90
2007-10-13,1.24,27.35,7.30,33.70,23.70
2007-10-14,1.30,28.74,10.20,37.30,23.00
2007-10-15,1.40,27.06,13.60,34.90,21.40
2007-10-16,0.77,29.86,6.30,38.00,22.60
2007-10-17,1.52,31.37,8.20,39.90,25.40
2007-10-18,1.72,29.51,11.70,37.00,24.70
2007-10-19,1.46,25.30,12.30,29.10,20.60
2007-10-20,1.14,29.00,6.00,39.10,21.50
2007-10-21,1.53,27.90,10.00,32.80,23.40
2007-10-22,1.50,26.86,10.80,36.80,22.60
2007-10-23,2.37,25.65,10.50,30.60,22.30
2007-10-24,0.76,26.08,5.90,34.10,21.90
2007-10-25,1.80,25.44,11.30,32.10,20.40
2007-10-26,0.74,24.96,5.90,33.20,19.40
2007-10-27,0.51,27.48,6.80,37.70,21.70
2007-10-28,0.78,30.60,7.60,39.90,24.80
2007-10-29,0.70,30.71,6.00,40.40,22.30
2007-10-30,1.43,28.18,23.20,38.50,19.70
2007-10-31,1.44,25.52,16.10,33.60,20.90
2007-11-01,1.92,27.62,11.50,34.80,21.30
2007-11-02,1.58,28.81,10.30,35.90,22.60
2007-11-03,1.82,27.99,10.80,34.90,22.60
2007-11-04,1.40,28.12,17.60,37.00,22.60
2007-11-05,1.14,25.75,10.20,32.80,21.80
2007-11-06,2.42,26.72,12.30,32.60,23.10
2007-11-07,1.29,27.29,8.90,34.60,22.00
2007-11-08,1.30,27.67,10.20,36.30,23.20
2007-11-09,1.70,27.57,17.80,35.40,23.10
2007-11-10,0.98,25.20,8.80,30.60,21.40
2007-11-11,1.45,25.26,10.40,31.60,21.80
2007-11-12,1.11,26.42,19.10,36.60,21.20
2007-11-13,2.02,23.78,13.90,26.50,21.20
2007-11-14,1.59,26.58,8.70,33.90,20.50
2007-11-15,1.28,24.85,15.20,33.60,22.70
2007-11-16,2.10,33.40,5.70,34.70,33.30
2007-11-17,1.80,29.90,8.90,36.10,24.20
2007-11-18,1.40,28.15,5.10,36.10,21.40
2007-11-19,2.25,27.08,18.60,36.40,20.80
2007-11-20,0.84,27.73,6.30,35.90,21.30
2007-11-21,1.38,28.08,11.90,36.20,23.40
2007-11-22,1.15,28.90,8.30,37.40,22.50
2007-11-23,1.96,24.41,10.30,29.30,20.40
2007-11-24,1.70,25.77,9.10,32.70,21.20
2007-11-25,0.70,25.80,5.90,33.00,21.40
2007-11-26,0.49,24.31,4.00,29.10,21.70
2007-11-27,0.91,24.62,4.70,30.20,21.60
2007-11-28,1.19,25.18,13.70,33.80,20.90
2007-11-29,0.88,23.88,5.40,28.90,20.20
2007-11-30,1.13,24.71,13.30,32.50,20.70
2007-12-01,1.05,24.62,8.60,30.00,21.60
2007-12-02,1.40,25.13,12.30,32.10,19.80
2007-12-03,1.02,25.16,6.00,31.60,20.20
2007-12-04,0.83,26.77,6.40,31.90,22.80
2007-12-05,1.66,25.08,13.00,31.60,19.50
2007-12-06,0.83,24.13,12.00,30.50,22.00
2007-12-07,0.82,25.07,7.40,30.80,20.60
2007-12-08,0.71,25.50,4.30,31.80,21.00
2007-12-09,1.35,25.62,10.00,33.00,22.20
2007-12-10,1.82,23.73,12.80,27.10,20.60
2007-12-11,1.26,23.86,6.80,26.80,20.20
2007-12-12,0.86,26.42,5.60,33.90,19.50
2007-12-13,1.04,28.30,5.90,36.70,22.40
2007-12-14,1.71,22.88,12.60,27.30,21.50
2007-12-15,0.99,25.33,7.20,30.80,21.60
2007-12-16,0.63,23.92,7.80,28.80,21.00
2007-12-17,0.98,25.88,8.50,33.30,21.30
2007-12-18,1.39,24.87,12.00,28.20,20.30
2007-12-19,1.74,23.73,8.50,28.10,21.70
2007-12-20,2.25,21.71,12.20,25.50,17.40
2007-12-21,,,,,
2007-12-22,3.63,23.83,12.80,27.80,21.50
2007-12-23,1.37,24.36,9.30,32.10,19.70
2007-12-24,0.51,23.37,3.50,28.40,21.40
2007-12-25,0.75,24.68,6.40,30.50,21.30
2007-12-26,0.94,24.86,8.50,32.20,21.10
2007-12-27,1.58,26.27,11.40,33.10,20.10
2007-12-28,0.74,26.23,5.40,34.60,19.20
2007-12-29,1.43,25.90,11.90,35.00,20.60
2007-12-30,1.25,26.06,10.20,33.80,22.30
2007-12-31,0.66,25.53,9.00,33.50,19.80
2008-01-01,1.04,25.48,7.20,32.80,20.20
2008-01-02,0.73,24.94,10.00,34.50,21.30
