data,v_vento,t_med,v_rajada,t_max,t_min
1997-06-01,2.46,16.11,8.40,23.50,9.80
1997-06-02,1.57,14.10,7.30,16.40,11.30
1997-06-03,2.60,15.05,10.00,17.40,13.40
1997-06-04,2.77,15.77,8.30,16.60,15.10
1997-06-05,1.94,17.27,6.50,19.30,15.90
1997-06-06,3.42,18.43,9.20,22.30,14.50
1997-06-07,5.43,12.30,11.90,15.90,5.80
1997-06-08,2.35,8.25,6.90,16.60,1.10
1997-06-09,1.24,9.67,5.60,20.10,1.30
1997-06-10,2.03,13.84,8.20,23.20,6.40
1997-06-11,2.75,15.32,6.70,19.70,11.60
1997-06-12,2.40,17.70,6.30,21.50,14.90
1997-06-13,3.43,21.71,10.00,28.20,17.90
1997-06-14,5.37,17.31,20.00,23.40,11.90
1997-06-15,1.99,13.79,9.40,21.40,8.50
1997-06-16,1.50,12.12,6.30,20.40,4.30
1997-06-17,1.19,13.02,4.50,19.00,7.30
1997-06-18,2.55,16.30,7.70,23.10,0.00
1997-06-19,2.07,20.67,13.30,29.70,14.50
1997-06-20,2.14,22.97,9.90,30.00,18.70
1997-06-21,2.48,23.95,12.50,31.10,18.70
1997-06-22,1.48,23.93,9.00,30.20,19.90
1997-06-23,2.17,25.64,10.80,31.20,20.90
1997-06-24,1.56,22.06,8.90,29.90,15.50
1997-06-25,1.01,22.22,7.70,31.00,16.10
1997-06-26,1.21,21.75,6.40,24.80,19.80
1997-06-27,3.42,18.08,9.70,20.50,14.50
1997-06-28,2.45,12.24,6.10,16.10,7.10
1997-06-29,1.59,12.15,4.60,13.70,10.80
1997-06-30,1.86,13.39,6.20,20.50,8.40
1997-07-01,1.86,10.13,6.60,17.30,3.70
1997-07-02,2.52,21.43,7.70,26.40,15.50
1997-07-03,1.15,20.48,5.50,25.60,17.30
1997-07-04,2.02,18.51,6.80,23.60,13.30
1997-07-05,2.33,16.41,9.10,25.80,8.50
1997-07-06,1.76,19.38,6.00,28.30,13.60
1997-07-07,1.92,20.80,7.40,29.20,13.50
1997-07-08,5.96,21.25,7.80,28.90,16.00
1997-07-09,2.05,21.64,8.00,29.40,16.90
1997-07-10,1.42,21.03,6.60,30.00,12.90
1997-07-11,1.22,18.91,4.30,29.50,11.60
1997-07-12,2.18,17.99,10.60,27.00,10.20
1997-07-13,1.45,19.75,5.70,28.40,13.70
1997-07-14,1.13,19.02,5.00,28.50,11.70
1997-07-15,1.83,22.05,7.40,29.80,12.20
1997-07-16,1.30,19.74,4.40,28.10,13.20
1997-07-17,1.25,20.44,6.80,27.30,16.10
1997-07-18,2.70,19.68,8.80,24.40,17.00
1997-07-19,2.08,20.55,7.70,28.00,14.90
1997-07-20,2.28,15.27,16.90,20.80,13.30
1997-07-21,1.72,15.48,5.90,18.90,13.20
1997-07-22,8.04,15.84,6.00,24.00,8.70
1997-07-23,1.52,16.31,6.20,25.00,8.70
