data,v_vento,t_med,v_rajada,t_max,t_min
2018-12-31,2.30,19.10,4.50,19.10,18.20
2019-01-01,1.87,21.72,8.80,26.80,18.90
2019-01-02,1.37,22.60,7.90,29.30,18.30
2019-01-03,1.53,24.07,7.00,29.80,18.30
2019-01-04,0.90,22.23,7.20,26.50,20.10
2019-01-05,1.33,21.20,12.70,26.40,18.90
2019-01-06,1.48,22.57,8.10,29.40,17.30
2019-01-07,1.86,24.24,8.90,30.80,18.40
2019-01-08,1.16,24.95,6.70,32.40,20.20
2019-01-09,1.83,23.85,8.30,29.80,19.40
2019-01-10,1.37,22.97,16.60,29.60,17.50
2019-01-11,1.14,23.69,7.20,29.50,18.60
2019-01-12,0.75,23.99,5.20,30.70,18.50
2019-01-13,0.95,24.80,5.90,31.90,19.20
2019-01-14,1.27,24.90,7.00,31.70,19.50
2019-01-15,1.20,25.34,6.60,31.80,19.40
2019-01-16,1.24,26.45,7.50,33.00,20.00
2019-01-17,2.17,22.73,16.70,29.30,17.50
2019-01-18,0.98,24.07,6.10,31.40,17.50
2019-01-19,1.09,25.41,6.20,31.90,19.20
2019-01-20,0.84,25.54,6.10,32.00,19.10
2019-01-21,0.85,25.35,6.40,32.60,19.40
2019-01-22,0.77,25.94,5.20,32.50,21.10
2019-01-23,1.23,25.05,9.10,31.60,19.00
2019-01-24,0.96,25.51,6.90,32.30,18.10
2019-01-25,1.51,25.69,9.40,32.40,20.20
2019-01-26,1.26,20.65,8.20,25.50,18.30
2019-01-27,1.41,21.07,8.40,27.80,17.50
2019-01-28,1.56,24.49,8.90,31.50,18.30
2019-01-29,1.27,25.24,7.40,32.20,19.00
2019-01-30,1.22,25.30,6.20,32.10,19.40
2019-01-31,0.94,25.41,5.70,33.40,18.70
2019-02-01,1.17,25.84,7.30,33.20,19.00
2019-02-02,0.88,26.20,6.10,34.20,19.30
2019-02-03,0.84,26.87,11.50,34.50,18.90
2019-02-04,1.46,23.85,8.10,31.30,18.60
2019-02-05,2.30,23.55,11.20,31.10,18.80
2019-02-06,1.98,21.38,12.40,27.80,19.00
2019-02-07,1.78,21.70,7.00,26.40,18.50
2019-02-08,1.62,23.12,8.80,30.70,18.70
2019-02-09,1.67,23.43,10.90,30.90,19.30
2019-02-10,2.45,23.40,9.80,28.80,20.00
2019-02-11,2.70,24.26,8.90,30.70,20.10
2019-02-12,1.59,24.56,7.10,30.10,19.80
2019-02-13,1.40,23.59,10.80,30.10,19.20
2019-02-14,1.49,22.51,9.00,30.50,19.10
2019-02-15,1.69,22.41,10.00,28.90,19.00
2019-02-16,1.71,21.58,10.20,26.60,19.80
2019-02-17,2.30,21.17,9.50,24.50,19.90
2019-02-18,2.50,20.56,7.50,24.90,18.60
2019-02-19,1.73,22.02,6.60,27.80,19.20
2019-02-20,1.47,23.17,13.10,30.40,19.50
2019-02-21,1.20,22.75,11.10,29.10,18.90
2019-02-22,1.73,24.66,9.90,31.60,19.20
2019-02-23,1.96,25.49,10.70,31.40,18.90
2019-02-24,1.98,25.88,14.30,32.30,20.20
2019-02-25,1.51,24.05,13.80,31.90,19.00
2019-02-26,1.57,22.23,10.80,28.50,19.70
2019-02-27,1.13,23.17,6.80,29.80,18.00
2019-02-28,1.66,23.08,10.50,28.80,18.40
2019-03-01,2.08,22.32,8.70,27.90,18.80
2019-03-02,1.07,21.27,6.00,25.80,19.40
2019-03-03,1.45,21.15,8.80,27.70,18.70
2019-03-04,1.16,21.11,5.90,24.70,18.80
2019-03-05,0.91,21.45,4.50,26.60,18.90
2019-03-06,1.07,21.49,8.80,28.10,18.10
2019-03-07,1.57,22.58,14.00,30.10,18.40
2019-03-08,1.22,23.27,7.50,30.30,17.90
2019-03-09,0.99,24.40,6.60,31.60,18.30
2019-03-10,1.09,24.40,8.60,30.70,18.90
2019-03-11,1.46,21.80,11.00,26.10,18.50
2019-03-12,1.83,23.21,8.90,28.80,19.30
2019-03-13,1.03,22.81,7.00,28.60,19.40
2019-03-14,1.14,22.36,8.10,28.00,18.30
2019-03-15,1.12,23.75,6.40,30.80,17.80
2019-03-16,1.21,24.03,6.80,30.80,18.70
2019-03-17,1.89,21.62,10.00,24.80,18.80
2019-03-18,1.24,23.35,7.70,30.70,18.10
2019-03-19,1.27,24.81,9.50,30.50,19.80
2019-03-20,1.29,24.30,10.40,30.50,19.60
2019-03-21,0.97,21.75,6.90,27.30,19.90
2019-03-22,1.06,21.75,7.20,27.50,19.60
2019-03-23,1.56,21.17,7.10,24.70,18.50
2019-03-24,1.48,23.30,6.70,29.30,19.80
2019-03-25,1.67,23.02,7.30,29.10,17.60
2019-03-26,1.35,23.30,8.00,29.80,17.60
2019-03-27,1.86,22.84,7.40,27.10,19.60
2019-03-28,1.22,22.96,7.00,26.90,20.40
2019-03-29,1.18,22.50,7.10,28.70,18.30
2019-03-30,1.10,22.35,5.90,28.50,17.00
2019-03-31,1.35,22.65,6.30,28.30,18.50
2019-04-01,1.17,22.48,12.30,29.90,17.50
2019-04-02,1.42,22.17,8.20,28.80,17.90
2019-04-03,1.12,23.04,8.20,29.80,18.00
2019-04-04,1.45,24.86,7.00,30.40,21.30
2019-04-05,1.21,22.95,8.10,29.10,19.80
2019-04-06,2.09,22.41,9.10,28.10,19.60
2019-04-07,1.43,21.63,9.90,27.30,19.80
2019-04-08,1.02,21.51,6.80,26.80,19.70
2019-04-09,1.29,21.38,8.20,28.10,18.80
2019-04-10,0.90,21.87,5.60,28.80,17.90
2019-04-11,1.27,22.58,7.20,29.20,18.70
2019-04-12,0.98,21.89,6.80,28.30,18.40
2019-04-13,1.07,21.42,7.00,27.50,19.70
2019-04-14,2.44,22.07,9.10,25.50,19.70
2019-04-15,1.00,21.97,6.50,24.80,20.20
2019-04-16,1.74,22.58,8.90,28.30,19.00
2019-04-17,1.52,22.23,8.40,28.20,19.10
2019-04-18,1.23,22.99,6.20,29.70,18.60
2019-04-19,1.34,22.58,6.00,29.70,16.20
2019-04-20,1.21,22.66,7.40,30.70,16.60
2019-04-21,1.35,22.77,7.60,30.10,16.50
2019-04-22,1.57,22.31,13.40,28.60,17.60
2019-04-23,1.44,22.03,7.10,29.30,17.60
2019-04-24,1.27,22.24,7.90,28.70,17.60
2019-04-25,1.39,22.40,8.00,28.40,17.50
2019-04-26,0.76,22.35,5.30,29.20,17.60
2019-04-27,1.17,22.56,6.90,29.00,17.50
2019-04-28,1.20,22.83,6.90,29.10,17.20
2019-04-29,1.14,22.75,6.60,29.20,17.90
2019-04-30,0.76,22.79,5.10,29.50,17.30
2019-05-01,0.96,21.80,6.20,28.00,16.00
2019-05-02,0.76,21.32,6.00,25.50,18.60
2019-05-03,1.16,22.29,7.00,27.40,19.30
2019-05-04,0.70,21.93,8.40,27.50,18.40
2019-05-05,0.99,21.92,6.60,26.80,18.30
2019-05-06,0.83,22.00,5.20,28.60,17.20
2019-05-07,0.46,22.75,3.90,29.70,17.50
2019-05-08,0.70,23.22,4.60,30.40,17.90
2019-05-09,1.12,22.14,7.10,27.40,18.30
2019-05-10,0.96,21.84,5.90,28.50,17.80
2019-05-11,0.87,21.60,5.80,26.80,18.30
2019-05-12,0.64,22.45,3.80,29.20,17.30
2019-05-13,0.52,22.98,4.80,30.10,17.00
2019-05-14,0.71,22.88,5.30,29.90,16.90
2019-05-15,1.00,20.62,7.80,27.20,17.20
2019-05-16,0.72,18.81,4.90,21.60,16.60
2019-05-17,0.70,17.34,7.00,19.10,15.60
2019-05-18,0.90,19.00,5.00,24.30,15.90
2019-05-19,0.67,19.56,4.40,26.60,14.40
2019-05-20,0.73,19.74,5.90,27.20,13.60
2019-05-21,0.65,20.58,5.20,28.40,13.50
2019-05-22,0.61,21.35,5.90,27.80,15.30
2019-05-23,0.91,23.39,5.70,28.10,15.50
2019-05-24,2.14,23.88,6.90,28.00,17.10
2019-05-25,1.08,21.78,5.10,26.00,16.50
2019-05-26,0.54,20.12,4.60,27.50,13.90
2019-05-27,0.62,20.58,4.40,27.80,14.20
2019-05-28,0.97,21.03,8.20,27.20,16.50
2019-05-29,0.57,21.67,4.30,28.70,15.10
2019-05-30,0.82,21.79,5.80,28.10,16.20
2019-05-31,0.96,21.58,7.60,28.30,15.40
2019-06-01,0.45,21.79,4.10,28.80,15.30
2019-06-02,0.40,22.02,4.10,28.70,15.80
2019-06-03,1.44,20.85,12.80,27.70,15.80
2019-06-04,1.77,18.69,8.20,24.50,13.90
2019-06-05,1.64,18.95,5.90,23.10,10.10
2019-06-06,1.69,17.11,8.50,23.70,10.90
2019-06-07,1.07,17.17,7.40,24.70,11.40
2019-06-08,0.93,17.19,5.10,25.00,11.10
2019-06-09,0.98,17.39,5.60,24.80,11.50
2019-06-10,1.39,17.88,9.00,24.60,12.50
2019-06-11,0.98,18.21,6.80,25.70,12.20
2019-06-12,1.69,19.64,8.80,26.20,14.60
2019-06-13,1.67,20.49,9.20,27.10,14.90
2019-06-14,1.23,20.38,7.90,27.20,16.20
2019-06-15,1.58,19.42,8.10,26.10,13.80
2019-06-16,1.18,19.98,6.10,26.00,15.30
2019-06-17,1.20,18.83,6.00,26.00,12.90
2019-06-18,1.20,19.03,7.90,26.30,13.30
2019-06-19,1.22,20.15,6.70,26.80,12.90
2019-06-20,0.80,19.78,5.70,26.80,14.10
2019-06-21,1.92,19.57,10.10,25.20,14.50
2019-06-22,1.42,18.48,8.30,25.00,12.70
