data,v_vento,t_med,v_rajada,t_max,t_min
2007-07-03,2.04,17.00,7.70,20.40,15.20
2007-07-04,2.44,14.77,7.20,19.10,12.10
2007-07-05,3.34,15.05,10.00,20.00,12.70
2007-07-06,2.85,14.85,8.80,20.40,11.50
2007-07-07,3.29,14.99,10.10,21.10,10.80
2007-07-08,2.72,14.95,7.60,20.60,11.40
2007-07-09,2.60,15.93,7.90,20.50,13.00
2007-07-10,2.33,14.93,6.40,20.40,11.10
2007-07-11,2.42,16.74,8.00,23.40,11.80
2007-07-12,4.41,15.82,12.10,20.70,11.90
2007-07-13,2.94,15.72,9.20,19.90,12.00
2007-07-14,2.15,15.75,8.10,21.10,11.70
2007-07-15,1.75,17.38,7.40,23.20,12.80
2007-07-16,2.27,17.42,8.50,22.80,12.70
2007-07-17,2.73,15.97,8.80,19.00,13.50
2007-07-18,4.04,18.01,17.00,25.50,12.40
2007-07-19,3.20,18.66,9.20,23.40,13.70
2007-07-20,3.08,16.96,9.00,22.00,12.70
2007-07-21,2.96,16.89,7.70,23.00,13.40
2007-07-22,2.90,16.74,8.40,22.10,13.40
2007-07-23,2.71,17.99,9.10,24.80,12.70
2007-07-24,2.48,20.14,7.80,25.90,16.20
2007-07-25,4.02,18.55,10.50,24.90,13.30
2007-07-26,3.34,20.04,9.70,24.90,15.60
2007-07-27,3.83,16.96,9.50,20.80,14.40
2007-07-28,3.45,14.80,13.40,16.80,12.60
2007-07-29,5.09,12.39,10.80,14.60,11.10
2007-07-30,4.53,10.06,9.50,14.60,8.00
2007-07-31,3.49,11.01,10.50,17.50,5.90
2007-08-01,3.28,12.15,8.70,19.50,7.10
2007-08-02,3.47,12.87,10.60,19.30,8.10
2007-08-03,3.88,14.36,11.30,21.00,9.50
2007-08-04,2.90,15.32,8.50,21.20,11.40
2007-08-05,2.78,16.55,8.50,23.70,11.30
2007-08-06,5.45,15.77,12.60,21.40,12.70
2007-08-07,2.83,15.68,7.60,22.40,10.30
2007-08-08,4.79,16.03,11.40,22.40,11.00
2007-08-09,6.11,15.82,14.00,20.70,11.30
2007-08-10,5.31,14.79,13.10,19.50,10.90
2007-08-11,4.07,15.21,11.40,20.80,11.40
2007-08-12,5.74,15.48,13.50,21.80,11.20
2007-08-13,5.38,14.45,13.00,20.10,9.50
2007-08-14,6.56,14.48,15.10,20.00,10.30
2007-08-15,6.94,14.84,16.60,19.70,10.20
2007-08-16,5.96,13.97,12.80,19.60,9.10
2007-08-17,4.76,14.88,10.80,21.60,10.00
2007-08-18,5.08,14.93,12.20,21.60,10.40
2007-08-19,3.22,13.99,9.50,19.80,9.80
2007-08-20,2.34,15.77,10.80,23.90,9.70
2007-08-21,2.63,18.19,10.00,23.90,13.90
2007-08-22,3.94,15.48,11.10,21.00,10.50
2007-08-23,4.17,15.69,10.40,22.20,10.00
2007-08-24,3.13,15.86,8.80,22.80,9.70
2007-08-25,2.04,17.98,6.60,24.70,11.90
2007-08-26,2.98,20.33,12.80,27.10,13.60
2007-08-27,2.83,21.90,8.90,28.50,15.00
2007-08-28,3.69,21.88,11.00,28.10,17.90
2007-08-29,5.83,17.74,14.50,22.90,14.00
2007-08-30,8.50,16.48,17.00,21.10,12.80
2007-08-31,8.10,15.90,16.20,20.80,12.70
2007-09-01,4.39,16.32,11.00,22.60,11.80
2007-09-02,3.78,17.35,11.00,24.10,12.20
2007-09-03,5.57,17.65,13.80,24.00,13.00
2007-09-04,7.50,16.23,15.90,22.00,13.50
2007-09-05,6.56,15.79,14.20,21.00,12.40
2007-09-06,4.95,16.09,10.80,21.60,12.60
2007-09-07,3.81,15.78,8.60,21.30,11.80
2007-09-08,4.33,15.30,11.00,20.60,11.30
2007-09-09,4.22,15.43,10.50,21.50,10.70
2007-09-10,4.21,15.07,10.70,20.60,11.50
2007-09-11,4.73,14.96,10.50,19.80,12.10
2007-09-12,5.16,15.52,13.10,22.80,10.20
2007-09-13,4.86,15.54,11.10,21.00,11.20
2007-09-14,3.47,15.68,11.90,22.70,10.30
2007-09-15,2.34,17.47,8.40,24.60,11.50
2007-09-16,2.41,20.05,10.20,27.40,14.10
2007-09-17,2.82,21.59,9.30,27.70,16.40
2007-09-18,4.34,17.50,11.50,23.30,14.40
2007-09-19,2.66,16.42,10.50,25.10,12.10
2007-09-20,3.44,18.49,10.30,27.10,12.30
2007-09-21,3.04,19.43,9.00,28.10,12.10
2007-09-22,3.11,18.74,9.60,26.00,12.90
2007-09-23,2.66,19.83,8.60,26.90,13.20
2007-09-24,3.11,23.04,9.70,31.60,16.00
2007-09-25,5.20,20.00,11.10,25.20,16.30
2007-09-26,5.91,16.80,11.90,22.50,12.70
2007-09-27,5.37,16.05,12.90,22.60,11.50
2007-09-28,2.33,17.72,7.80,25.00,11.90
2007-09-29,3.05,19.55,11.30,26.60,14.60
2007-09-30,5.08,17.60,9.90,22.30,15.00
2007-10-01,4.67,16.46,11.30,20.80,13.00
2007-10-02,4.25,15.10,9.20,19.90,12.10
2007-10-03,4.06,16.76,9.20,23.30,12.60
2007-10-04,3.65,17.13,8.50,23.90,12.80
