data,v_vento,t_med,v_rajada,t_max,t_min
2007-10-11,4.33,16.60,11.70,17.10,16.00
2007-10-12,3.40,18.30,12.50,20.60,17.00
2007-10-13,2.14,15.80,11.10,19.90,12.80
2007-10-14,3.78,16.62,11.50,22.30,10.70
2007-10-15,5.07,17.65,13.50,18.90,16.00
2007-10-16,2.32,18.98,10.20,22.20,17.30
2007-10-17,0.72,17.95,4.90,24.90,10.40
2007-10-18,1.72,21.25,7.30,27.20,15.40
2007-10-19,2.28,21.26,7.90,28.20,14.60
2007-10-20,1.50,21.83,7.40,28.60,17.80
2007-10-21,0.68,19.47,5.30,24.50,15.70
2007-10-22,3.39,19.79,9.80,26.60,14.30
2007-10-23,4.02,19.10,11.80,24.40,15.60
2007-10-24,4.40,20.26,13.00,26.80,14.40
2007-10-25,3.50,22.74,11.20,30.60,16.10
2007-10-26,1.76,25.26,9.10,32.00,18.90
2007-10-27,1.45,21.43,13.40,24.40,17.90
2007-10-28,3.25,18.93,12.70,22.90,16.10
2007-10-29,3.24,18.59,17.10,20.00,17.60
2007-10-30,1.82,19.01,12.50,20.90,17.30
2007-10-31,1.90,20.48,17.90,26.60,16.30
2007-11-01,1.39,18.27,13.20,21.70,15.70
2007-11-02,1.15,17.08,7.10,21.60,13.40
2007-11-03,1.73,18.56,9.60,25.70,11.00
2007-11-04,2.16,15.63,11.30,21.40,11.00
2007-11-05,1.01,13.95,5.00,21.40,6.20
2007-11-06,1.17,18.08,4.80,26.40,9.80
2007-11-07,1.88,22.21,6.70,30.60,14.10
2007-11-08,1.98,25.63,7.60,33.30,18.20
2007-11-09,3.22,24.53,14.70,29.00,21.00
2007-11-10,2.05,19.64,10.90,22.50,15.90
2007-11-11,2.60,15.73,11.50,20.50,12.20
2007-11-12,1.49,14.96,7.70,23.70,6.60
2007-11-13,2.84,19.75,10.70,30.60,11.10
2007-11-14,3.00,18.48,13.60,22.50,14.00
2007-11-15,0.77,9.14,7.60,14.00,5.50
2007-11-16,,,,,
2007-11-17,,,,,
2007-11-18,,,,,
2007-11-19,1.28,27.37,5.30,29.80,24.00
2007-11-20,0.95,24.23,5.60,30.80,18.30
2007-11-21,1.33,23.58,9.30,30.40,17.30
2007-11-22,3.86,23.20,12.80,30.70,15.40
2007-11-23,2.91,22.75,12.50,32.20,18.90
2007-11-24,0.75,18.40,6.60,21.60,14.70
2007-11-25,0.83,19.00,5.90,26.00,11.70
2007-11-26,0.74,21.21,6.20,28.40,14.20
2007-11-27,0.89,22.63,6.00,30.10,14.70
2007-11-28,3.11,21.95,8.70,28.40,15.80
2007-11-29,3.96,22.34,10.80,30.00,15.30
2007-11-30,3.58,23.04,9.50,30.60,15.70
2007-12-01,4.02,23.68,14.10,31.60,16.20
2007-12-02,1.85,22.73,8.90,29.10,16.30
2007-12-03,2.97,24.66,8.20,32.20,19.20
2007-12-04,2.65,24.77,15.10,34.30,18.20
2007-12-05,1.97,21.55,11.20,25.30,18.70
2007-12-06,2.00,20.53,9.90,27.20,14.00
2007-12-07,1.12,21.46,8.70,29.60,13.40
2007-12-08,1.30,23.30,10.10,31.20,13.70
2007-12-09,1.10,24.32,10.20,32.10,18.40
2007-12-10,3.81,25.85,12.00,37.10,18.60
2007-12-11,2.40,22.39,10.00,27.40,19.70
2007-12-12,2.33,20.99,8.20,28.40,12.90
2007-12-13,3.76,23.14,10.20,31.60,14.60
2007-12-14,2.65,25.76,10.30,33.60,18.20
2007-12-15,1.04,25.15,9.20,32.60,20.10
2007-12-16,2.82,22.74,9.20,29.00,18.20
2007-12-17,4.15,22.27,11.40,30.10,15.30
2007-12-18,1.69,23.21,9.90,31.20,15.70
2007-12-19,0.63,22.17,7.00,32.00,15.20
2007-12-20,3.38,27.82,8.10,32.30,20.40
2007-12-21,,,,,
2007-12-22,3.25,24.70,17.00,27.70,22.90
2007-12-23,2.38,26.66,10.80,34.40,19.50
2007-12-24,3.07,25.87,12.00,32.90,20.80
2007-12-25,1.71,24.77,7.40,30.60,20.80
2007-12-26,0.73,26.45,7.10,33.30,18.60
2007-12-27,1.76,25.88,17.20,32.50,20.70
2007-12-28,2.01,26.34,10.30,32.20,22.50
2007-12-29,1.58,23.38,15.80,27.50,20.30
2007-12-30,1.93,23.85,14.60,31.30,19.90
2007-12-31,0.76,25.49,5.60,33.10,19.60
2008-01-01,2.02,27.75,8.50,33.50,21.80
2008-01-02,2.98,27.40,10.70,33.50,21.30
2008-01-03,1.93,26.10,14.60,33.70,22.30
2008-01-04,1.08,25.61,8.00,32.30,20.30
2008-01-05,0.84,24.84,6.20,31.00,19.30
2008-01-06,1.99,24.89,8.20,30.80,19.00
2008-01-07,2.85,25.59,10.60,32.30,19.10
2008-01-08,1.25,27.09,9.10,35.20,19.10
2008-01-09,1.48,28.65,9.60,36.70,20.50
2008-01-10,1.81,29.65,7.90,37.40,22.20
2008-01-11,1.27,23.82,12.10,30.00,20.20
2008-01-12,3.42,22.29,11.00,28.50,16.40
2008-01-13,5.30,24.30,12.80,31.20,18.60
2008-01-14,3.82,26.48,12.20,33.70,20.20
2008-01-15,2.23,28.02,10.30,35.10,20.80
2008-01-16,1.46,25.66,11.60,29.40,22.60
2008-01-17,2.88,22.85,7.60,27.90,18.60
2008-01-18,2.60,20.95,9.90,23.60,18.50
2008-01-19,2.26,22.24,10.20,28.60,16.50
2008-01-20,2.37,20.48,9.20,27.40,12.80
2008-01-21,4.21,22.09,13.00,28.50,16.40
2008-01-22,5.05,23.49,14.00,30.30,18.20
2008-01-23,5.32,23.92,12.80,28.90,19.50
2008-01-24,4.56,25.20,11.30,31.60,20.10
2008-01-25,4.26,25.73,12.60,32.70,19.60
2008-01-26,5.93,24.89,13.60,30.40,20.30
2008-01-27,5.72,24.71,13.80,31.00,20.60
2008-01-28,4.07,25.00,12.60,30.40,19.90
2008-01-29,2.59,24.47,9.50,30.40,21.70
2008-01-30,2.90,22.93,11.10,27.50,19.90
2008-01-31,4.37,22.22,12.10,25.80,20.50
2008-02-01,2.08,21.79,8.20,28.20,19.30
2008-02-02,0.77,22.37,7.40,28.30,18.60
2008-02-03,0.67,21.51,8.30,26.60,17.30
2008-02-04,0.74,20.48,6.30,28.50,12.80
2008-02-05,0.85,23.90,5.70,33.50,14.80
2008-02-06,3.50,27.34,11.50,34.60,21.10
2008-02-07,2.82,26.79,13.50,35.80,20.10
2008-02-08,1.84,27.60,6.80,35.20,20.20
2008-02-09,2.22,24.15,14.40,29.40,19.10
2008-02-10,0.85,23.53,9.50,30.40,19.50
2008-02-11,2.75,21.57,9.70,26.20,18.20
2008-02-12,1.23,20.34,7.60,26.10,16.90
2008-02-13,0.61,20.91,5.70,28.60,14.40
2008-02-14,1.62,24.01,7.10,31.20,18.00
2008-02-15,2.50,24.72,15.20,30.50,20.00
2008-02-16,1.48,23.84,8.60,29.40,20.30
2008-02-17,1.99,25.40,7.40,32.80,18.90
2008-02-18,2.83,25.09,9.60,31.60,19.10
2008-02-19,3.15,25.41,11.40,30.50,20.50
2008-02-20,1.10,25.94,9.20,33.70,18.50
2008-02-21,1.35,24.89,6.20,33.80,18.20
2008-02-22,1.66,25.18,6.70,31.80,18.80
2008-02-23,2.95,26.72,9.70,34.00,19.50
2008-02-24,3.24,24.62,9.30,32.10,16.70
2008-02-25,3.90,26.09,10.30,33.00,21.00
2008-02-26,4.12,26.99,12.20,33.70,21.80
2008-02-27,4.36,26.32,11.60,32.00,22.30
2008-02-28,3.36,22.65,11.50,24.90,21.30
2008-02-29,2.26,22.85,8.70,28.20,18.30
2008-03-01,1.30,22.34,11.00,28.20,19.10
2008-03-02,1.10,22.87,6.10,29.00,20.60
2008-03-03,1.77,22.70,10.70,28.10,19.70
2008-03-04,2.93,22.77,10.90,26.70,20.20
2008-03-05,1.62,22.86,9.40,28.80,18.60
2008-03-06,1.43,23.37,10.20,29.60,15.80
2008-03-07,0.43,23.11,6.20,30.50,17.10
2008-03-08,1.02,24.34,5.70,32.10,16.10
2008-03-09,1.89,25.78,10.20,33.40,20.60
2008-03-10,1.21,24.74,10.80,29.50,21.80
2008-03-11,1.85,22.23,7.00,26.80,18.50
2008-03-12,1.49,21.50,6.80,27.50,16.20
2008-03-13,1.25,21.72,7.20,27.40,16.40
2008-03-14,2.03,20.62,8.70,26.90,14.30
2008-03-15,3.98,21.70,11.00,28.20,16.70
2008-03-16,3.32,23.05,10.00,29.30,18.40
2008-03-17,1.96,23.15,7.40,31.10,17.10
2008-03-18,1.55,24.30,7.70,31.60,17.70
2008-03-19,2.88,24.81,10.50,32.70,20.60
2008-03-20,1.07,25.23,7.40,29.80,21.00
2008-03-21,0.60,25.88,7.00,31.50,20.00
2008-03-22,1.46,25.43,10.20,31.70,20.00
2008-03-23,3.09,21.92,8.50,27.10,17.30
2008-03-24,2.25,21.77,7.30,28.00,15.10
2008-03-25,2.77,22.42,11.00,30.20,14.10
