data,v_vento,t_med,v_rajada,t_max,t_min
2011-11-27,,29.10,,,
2011-11-28,,,,,
2011-11-29,,,,,
2011-11-30,,,,,
2011-12-01,,,,,
2011-12-02,,,,,
2011-12-03,,,,,
2011-12-04,,,,,
2011-12-05,,,,,
2011-12-06,,,,,
2011-12-07,,,,,
2011-12-08,,,,,
2011-12-09,,,,,
2011-12-10,,,,,
2011-12-11,,,,,
2011-12-12,,,,,
2011-12-13,,,,,
2011-12-14,,,,,
2011-12-15,0.99,26.33,6.90,30.80,21.50
2011-12-16,0.79,25.67,6.80,30.00,23.00
2011-12-17,0.60,26.28,6.20,33.30,21.40
2011-12-18,1.07,27.20,7.70,34.40,21.30
2011-12-19,1.07,26.96,8.10,33.50,21.70
2011-12-20,0.80,27.08,7.40,34.20,21.90
2011-12-21,0.98,27.29,8.90,34.20,22.40
2011-12-22,0.57,23.38,7.70,26.20,19.90
2011-12-23,0.83,24.55,7.30,32.40,20.70
2011-12-24,1.08,26.62,7.10,33.10,22.30
2011-12-25,1.01,27.34,10.30,33.60,21.30
2011-12-26,0.89,27.00,7.30,33.40,22.10
2011-12-27,0.84,27.09,7.30,33.40,21.80
2011-12-28,0.97,25.98,6.00,31.70,22.60
2011-12-29,0.64,26.25,5.90,32.50,21.40
2011-12-30,0.41,26.00,6.10,30.80,22.20
2011-12-31,0.85,25.73,9.30,32.50,21.60
2012-01-01,0.41,23.34,8.60,27.30,20.40
2012-01-02,0.95,25.37,8.60,30.50,22.40
2012-01-03,0.78,25.77,6.90,31.60,22.10
2012-01-04,0.52,24.41,3.80,29.10,21.80
2012-01-05,0.96,25.12,6.90,31.30,21.60
2012-01-06,0.89,25.45,6.40,32.00,21.50
2012-01-07,0.45,25.32,5.00,30.80,22.50
2012-01-08,0.46,27.02,4.70,33.80,21.30
2012-01-09,1.16,27.08,8.10,33.40,21.60
2012-01-10,0.94,24.66,7.90,29.50,22.00
2012-01-11,0.79,25.47,8.60,32.50,21.00
2012-01-12,1.45,26.54,8.80,32.60,20.90
2012-01-13,1.11,26.32,7.40,32.50,22.00
2012-01-14,0.66,23.96,7.10,26.50,20.30
2012-01-15,0.83,25.88,10.00,32.60,21.10
2012-01-16,1.05,23.52,8.10,29.10,20.50
2012-01-17,0.64,24.37,5.10,30.10,20.20
2012-01-18,0.52,22.80,6.70,27.80,20.60
2012-01-19,0.24,22.39,3.90,25.50,20.00
2012-01-20,0.44,25.12,5.90,31.90,20.50
2012-01-21,0.82,25.31,10.10,31.30,20.00
2012-01-22,0.26,21.65,5.50,23.60,20.00
2012-01-23,0.70,24.67,5.50,31.20,20.80
2012-01-24,0.68,24.00,6.00,28.20,21.80
2012-01-25,0.81,24.45,8.10,30.70,20.50
2012-01-26,0.77,24.63,5.90,29.70,21.50
2012-01-27,0.55,24.73,5.90,28.80,20.50
2012-01-28,0.54,24.63,8.00,32.20,20.10
2012-01-29,0.65,23.41,5.30,28.80,20.40
2012-01-30,0.62,24.27,6.70,29.70,20.60
2012-01-31,0.53,23.60,8.60,30.80,20.90
2012-02-01,0.57,23.84,6.90,28.60,21.00
2012-02-02,0.86,24.76,7.60,30.80,20.90
2012-02-03,1.02,25.42,8.80,30.40,21.30
2012-02-04,0.99,24.66,7.50,30.80,20.10
2012-02-05,1.13,25.30,8.90,32.20,18.80
2012-02-06,0.82,25.69,7.30,31.90,20.80
2012-02-07,0.90,26.55,7.30,33.10,21.10
2012-02-08,0.69,25.70,4.30,32.20,21.70
2012-02-09,0.79,21.80,7.70,26.20,18.80
2012-02-10,0.47,22.61,4.30,29.20,19.40
2012-02-11,0.39,22.43,7.50,26.10,20.10
2012-02-12,0.40,22.58,6.90,28.40,20.60
2012-02-13,0.35,23.33,4.70,29.10,20.90
2012-02-14,0.61,23.76,7.00,30.40,20.10
2012-02-15,0.69,25.15,6.30,30.70,21.00
2012-02-16,0.62,24.63,5.60,30.60,20.80
2012-02-17,0.68,24.59,11.90,30.20,19.80
2012-02-18,0.66,22.18,7.90,27.60,19.60
2012-02-19,0.90,24.34,7.00,30.40,20.80
2012-02-20,0.68,24.93,5.40,30.50,20.40
2012-02-21,1.03,25.02,9.50,30.90,20.30
2012-02-22,0.63,26.20,6.50,32.20,21.30
2012-02-23,0.63,25.94,6.00,31.50,20.20
2012-02-24,0.57,24.31,6.30,28.80,22.10
2012-02-25,0.66,23.52,7.70,30.50,21.20
2012-02-26,0.55,23.91,9.10,30.10,21.40
2012-02-27,0.82,23.88,8.90,29.20,20.00
2012-02-28,0.58,23.11,7.20,29.10,21.00
2012-02-29,0.50,24.19,5.20,31.00,19.20
2012-03-01,0.68,25.84,8.90,32.20,19.40
2012-03-02,0.34,25.79,4.90,32.60,20.10
2012-03-03,0.47,25.42,5.50,31.70,20.30
2012-03-04,0.66,25.09,5.50,30.40,20.80
2012-03-05,0.50,23.23,6.50,28.50,20.00
2012-03-06,0.74,23.44,8.40,30.20,19.70
2012-03-07,0.15,24.55,7.60,31.20,20.50
2012-03-08,0.17,24.90,5.80,31.10,19.50
2012-03-09,0.08,25.59,4.90,31.40,20.80
2012-03-10,0.05,25.62,6.20,31.70,21.50
2012-03-11,0.05,25.83,4.40,32.50,20.20
2012-03-12,0.05,25.35,5.90,32.40,18.70
2012-03-13,0.31,24.80,6.30,29.40,21.30
2012-03-14,0.32,24.54,5.00,30.70,20.90
2012-03-15,0.02,24.53,3.70,30.20,20.90
2012-03-16,0.09,25.02,8.70,29.90,22.00
2012-03-17,0.21,24.09,4.20,27.40,21.80
2012-03-18,0.57,24.39,6.10,29.70,21.10
2012-03-19,0.11,21.65,4.20,23.10,20.80
2012-03-20,0.19,23.85,6.70,29.70,19.90
2012-03-21,0.30,25.00,3.40,29.50,21.80
2012-03-22,0.24,25.97,6.60,32.20,22.20
2012-03-23,0.49,25.98,5.80,31.30,20.90
2012-03-24,0.59,25.77,5.90,30.00,22.20
2012-03-25,0.37,25.83,5.70,32.50,20.80
2012-03-26,0.45,23.83,5.80,25.60,21.80
2012-03-27,0.52,23.60,6.70,29.60,20.00
2012-03-28,0.73,25.30,7.00,30.20,20.90
2012-03-29,0.61,24.65,6.80,29.00,21.90
2012-03-30,0.69,25.83,7.40,31.30,21.80
2012-03-31,0.30,23.48,5.10,27.70,20.80
2012-04-01,0.52,25.60,5.50,32.50,20.20
2012-04-02,0.75,26.86,7.40,33.00,21.90
2012-04-03,0.68,26.08,7.80,32.00,21.30
2012-04-04,0.68,26.56,7.20,32.60,21.20
2012-04-05,0.88,27.06,7.40,33.20,21.40
2012-04-06,0.61,27.25,6.60,34.40,22.30
2012-04-07,0.68,26.48,6.40,32.30,21.60
2012-04-08,0.32,24.34,7.60,29.80,20.60
2012-04-09,0.73,24.05,11.30,30.90,20.70
2012-04-10,0.35,25.54,4.70,32.50,20.20
2012-04-11,0.62,26.20,6.60,32.10,21.40
2012-04-12,0.82,26.30,7.20,32.60,20.70
2012-04-13,0.29,26.13,4.40,32.90,20.10
2012-04-14,0.42,26.86,4.70,34.10,20.70
2012-04-15,0.47,24.83,7.60,31.30,21.70
2012-04-16,0.15,23.58,4.10,28.10,21.10
2012-04-17,0.28,23.74,4.80,28.60,21.40
2012-04-18,0.37,24.51,5.00,30.00,20.90
2012-04-19,0.55,26.09,6.40,32.80,20.40
2012-04-20,0.53,25.58,4.30,31.60,20.50
2012-04-21,0.44,25.14,6.70,30.40,21.60
2012-04-22,0.42,25.52,4.20,32.80,20.70
2012-04-23,0.36,24.56,5.30,28.10,21.30
2012-04-24,0.53,25.73,6.40,32.20,21.90
2012-04-25,0.52,26.61,5.50,33.00,21.10
2012-04-26,0.47,25.39,5.00,32.00,21.40
2012-04-27,0.43,26.50,4.30,33.90,20.80
2012-04-28,0.52,26.25,5.20,32.40,20.30
2012-04-29,0.45,26.44,7.00,33.70,21.20
2012-04-30,0.36,25.87,5.10,32.60,20.00
