data,v_vento,t_med,v_rajada,t_max,t_min
2011-04-16,0.23,22.56,2.80,27.70,19.60
2011-04-17,0.50,21.23,7.20,27.40,17.40
2011-04-18,0.75,21.58,3.40,24.50,17.70
2011-04-19,0.89,21.80,5.10,26.40,17.30
2011-04-20,0.89,21.05,6.20,26.40,16.40
2011-04-21,1.01,19.62,5.80,24.50,15.80
2011-04-22,0.95,23.56,7.00,28.00,16.40
2011-04-23,0.95,18.92,17.90,27.80,15.80
2011-04-24,0.93,19.65,4.30,23.50,11.70
2011-04-25,,,,,
2011-04-26,,,,,
2011-04-27,,,,,
2011-04-28,0.64,18.27,4.00,20.10,16.30
2011-04-29,0.42,16.90,4.50,22.80,13.70
2011-04-30,,,,,
2011-05-01,,,,,
2011-05-02,0.60,13.65,6.40,17.10,12.40
2011-05-03,0.89,14.42,6.00,20.70,3.10
2011-05-04,0.14,11.10,3.00,20.60,5.90
2011-05-05,0.31,11.70,5.60,24.50,3.50
2011-05-06,0.67,14.93,8.90,25.50,7.40
2011-05-07,0.22,13.91,4.60,22.40,8.40
2011-05-08,0.40,14.90,6.80,26.30,9.00
2011-05-09,0.46,16.33,6.20,21.30,12.70
2011-05-10,1.09,17.58,7.20,24.10,14.80
2011-05-11,0.42,18.60,5.30,24.80,14.10
2011-05-12,0.08,17.77,3.20,23.50,14.00
2011-05-13,0.49,16.62,4.10,20.50,13.60
2011-05-14,0.70,15.86,14.80,20.00,13.00
2011-05-15,0.64,13.54,6.60,15.40,10.30
2011-05-16,0.82,12.70,5.20,16.40,9.40
2011-05-17,0.53,10.98,5.20,18.20,4.20
2011-05-18,0.34,10.02,4.20,17.20,5.90
2011-05-19,0.22,9.95,3.60,18.40,4.20
2011-05-20,0.50,12.21,5.60,19.50,6.10
2011-05-21,0.70,12.72,7.30,21.80,6.10
2011-05-22,0.51,12.53,5.60,23.40,6.80
2011-05-23,0.28,13.34,5.00,21.30,6.40
2011-05-24,0.33,15.27,4.40,20.40,11.10
2011-05-25,0.49,14.88,7.50,23.40,9.00
2011-05-26,0.34,14.30,5.80,22.50,9.70
2011-05-27,0.68,12.87,5.60,19.90,8.60
2011-05-28,0.35,11.39,3.90,17.70,4.60
2011-05-29,0.19,6.15,3.30,17.00,1.40
2011-05-30,0.30,6.44,4.50,17.40,0.00
2011-05-31,0.17,6.67,4.10,14.60,1.80
2011-06-01,0.15,8.16,3.00,19.00,3.20
2011-06-02,0.15,7.60,2.80,20.20,1.20
2011-06-03,0.28,11.90,6.90,21.20,5.90
2011-06-04,0.75,10.55,7.70,17.70,3.10
2011-06-05,0.60,8.36,7.60,17.00,1.00
2011-06-06,0.38,8.16,6.40,18.10,0.70
2011-06-07,1.01,12.22,10.60,17.20,9.30
2011-06-08,0.66,10.60,5.80,16.60,6.90
2011-06-09,0.45,9.55,8.40,12.90,5.50
2011-06-10,0.17,7.53,3.70,17.20,2.90
2011-06-11,0.27,6.44,4.20,18.30,-0.60
2011-06-12,0.24,6.54,3.50,15.40,1.10
2011-06-13,0.18,7.86,3.50,19.70,3.10
2011-06-14,0.45,10.16,5.60,15.40,3.80
2011-06-15,0.57,12.73,6.50,19.70,8.10
2011-06-16,0.58,11.78,5.20,20.50,5.30
2011-06-17,0.37,11.96,6.10,23.60,5.90
2011-06-18,0.55,15.45,5.50,22.60,11.30
2011-06-19,0.77,15.25,7.80,24.40,9.70
2011-06-20,0.46,14.19,6.50,24.40,7.30
2011-06-21,0.08,13.55,2.70,20.80,8.30
2011-06-22,0.38,15.11,5.10,17.60,12.90
2011-06-23,0.40,15.51,5.20,20.40,11.80
2011-06-24,0.37,14.05,3.50,21.30,10.20
2011-06-25,1.00,15.75,9.10,20.80,12.70
2011-06-26,1.33,12.48,11.10,14.50,6.40
2011-06-27,1.02,3.97,10.10,12.50,-1.80
2011-06-28,0.34,2.95,3.90,16.50,-5.70
2011-06-29,0.22,6.57,4.40,8.50,3.60
2011-06-30,0.93,12.77,9.50,16.70,8.40
2011-07-01,0.77,14.22,6.70,15.90,12.70
2011-07-02,0.82,15.48,6.30,17.40,13.40
2011-07-03,1.02,11.54,8.30,15.40,5.30
2011-07-04,0.33,3.60,3.70,10.70,-0.80
2011-07-05,0.26,5.03,4.00,14.40,0.10
2011-07-06,0.22,8.01,4.40,15.90,3.60
2011-07-07,0.30,5.65,4.60,16.80,-0.30
2011-07-08,0.20,4.56,4.00,16.80,-3.00
2011-07-09,0.30,4.62,3.50,15.90,-1.70
2011-07-10,0.40,9.40,7.60,24.20,2.30
2011-07-11,0.32,13.68,5.40,24.00,6.80
2011-07-12,0.18,15.18,5.80,26.30,11.20
2011-07-13,0.32,15.61,5.00,25.70,8.80
2011-07-14,0.58,15.02,7.40,26.10,9.40
2011-07-15,0.68,13.54,9.30,25.50,7.10
2011-07-16,0.74,13.98,9.90,27.10,4.10
2011-07-17,0.72,14.47,7.20,22.90,7.50
2011-07-18,0.49,14.47,4.40,16.90,11.90
2011-07-19,0.31,16.05,3.30,21.20,12.40
2011-07-20,1.14,16.96,8.50,25.50,10.80
2011-07-21,0.86,15.81,7.70,19.80,12.60
2011-07-22,0.78,12.99,4.00,18.20,9.10
2011-07-23,1.04,12.29,5.90,15.30,9.80
2011-07-24,0.62,14.36,5.10,17.20,12.20
2011-07-25,1.44,15.15,7.50,20.60,12.00
