data,v_vento,t_med
2011-11-25,,29.95
2011-11-26,,28.93
2011-11-27,,28.08
2011-11-28,5.60,28.00
2011-11-29,5.40,30.20
2011-11-30,4.97,28.33
2011-12-01,4.26,27.78
2011-12-02,4.64,28.92
2011-12-03,5.76,29.17
2011-12-04,4.57,30.12
2011-12-05,4.50,27.78
2011-12-06,3.71,27.88
2011-12-07,4.07,27.45
2011-12-08,3.73,28.33
2011-12-09,3.51,28.97
2011-12-10,5.28,29.10
2011-12-11,4.33,30.90
2011-12-12,3.83,24.40
2011-12-13,3.60,25.42
2011-12-14,3.94,25.15
2011-12-15,5.05,25.39
2011-12-16,5.76,25.80
2011-12-17,4.07,25.03
2011-12-18,3.83,24.92
2011-12-19,3.52,25.41
2011-12-20,4.76,25.78
2011-12-21,3.32,25.87
2011-12-22,3.63,25.63
2011-12-23,4.53,25.72
2011-12-24,4.48,25.90
2011-12-25,4.11,25.77
2011-12-26,3.70,25.57
2011-12-27,3.56,25.17
2011-12-28,3.10,25.53
2011-12-29,4.80,26.88
2011-12-30,5.33,26.44
2011-12-31,3.84,26.31
2012-01-01,5.89,26.31
2012-01-02,6.37,27.05
2012-01-03,5.34,26.48
2012-01-04,5.53,26.67
2012-01-05,3.50,25.98
2012-01-06,3.79,25.56
2012-01-07,4.60,26.66
2012-01-08,4.30,26.16
2012-01-09,4.48,25.64
2012-01-10,4.74,25.80
2012-01-11,4.63,25.69
2012-01-12,4.57,25.43
2012-01-13,4.42,25.56
2012-01-14,3.99,26.05
2012-01-15,4.15,26.09
2012-01-16,4.32,25.02
2012-01-17,2.94,25.30
2012-01-18,3.42,25.41
2012-01-19,3.48,24.95
2012-01-20,2.97,25.37
2012-01-21,4.06,25.60
2012-01-22,3.45,24.42
2012-01-23,3.44,24.06
2012-01-24,3.42,25.06
2012-01-25,3.92,25.54
2012-01-26,4.00,25.45
2012-01-27,3.94,25.07
2012-01-28,3.18,25.00
2012-01-29,3.27,25.19
2012-01-30,3.60,25.41
2012-01-31,5.45,25.55
2012-02-01,4.72,25.47
2012-02-02,4.78,25.02
2012-02-03,4.40,25.28
2012-02-04,4.38,25.71
2012-02-05,4.36,25.56
2012-02-06,4.11,25.16
2012-02-07,3.96,25.62
2012-02-08,3.55,25.61
2012-02-09,4.40,26.30
2012-02-10,4.75,26.82
2012-02-11,4.18,26.35
2012-02-12,4.38,25.90
2012-02-13,3.85,25.95
2012-02-14,4.53,25.73
2012-02-15,4.14,25.81
2012-02-16,3.41,24.99
2012-02-17,2.95,24.97
2012-02-18,2.58,22.73
2012-02-19,3.16,23.88
2012-02-20,3.22,24.57
2012-02-21,2.88,25.02
2012-02-22,4.17,25.28
2012-02-23,3.12,24.85
2012-02-24,3.17,24.81
2012-02-25,2.90,24.74
2012-02-26,2.79,25.23
2012-02-27,3.47,26.07
2012-02-28,4.19,25.86
2012-02-29,4.18,25.53
2012-03-01,3.55,25.20
2012-03-02,3.32,25.42
2012-03-03,3.24,25.39
2012-03-04,3.36,25.39
2012-03-05,3.91,25.84
2012-03-06,4.00,26.00
2012-03-07,3.74,23.42
2012-03-08,4.08,25.44
2012-03-09,3.70,25.30
2012-03-10,3.25,24.74
2012-03-11,3.28,24.88
2012-03-12,4.25,25.14
2012-03-13,3.80,25.40
2012-03-14,3.13,25.00
2012-03-15,3.51,25.42
2012-03-16,5.21,26.95
2012-03-17,6.16,26.30
2012-03-18,4.56,26.23
2012-03-19,3.95,25.92
2012-03-20,3.66,25.29
2012-03-21,3.37,25.06
2012-03-22,3.97,25.31
2012-03-23,4.30,25.72
2012-03-24,4.00,25.50
2012-03-25,4.07,26.42
2012-03-26,3.81,25.84
2012-03-27,3.20,25.05
2012-03-28,3.06,24.92
2012-03-29,3.47,25.81
2012-03-30,3.80,25.52
2012-03-31,3.40,25.11
2012-04-01,3.15,25.20
2012-04-02,3.58,24.73
2012-04-03,3.30,25.55
2012-04-04,3.37,25.25
2012-04-05,3.40,25.59
2012-04-06,3.80,26.27
2012-04-07,3.97,25.90
2012-04-08,3.89,25.80
2012-04-09,3.15,23.74
2012-04-10,3.70,25.88
2012-04-11,3.55,24.90
2012-04-12,2.97,24.30
2012-04-13,2.90,24.27
2012-04-14,3.24,25.80
2012-04-15,3.67,25.09
2012-04-16,3.45,26.29
2012-04-17,3.17,25.83
2012-04-18,3.11,25.28
2012-04-19,4.43,25.53
2012-04-20,2.49,25.26
2012-04-21,4.29,26.04
2012-04-22,4.75,26.18
2012-04-23,5.52,26.22
2012-04-24,3.70,25.60
2012-04-25,3.67,25.56
2012-04-26,3.33,25.58
2012-04-27,3.28,24.94
2012-04-28,4.15,24.49
2012-04-29,3.39,25.43
2012-04-30,3.80,25.23
2012-05-01,3.34,25.58
2012-05-02,4.07,25.56
2012-05-03,4.09,24.54
2012-05-04,3.70,23.60
2012-05-05,3.28,22.36
2012-05-06,3.23,24.48
2012-05-07,3.50,24.14
2012-05-08,3.08,23.23
2012-05-09,3.10,23.45
2012-05-10,2.50,24.60
2012-05-11,3.01,25.13
2012-05-12,3.60,24.65
2012-05-13,4.51,25.42
2012-05-14,4.39,25.57
2012-05-15,4.30,24.54
2012-05-16,3.61,25.44
2012-05-17,3.08,24.95
2012-05-18,4.17,22.76
2012-05-19,4.05,22.26
2012-05-20,3.34,23.76
2012-05-21,4.18,21.48
2012-05-22,3.92,21.48
2012-05-23,3.19,23.01
2012-05-24,3.74,22.75
2012-05-25,2.83,22.44
2012-05-26,2.35,23.78
2012-05-27,3.36,23.74
2012-05-28,3.26,24.28
2012-05-29,3.31,24.33
2012-05-30,2.31,22.89
2012-05-31,2.16,23.33
2012-06-01,2.75,24.00
2012-06-02,3.51,24.33
2012-06-03,2.88,23.53
2012-06-04,3.20,23.50
2012-06-05,3.85,24.27
2012-06-06,3.03,22.74
2012-06-07,2.32,22.46
2012-06-08,2.53,22.70
2012-06-09,2.55,22.41
2012-06-10,2.75,22.40
2012-06-11,3.13,21.07
2012-06-12,2.34,22.25
2012-06-13,3.13,22.92
2012-06-14,3.14,22.40
2012-06-15,2.98,21.91
2012-06-16,2.86,22.28
2012-06-17,2.64,22.64
2012-06-18,2.83,22.80
2012-06-19,3.43,23.73
2012-06-20,3.05,23.73
2012-06-21,2.75,22.69
2012-06-22,3.28,23.39
2012-06-23,2.72,23.20
2012-06-24,4.20,22.97
2012-06-25,4.54,22.61
2012-06-26,3.58,22.39
2012-06-27,3.26,21.72
2012-06-28,3.42,22.66
2012-06-29,2.44,20.82
2012-06-30,3.98,22.16
2012-07-01,2.90,21.05
2012-07-02,3.58,21.18
2012-07-03,3.04,19.58
2012-07-04,3.02,21.22
2012-07-05,2.92,21.70
2012-07-06,3.57,21.67
2012-07-07,3.11,21.85
2012-07-08,2.44,21.62
2012-07-09,3.10,20.63
2012-07-10,2.71,21.73
2012-07-11,1.82,22.08
2012-07-12,2.64,22.31
2012-07-13,3.17,23.80
2012-07-14,3.93,23.73
2012-07-15,2.74,21.20
2012-07-16,2.87,19.93
2012-07-17,3.81,19.59
2012-07-18,2.12,21.65
2012-07-19,2.36,21.53
2012-07-20,2.50,21.61
2012-07-21,2.81,21.45
2012-07-22,2.88,21.48
2012-07-23,3.11,20.92
2012-07-24,2.79,20.53
2012-07-25,3.92,20.11
2012-07-26,1.95,20.63
2012-07-27,3.24,20.66
2012-07-28,2.40,21.03
2012-07-29,3.33,21.27
2012-07-30,3.59,20.43
2012-07-31,3.60,21.16
2012-08-01,3.99,20.95
2012-08-02,2.98,20.38
2012-08-03,2.91,20.76
2012-08-04,3.25,20.66
2012-08-05,1.77,20.06
2012-08-06,2.55,21.80
2012-08-07,3.33,21.57
2012-08-08,3.82,21.49
2012-08-09,4.32,21.71
2012-08-10,3.95,21.33
2012-08-11,2.90,20.14
2012-08-12,3.10,20.88
2012-08-13,3.62,21.19
2012-08-14,3.77,20.00
2012-08-15,3.33,20.90
2012-08-16,3.36,22.29
2012-08-17,3.88,21.99
2012-08-18,3.63,21.32
2012-08-19,3.72,20.75
2012-08-20,3.56,20.15
2012-08-21,3.37,20.62
2012-08-22,2.85,19.88
2012-08-23,4.04,20.42
2012-08-24,3.18,20.38
2012-08-25,3.52,20.15
2012-08-26,3.14,20.50
2012-08-27,2.74,21.31
2012-08-28,2.70,21.96
2012-08-29,2.94,21.82
