data,v_vento,t_med
2007-03-14,1.70,29.11
2007-03-15,1.08,24.23
2007-03-16,1.09,24.23
2007-03-17,0.97,25.92
2007-03-18,1.18,27.08
2007-03-19,0.98,23.92
2007-03-20,0.90,25.84
2007-03-21,1.35,25.33
2007-03-22,1.05,25.60
2007-03-23,1.38,25.85
2007-03-24,1.06,27.43
2007-03-25,1.56,27.88
2007-03-26,1.72,28.49
2007-03-27,1.55,28.08
2007-03-28,1.46,28.22
2007-03-29,1.54,28.29
2007-03-30,2.47,27.76
2007-03-31,1.58,28.05
2007-04-01,1.33,28.49
2007-04-02,1.17,28.32
2007-04-03,1.50,27.77
2007-04-04,1.02,27.99
2007-04-05,1.19,28.05
2007-04-06,1.14,28.08
2007-04-07,1.44,28.63
2007-04-08,1.89,26.99
2007-04-09,1.52,25.40
2007-04-10,1.53,25.61
2007-04-11,1.28,25.33
2007-04-12,1.31,26.42
2007-04-13,1.07,26.49
2007-04-14,1.80,26.50
2007-04-15,1.15,25.33
2007-04-16,1.16,26.69
2007-04-17,1.05,25.05
2007-04-18,1.67,25.89
2007-04-19,1.30,25.75
2007-04-20,1.69,24.15
2007-04-21,1.95,26.25
2007-04-22,1.65,27.59
2007-04-23,1.15,26.88
2007-04-24,1.20,26.42
2007-04-25,1.51,25.94
2007-04-26,1.18,26.18
2007-04-27,1.31,24.42
2007-04-28,1.01,24.72
2007-04-29,2.00,27.30
2007-04-30,1.15,26.23
2007-05-01,1.24,28.00
2007-05-02,1.68,26.44
2007-05-03,1.01,26.23
2007-05-04,1.57,27.37
2007-05-05,2.17,28.14
2007-05-06,2.10,27.39
2007-05-07,1.54,27.09
2007-05-08,1.31,27.50
2007-05-09,1.60,27.33
2007-05-10,1.38,28.12
2007-05-11,2.45,27.48
2007-05-12,2.28,27.78
2007-05-13,1.86,27.25
2007-05-14,1.31,26.80
2007-05-15,1.39,27.38
2007-05-16,1.70,27.74
2007-05-17,1.76,27.87
2007-05-18,2.21,28.72
2007-05-19,1.46,27.43
2007-05-20,1.72,27.26
