data,v_vento,t_med
2013-12-09,1.32,26.14
2013-12-10,1.35,22.10
2013-12-11,2.17,21.07
2013-12-12,1.65,21.65
2013-12-13,1.15,23.28
2013-12-14,1.28,25.82
2013-12-15,1.19,25.95
2013-12-16,1.46,24.75
2013-12-17,1.80,24.50
2013-12-18,1.59,25.09
2013-12-19,1.86,25.31
2013-12-20,1.84,25.38
2013-12-21,1.79,24.91
2013-12-22,2.29,24.11
2013-12-23,1.73,23.39
2013-12-24,1.70,25.10
2013-12-25,1.36,26.93
2013-12-26,1.34,29.42
2013-12-27,1.37,29.49
2013-12-28,1.39,28.62
2013-12-29,1.42,30.83
2013-12-30,1.74,28.07
2013-12-31,1.50,26.91
2014-01-01,1.45,27.07
2014-01-02,1.52,27.86
2014-01-03,1.30,22.09
2014-01-04,1.83,22.45
2014-01-05,1.36,24.45
2014-01-06,1.51,25.86
2014-01-07,1.27,29.31
2014-01-08,1.98,28.26
2014-01-09,1.60,26.47
2014-01-10,1.20,26.20
2014-01-11,1.10,23.38
2014-01-12,1.50,22.23
2014-01-13,1.49,24.79
2014-01-14,0.95,24.82
2014-01-15,0.87,23.06
2014-01-16,1.33,24.97
2014-01-17,1.34,25.90
2014-01-18,0.99,26.17
2014-01-19,1.22,28.31
2014-01-20,1.38,29.68
2014-01-21,1.35,29.75
2014-01-22,1.25,29.08
2014-01-23,1.30,30.48
2014-01-24,1.87,30.89
2014-01-25,1.59,21.56
2014-01-26,1.34,23.23
2014-01-27,1.24,28.00
2014-01-28,1.48,29.38
2014-01-29,1.83,30.29
2014-01-30,1.85,28.67
2014-01-31,1.45,26.36
2014-02-01,1.46,26.23
2014-02-02,1.37,28.87
2014-02-03,1.69,30.90
2014-02-04,1.39,29.56
2014-02-05,1.33,31.49
2014-02-06,1.51,32.41
2014-02-07,1.45,31.85
2014-02-08,2.01,28.49
2014-02-09,1.53,29.72
2014-02-10,1.63,27.46
2014-02-11,1.40,29.56
2014-02-12,1.79,28.92
2014-02-13,1.64,23.49
2014-02-14,2.37,21.10
2014-02-15,2.76,22.32
2014-02-16,2.10,22.65
2014-02-17,2.21,23.87
2014-02-18,2.33,24.21
2014-02-19,1.54,26.16
2014-02-20,1.03,24.40
2014-02-21,1.30,25.20
2014-02-22,1.08,25.22
2014-02-23,1.39,24.19
2014-02-24,1.33,25.42
2014-02-25,1.05,23.87
2014-02-26,1.03,22.20
2014-02-27,1.67,20.21
2014-02-28,1.60,20.87
2014-03-01,1.35,21.20
2014-03-02,1.31,22.42
2014-03-03,1.62,22.95
2014-03-04,1.27,23.60
2014-03-05,1.19,23.81
2014-03-06,1.35,23.37
2014-03-07,1.16,23.03
2014-03-08,1.38,21.99
2014-03-09,1.15,22.69
2014-03-10,1.29,24.33
2014-03-11,1.37,23.83
2014-03-12,1.70,22.64
2014-03-13,1.47,23.42
2014-03-14,1.33,24.36
2014-03-15,2.05,26.99
2014-03-16,1.32,26.51
2014-03-17,1.23,24.40
2014-03-18,0.90,22.68
2014-03-19,1.16,21.66
2014-03-20,1.01,22.46
2014-03-21,1.48,22.26
2014-03-22,1.62,17.89
2014-03-23,1.24,16.35
2014-03-24,1.03,19.92
2014-03-25,1.20,22.34
2014-03-26,1.43,22.24
2014-03-27,1.47,24.20
2014-03-28,0.98,24.68
2014-03-29,1.32,26.33
2014-03-30,1.00,25.82
2014-03-31,1.23,24.10
2014-04-01,1.21,23.15
2014-04-02,1.90,23.76
2014-04-03,2.06,23.06
2014-04-04,1.10,23.16
2014-04-05,0.84,24.00
2014-04-06,0.90,25.28
2014-04-07,1.44,24.77
2014-04-08,1.16,24.87
2014-04-09,1.42,23.47
2014-04-10,1.25,21.29
2014-04-11,1.27,22.30
2014-04-12,2.45,23.25
2014-04-13,3.25,17.03
2014-04-14,1.18,16.10
2014-04-15,1.33,17.48
2014-04-16,0.90,20.08
2014-04-17,0.88,22.62
2014-04-18,1.20,23.81
2014-04-19,0.94,20.71
2014-04-20,1.52,20.62
2014-04-21,0.86,20.36
2014-04-22,1.36,20.24
2014-04-23,1.21,17.79
2014-04-24,0.84,17.78
2014-04-25,0.62,14.73
2014-04-26,1.42,15.20
2014-04-27,1.97,17.26
2014-04-28,0.91,17.83
2014-04-29,0.88,19.17
2014-04-30,0.80,18.91
2014-05-01,2.31,20.35
2014-05-02,1.22,18.57
2014-05-03,0.71,17.02
2014-05-04,1.18,18.28
2014-05-05,0.93,20.49
2014-05-06,0.88,21.35
2014-05-07,0.94,20.90
2014-05-08,0.95,20.16
2014-05-09,1.09,17.73
2014-05-10,1.74,17.42
2014-05-11,0.98,17.13
2014-05-12,0.86,17.00
2014-05-13,1.08,18.96
2014-05-14,0.90,18.42
2014-05-15,0.97,19.02
2014-05-16,0.99,18.37
2014-05-17,0.83,16.31
2014-05-18,0.98,17.35
2014-05-19,1.13,16.26
2014-05-20,1.34,15.15
2014-05-21,0.93,16.28
2014-05-22,1.53,17.44
2014-05-23,1.74,12.77
2014-05-24,1.18,11.28
2014-05-25,1.00,10.45
2014-05-26,0.97,12.98
2014-05-27,0.84,12.07
2014-05-28,0.60,10.92
2014-05-29,0.92,12.71
2014-05-30,0.85,14.60
2014-05-31,0.74,15.42
2014-06-01,1.95,16.42
2014-06-02,2.01,14.07
2014-06-03,0.62,11.30
2014-06-04,1.02,13.24
2014-06-05,1.08,15.40
2014-06-06,0.90,16.08
2014-06-07,1.23,19.55
2014-06-08,1.01,15.66
2014-06-09,0.70,11.35
2014-06-10,0.85,11.22
2014-06-11,0.75,15.92
2014-06-12,2.71,24.83
2014-06-13,1.70,21.18
2014-06-14,1.09,15.39
2014-06-15,0.82,17.22
2014-06-16,0.93,16.96
2014-06-17,1.10,16.56
2014-06-18,1.12,13.19
2014-06-19,0.65,7.91
2014-06-20,0.73,8.24
2014-06-21,0.54,9.43
2014-06-22,0.68,12.82
2014-06-23,0.81,16.20
2014-06-24,0.74,18.00
2014-06-25,0.92,18.94
2014-06-26,0.71,17.69
2014-06-27,0.84,17.65
2014-06-28,1.77,17.68
2014-06-29,1.15,16.95
2014-06-30,2.80,14.66
2014-07-01,2.01,15.12
2014-07-02,0.93,13.25
2014-07-03,0.75,16.23
2014-07-04,1.60,20.20
2014-07-05,0.80,20.95
2014-07-06,1.73,19.98
2014-07-07,1.48,12.97
2014-07-08,0.96,10.47
2014-07-09,0.67,12.18
2014-07-10,1.48,15.30
2014-07-11,1.05,15.45
2014-07-12,0.85,15.48
2014-07-13,0.96,17.36
2014-07-14,0.70,17.66
2014-07-15,0.70,17.29
2014-07-16,0.77,17.98
2014-07-17,1.21,17.13
2014-07-18,2.33,14.77
2014-07-19,1.48,13.32
2014-07-20,0.52,11.82
2014-07-21,0.91,13.56
2014-07-22,0.95,16.12
2014-07-23,1.98,17.38
2014-07-24,2.37,14.55
2014-07-25,2.09,10.03
2014-07-26,1.04,8.40
2014-07-27,0.91,9.12
2014-07-28,1.21,11.23
2014-07-29,0.79,15.18
2014-07-30,0.77,15.33
2014-07-31,0.77,17.86
2014-08-01,1.20,18.08
2014-08-02,0.90,18.69
2014-08-03,2.35,28.00
2014-08-04,1.42,16.31
2014-08-05,1.44,11.20
2014-08-06,0.63,13.98
2014-08-07,1.65,17.19
2014-08-08,0.87,12.92
2014-08-09,0.93,11.76
2014-08-10,1.20,17.31
2014-08-11,1.06,16.40
2014-08-12,1.02,14.04
2014-08-13,1.60,10.55
2014-08-14,0.92,8.40
2014-08-15,0.90,10.56
2014-08-16,0.97,16.14
2014-08-17,0.55,15.53
2014-08-18,0.78,15.95
2014-08-19,0.86,16.98
2014-08-20,0.93,15.99
2014-08-21,1.03,18.78
2014-08-22,1.05,19.70
2014-08-23,0.91,22.08
2014-08-24,1.82,28.36
2014-08-25,2.25,19.56
2014-08-26,3.45,14.15
2014-08-27,2.74,12.10
2014-08-28,1.16,11.02
2014-08-29,1.16,12.61
2014-08-30,0.98,16.15
2014-08-31,1.56,19.95
2014-09-01,1.50,19.60
2014-09-02,1.71,14.65
2014-09-03,2.33,18.20
2014-09-04,2.33,16.92
2014-09-05,1.72,18.38
2014-09-06,1.18,17.12
2014-09-07,1.14,16.95
2014-09-08,1.19,19.73
2014-09-09,1.17,24.15
2014-09-10,1.80,22.37
2014-09-11,1.56,13.85
2014-09-12,1.18,16.02
2014-09-13,1.10,20.65
2014-09-14,1.08,23.30
2014-09-15,2.26,20.73
2014-09-16,1.83,17.22
2014-09-17,1.48,15.99
2014-09-18,0.66,17.76
2014-09-19,0.95,20.16
2014-09-20,2.07,21.09
2014-09-21,1.92,17.34
2014-09-22,1.83,16.92
2014-09-23,1.23,21.01
2014-09-24,1.46,19.80
2014-09-25,1.51,20.90
2014-09-26,1.75,19.35
2014-09-27,2.08,16.75
2014-09-28,1.04,19.29
2014-09-29,1.09,21.00
2014-09-30,1.29,19.15
2014-10-01,1.42,19.67
2014-10-02,1.94,17.37
2014-10-03,2.61,16.90
2014-10-04,2.75,17.97
2014-10-05,1.62,20.58
2014-10-06,1.03,19.62
2014-10-07,1.09,22.19
2014-10-08,1.16,23.16
2014-10-09,1.29,24.65
2014-10-10,1.56,23.62
2014-10-11,1.38,17.49
2014-10-12,1.04,20.77
2014-10-13,1.15,19.27
2014-10-14,1.33,20.00
2014-10-15,1.71,21.96
2014-10-16,2.06,21.64
2014-10-17,1.40,20.01
2014-10-18,1.41,20.17
2014-10-19,1.50,20.56
2014-10-20,1.22,18.96
2014-10-21,1.67,18.36
2014-10-22,1.19,19.71
2014-10-23,1.14,21.65
2014-10-24,0.82,20.91
2014-10-25,1.15,22.89
2014-10-26,1.10,22.52
2014-10-27,1.29,24.10
2014-10-28,1.41,27.14
2014-10-29,1.25,28.44
2014-10-30,1.74,23.63
2014-10-31,1.67,24.04
2014-11-01,1.31,22.51
2014-11-02,2.55,21.68
2014-11-03,1.41,24.78
2014-11-04,1.66,22.51
2014-11-05,2.29,19.73
2014-11-06,1.13,19.80
2014-11-07,1.15,22.70
2014-11-08,1.06,22.73
2014-11-09,1.12,23.57
2014-11-10,1.30,23.65
2014-11-11,1.30,23.51
2014-11-12,1.06,21.47
2014-11-13,1.52,20.23
2014-11-14,1.36,19.42
2014-11-15,1.33,20.58
2014-11-16,1.10,21.74
2014-11-17,1.41,22.54
2014-11-18,1.44,23.50
2014-11-19,1.07,24.41
2014-11-20,1.83,26.25
2014-11-21,1.52,25.17
2014-11-22,3.04,24.11
2014-11-23,1.35,22.23
2014-11-24,1.36,24.92
2014-11-25,1.62,24.70
2014-11-26,1.05,24.07
2014-11-27,1.58,24.07
2014-11-28,1.93,22.86
2014-11-29,1.43,25.68
2014-11-30,1.45,28.75
2014-12-01,1.71,28.83
2014-12-02,1.26,27.19
2014-12-03,2.45,23.97
2014-12-04,1.38,22.09
2014-12-05,2.35,23.19
2014-12-06,1.70,23.85
2014-12-07,1.45,28.58
2014-12-08,1.84,28.69
2014-12-09,1.29,25.31
2014-12-10,1.60,25.90
2014-12-11,1.35,23.25
2014-12-12,1.74,23.71
2014-12-13,1.37,23.21
2014-12-14,1.20,21.60
2014-12-15,2.17,22.19
2014-12-16,1.10,23.38
2014-12-17,1.37,24.88
2014-12-18,1.47,25.65
