data,v_vento,t_med
2007-06-12,2.37,20.73
2007-06-13,2.51,20.78
2007-06-14,1.91,21.31
2007-06-15,2.38,21.50
2007-06-16,2.53,19.77
2007-06-17,2.35,20.68
2007-06-18,2.66,20.71
2007-06-19,3.20,20.09
2007-06-20,3.76,19.63
2007-06-21,3.88,19.46
2007-06-22,3.62,19.27
2007-06-23,2.60,19.30
2007-06-24,2.22,19.76
2007-06-25,3.59,19.54
2007-06-26,4.27,18.98
2007-06-27,2.90,19.03
2007-06-28,2.09,19.12
2007-06-29,2.15,19.90
2007-06-30,1.96,19.88
2007-07-01,2.15,19.73
2007-07-02,2.35,19.45
2007-07-03,2.73,19.18
2007-07-04,2.54,20.01
2007-07-05,3.46,20.24
2007-07-06,3.14,19.15
2007-07-07,2.63,19.15
2007-07-08,2.27,19.90
2007-07-09,2.83,20.65
2007-07-10,1.91,20.96
2007-07-11,2.37,20.19
2007-07-12,3.15,20.94
2007-07-13,3.19,21.17
2007-07-14,1.88,19.93
2007-07-15,1.54,20.29
2007-07-16,1.49,21.19
2007-07-17,1.84,21.61
2007-07-18,2.58,22.13
2007-07-19,1.79,20.62
2007-07-20,2.39,20.77
2007-07-21,3.02,22.80
2007-07-22,2.18,22.32
2007-07-23,2.08,22.22
2007-07-24,1.83,22.86
2007-07-25,2.05,21.78
2007-07-26,2.27,18.59
2007-07-27,2.08,21.24
2007-07-28,3.52,20.40
2007-07-29,3.65,19.51
2007-07-30,3.92,18.68
2007-07-31,3.75,17.79
2007-08-01,3.86,17.63
2007-08-02,3.62,18.41
2007-08-03,3.06,19.19
2007-08-04,2.55,20.57
2007-08-05,2.78,21.00
2007-08-06,3.55,20.82
2007-08-07,2.78,20.86
2007-08-08,3.82,20.67
2007-08-09,3.91,20.07
2007-08-10,4.27,19.94
2007-08-11,4.34,19.53
2007-08-12,4.56,19.87
2007-08-13,4.47,19.75
2007-08-14,5.03,18.60
2007-08-15,5.38,18.85
2007-08-16,5.05,18.35
2007-08-17,4.18,18.38
2007-08-18,3.50,19.46
2007-08-19,2.69,19.71
2007-08-20,2.42,20.80
2007-08-21,2.56,21.59
2007-08-22,3.39,21.75
2007-08-23,3.67,20.35
2007-08-24,3.20,20.60
2007-08-25,1.26,21.23
2007-08-26,1.98,23.58
2007-08-27,1.51,25.45
2007-08-28,2.10,25.16
2007-08-29,4.09,24.17
2007-08-30,5.47,20.49
2007-08-31,4.90,19.30
2007-09-01,3.15,21.01
2007-09-02,3.72,21.70
2007-09-03,4.70,22.18
2007-09-04,5.01,21.46
2007-09-05,4.71,20.49
2007-09-06,3.90,21.04
2007-09-07,3.40,21.74
2007-09-08,3.10,21.43
2007-09-09,3.90,21.06
2007-09-10,3.12,21.27
2007-09-11,3.16,22.23
2007-09-12,3.82,22.47
2007-09-13,4.45,22.38
2007-09-14,3.66,22.20
2007-09-15,3.09,23.12
2007-09-16,2.01,24.19
2007-09-17,2.10,25.78
2007-09-18,3.63,26.04
2007-09-19,2.87,25.47
2007-09-20,3.31,25.91
2007-09-21,3.44,24.98
2007-09-22,2.82,25.04
2007-09-23,2.04,25.67
2007-09-24,1.60,26.93
2007-09-25,3.31,24.94
2007-09-26,4.88,24.12
2007-09-27,4.60,22.31
2007-09-28,3.69,22.75
2007-09-29,3.05,24.38
2007-09-30,4.00,24.46
2007-10-01,3.90,22.70
2007-10-02,2.97,20.79
2007-10-03,2.28,22.70
2007-10-04,2.86,23.99
2007-10-05,2.82,24.58
2007-10-06,3.21,24.55
2007-10-07,2.81,24.50
2007-10-08,3.88,24.95
2007-10-09,4.69,23.44
2007-10-10,4.07,23.02
2007-10-11,3.10,24.13
2007-10-12,2.51,25.84
2007-10-13,2.17,22.11
2007-10-14,2.00,24.30
2007-10-15,3.18,25.95
2007-10-16,2.58,26.06
2007-10-17,1.67,26.87
2007-10-18,2.00,25.33
2007-10-19,2.23,20.47
2007-10-20,1.73,23.11
2007-10-21,2.47,22.33
2007-10-22,3.01,22.13
2007-10-23,3.10,20.78
2007-10-24,3.05,22.71
2007-10-25,2.24,21.48
2007-10-26,2.83,21.70
2007-10-27,1.55,23.77
2007-10-28,2.01,26.23
2007-10-29,2.40,27.64
2007-10-30,2.67,26.63
2007-10-31,2.21,24.10
2007-11-01,2.53,23.24
2007-11-02,2.00,20.89
2007-11-03,2.31,22.86
2007-11-04,1.58,21.05
2007-11-05,2.90,22.25
2007-11-06,2.79,20.23
2007-11-07,2.43,22.95
2007-11-08,2.42,24.78
2007-11-09,2.42,22.09
2007-11-10,1.59,20.33
2007-11-11,1.62,21.29
2007-11-12,2.11,23.19
2007-11-13,2.82,21.03
2007-11-14,2.99,22.28
2007-11-15,1.89,20.38
2007-11-16,2.60,25.83
2007-11-17,4.03,24.33
2007-11-18,3.57,23.93
2007-11-19,1.94,25.89
2007-11-20,1.92,23.33
2007-11-21,2.24,23.33
2007-11-22,2.38,22.35
2007-11-23,2.88,21.29
2007-11-24,2.38,22.31
2007-11-25,2.13,21.85
2007-11-26,1.65,20.33
2007-11-27,2.23,21.82
2007-11-28,1.80,23.02
2007-11-29,2.98,21.37
2007-11-30,1.57,20.27
2007-12-01,1.55,20.10
2007-12-02,2.03,21.29
2007-12-03,1.80,21.71
2007-12-04,1.54,20.65
2007-12-05,1.76,21.36
2007-12-06,2.45,23.60
2007-12-07,2.22,22.21
2007-12-08,1.90,21.67
2007-12-09,2.03,21.60
2007-12-10,2.92,20.64
2007-12-11,1.54,18.16
2007-12-12,1.62,21.79
2007-12-13,1.63,24.62
2007-12-14,1.81,20.80
2007-12-15,2.69,22.11
2007-12-16,2.71,21.77
2007-12-17,2.28,22.78
2007-12-18,2.51,21.77
2007-12-19,3.76,20.25
2007-12-20,3.78,19.91
2007-12-21,2.17,19.93
2007-12-22,2.90,18.40
2007-12-23,2.21,20.06
2007-12-24,1.27,20.05
2007-12-25,2.56,21.38
2007-12-26,3.74,22.78
2007-12-27,3.16,22.41
2007-12-28,2.57,22.43
2007-12-29,3.24,23.28
2007-12-30,2.29,23.62
2007-12-31,2.62,24.26
2008-01-01,1.65,23.95
2008-01-02,2.11,24.17
2008-01-03,1.90,23.25
2008-01-04,2.62,24.19
2008-01-05,1.81,24.02
2008-01-06,2.08,23.58
2008-01-07,2.73,21.29
2008-01-08,2.59,21.91
2008-01-09,1.89,21.51
2008-01-10,2.75,20.25
2008-01-11,2.20,21.12
2008-01-12,1.45,21.35
2008-01-13,1.78,20.79
2008-01-14,3.48,21.87
2008-01-15,2.99,21.18
2008-01-16,2.37,21.03
2008-01-17,2.20,19.21
2008-01-18,1.16,20.42
2008-01-19,2.33,21.65
2008-01-20,1.93,23.08
2008-01-21,2.37,20.50
2008-01-22,2.07,20.57
2008-01-23,1.43,20.01
2008-01-24,2.23,20.38
2008-01-25,1.81,20.83
2008-01-26,1.90,19.52
2008-01-27,1.90,19.15
2008-01-28,2.47,20.14
2008-01-29,2.55,19.31
2008-01-30,3.27,19.15
2008-01-31,3.17,20.06
2008-02-01,2.91,21.30
2008-02-02,2.55,20.72
2008-02-03,4.45,19.95
2008-02-04,3.06,21.14
2008-02-05,1.65,20.27
2008-02-06,1.35,19.36
2008-02-07,1.16,19.73
2008-02-08,1.77,21.22
2008-02-09,1.89,22.96
2008-02-10,1.61,23.78
2008-02-11,1.90,23.29
2008-02-12,2.47,23.08
2008-02-13,2.12,23.57
2008-02-14,2.20,22.28
2008-02-15,2.64,21.35
2008-02-16,1.90,20.76
2008-02-17,2.07,21.53
2008-02-18,1.24,20.11
2008-02-19,1.54,19.56
2008-02-20,1.60,21.85
2008-02-21,1.73,18.41
2008-02-22,0.89,21.00
2008-02-23,1.01,20.58
2008-02-24,0.86,20.93
2008-02-25,1.57,20.86
2008-02-26,2.62,20.88
2008-02-27,2.12,20.98
2008-02-28,1.65,20.18
2008-02-29,2.10,19.87
