data,v_vento,t_med
2007-07-03,1.03,23.91
2007-07-04,1.48,21.85
2007-07-05,1.66,22.77
2007-07-06,1.13,22.73
2007-07-07,1.38,23.12
2007-07-08,1.26,22.91
2007-07-09,1.38,23.23
2007-07-10,1.80,22.45
2007-07-11,2.47,17.75
2007-07-12,1.35,19.80
2007-07-13,1.87,23.93
2007-07-14,1.37,23.37
2007-07-15,0.85,23.30
2007-07-16,3.65,21.35
2007-07-17,4.85,18.61
2007-07-18,2.83,17.96
2007-07-19,1.02,15.88
2007-07-20,1.13,18.45
2007-07-21,1.46,21.57
2007-07-22,2.27,25.44
2007-07-23,2.65,23.50
2007-07-24,1.53,21.76
2007-07-25,2.42,17.75
2007-07-26,2.67,13.28
2007-07-27,2.29,14.47
2007-07-28,2.61,16.08
2007-07-29,4.48,15.31
2007-07-30,3.27,16.98
2007-07-31,2.08,20.89
2007-08-01,1.39,21.59
2007-08-02,1.84,22.12
2007-08-03,1.35,21.77
2007-08-04,1.39,21.98
2007-08-05,1.37,22.07
2007-08-06,2.39,22.65
2007-08-07,1.69,23.74
2007-08-08,1.72,23.62
2007-08-09,2.39,23.38
2007-08-10,1.80,23.42
2007-08-11,1.60,23.28
2007-08-12,3.70,22.61
2007-08-13,3.42,23.05
2007-08-14,3.00,22.93
2007-08-15,2.89,22.55
2007-08-16,1.78,21.99
2007-08-17,2.32,22.65
2007-08-18,1.96,22.67
2007-08-19,1.68,23.48
2007-08-20,2.25,21.40
2007-08-21,1.69,22.01
2007-08-22,2.42,22.91
2007-08-23,2.07,24.00
2007-08-24,1.52,24.30
2007-08-25,1.40,24.99
2007-08-26,1.82,26.78
2007-08-27,3.04,21.77
2007-08-28,2.38,20.81
2007-08-29,2.82,21.79
2007-08-30,3.21,23.66
2007-08-31,3.16,24.38
2007-09-01,1.20,24.40
2007-09-02,1.67,26.25
2007-09-03,1.72,26.37
2007-09-04,3.19,26.01
2007-09-05,3.45,25.60
2007-09-06,2.36,25.69
2007-09-07,2.06,25.94
2007-09-08,2.46,26.40
2007-09-09,2.47,25.92
2007-09-10,3.15,25.29
2007-09-11,3.35,25.53
2007-09-12,3.03,25.99
2007-09-13,3.29,26.82
2007-09-14,2.63,26.87
2007-09-15,1.78,27.76
2007-09-16,1.42,28.67
2007-09-17,3.20,28.62
2007-09-18,3.38,27.45
2007-09-19,1.92,29.45
2007-09-20,2.90,28.71
2007-09-21,1.62,29.52
2007-09-22,2.10,28.61
2007-09-23,1.86,30.09
2007-09-24,3.05,25.20
2007-09-25,4.22,22.21
2007-09-26,4.18,23.58
2007-09-27,2.91,26.51
2007-09-28,1.70,27.76
2007-09-29,2.67,27.25
2007-09-30,3.90,25.83
2007-10-01,3.42,26.08
2007-10-02,3.44,26.97
2007-10-03,2.83,27.77
2007-10-04,2.52,28.02
2007-10-05,2.53,29.00
2007-10-06,2.45,28.45
2007-10-07,1.68,28.40
2007-10-08,2.78,29.24
2007-10-09,3.63,29.82
2007-10-10,2.61,28.88
2007-10-11,1.77,29.28
2007-10-12,3.15,30.15
2007-10-13,1.78,24.46
2007-10-14,2.24,24.75
2007-10-15,2.98,27.61
2007-10-16,2.90,29.09
2007-10-17,1.69,28.52
2007-10-18,3.33,28.51
2007-10-19,1.67,26.31
2007-10-20,1.29,28.13
2007-10-21,2.28,26.96
2007-10-22,1.67,25.00
2007-10-23,4.10,24.14
2007-10-24,3.35,20.20
2007-10-25,2.50,21.92
2007-10-26,1.02,25.11
2007-10-27,1.22,28.19
2007-10-28,0.95,29.31
2007-10-29,1.42,31.23
2007-10-30,3.17,28.35
2007-10-31,1.41,28.68
2007-11-01,3.14,28.80
2007-11-02,3.24,26.35
2007-11-03,2.06,25.16
2007-11-04,2.50,21.92
2007-11-05,1.98,21.09
2007-11-06,2.16,22.37
2007-11-07,3.00,24.72
2007-11-08,2.30,22.69
2007-11-09,2.17,23.24
2007-11-10,3.03,24.50
2007-11-11,2.37,23.65
2007-11-12,2.16,24.54
2007-11-13,2.59,24.12
2007-11-14,2.01,25.29
2007-11-15,2.07,21.13
2007-11-16,3.53,24.63
2007-11-17,3.20,26.02
2007-11-18,1.98,27.07
2007-11-19,2.09,26.89
2007-11-20,2.18,24.16
2007-11-21,2.44,25.62
2007-11-22,3.50,25.10
2007-11-23,2.92,24.75
2007-11-24,1.73,25.01
2007-11-25,1.91,23.59
2007-11-26,1.54,25.59
2007-11-27,2.49,27.05
2007-11-28,3.39,26.93
2007-11-29,3.12,25.78
2007-11-30,2.78,25.54
2007-12-01,2.66,27.94
2007-12-02,2.86,29.39
2007-12-03,1.82,28.33
2007-12-04,3.08,26.26
2007-12-05,2.88,27.00
2007-12-06,3.03,26.49
2007-12-07,2.74,25.06
2007-12-08,2.83,25.18
2007-12-09,1.32,24.99
2007-12-10,1.85,26.51
2007-12-11,2.55,23.66
2007-12-12,2.76,24.18
2007-12-13,2.87,24.35
2007-12-14,1.86,24.12
2007-12-15,1.65,25.57
2007-12-16,1.51,25.90
2007-12-17,2.98,26.09
2007-12-18,2.22,25.54
2007-12-19,2.22,24.31
2007-12-20,1.97,24.22
2007-12-21,2.17,24.02
2007-12-22,0.61,25.83
2007-12-23,1.65,25.47
2007-12-24,1.58,26.20
2007-12-25,1.91,25.24
2007-12-26,1.58,25.33
2007-12-27,1.91,26.63
2007-12-28,1.53,26.82
2007-12-29,1.45,27.25
2007-12-30,1.68,27.46
2007-12-31,1.42,28.14
2008-01-01,2.02,27.21
2008-01-02,2.92,26.80
2008-01-03,1.83,24.96
2008-01-04,1.21,25.60
2008-01-05,2.05,27.10
2008-01-06,1.08,23.23
2008-01-07,1.23,24.98
2008-01-08,1.62,25.78
2008-01-09,2.03,26.67
2008-01-10,1.31,26.89
2008-01-11,1.96,26.17
2008-01-12,2.00,26.23
2008-01-13,2.01,24.70
2008-01-14,1.67,23.52
2008-01-15,3.05,22.52
2008-01-16,1.76,24.10
2008-01-17,3.47,24.53
2008-01-18,2.15,25.80
2008-01-19,1.87,24.59
2008-01-20,2.18,23.70
2008-01-21,1.28,23.20
2008-01-22,2.04,22.35
2008-01-23,2.38,23.52
2008-01-24,2.98,24.19
2008-01-25,1.65,23.28
2008-01-26,1.38,23.47
2008-01-27,2.26,23.00
2008-01-28,2.66,22.51
2008-01-29,2.31,23.31
2008-01-30,2.91,23.95
2008-01-31,1.42,25.26
2008-02-01,1.08,26.04
2008-02-02,0.79,25.18
2008-02-03,1.87,24.22
2008-02-04,2.05,25.24
2008-02-05,2.08,21.55
2008-02-06,1.70,21.98
2008-02-07,2.35,23.69
2008-02-08,2.01,23.25
2008-02-09,1.30,24.45
2008-02-10,2.09,25.62
2008-02-11,1.61,26.59
2008-02-12,1.55,26.80
2008-02-13,1.34,25.38
2008-02-14,2.45,25.82
2008-02-15,2.73,23.16
2008-02-16,1.58,23.33
2008-02-17,1.88,25.29
2008-02-18,1.42,24.30
2008-02-19,1.53,24.45
2008-02-20,1.36,23.52
2008-02-21,2.36,23.94
2008-02-22,1.65,24.02
2008-02-23,1.45,23.98
2008-02-24,2.03,24.29
2008-02-25,1.95,25.20
2008-02-26,1.59,25.26
2008-02-27,1.51,25.12
2008-02-28,1.44,24.01
2008-02-29,2.06,24.18
2008-03-01,2.60,25.61
2008-03-02,1.98,25.03
2008-03-03,1.78,25.51
2008-03-04,1.58,25.43
2008-03-05,1.14,25.43
2008-03-06,1.48,24.59
2008-03-07,1.11,25.11
2008-03-08,2.16,26.26
2008-03-09,2.13,25.50
2008-03-10,1.46,25.65
2008-03-11,1.54,24.12
2008-03-12,1.07,22.97
2008-03-13,2.13,23.77
2008-03-14,2.31,21.67
2008-03-15,3.04,21.85
2008-03-16,1.56,22.65
2008-03-17,1.62,23.71
2008-03-18,2.04,20.85
2008-03-19,2.22,23.28
2008-03-20,1.67,23.02
2008-03-21,1.17,23.57
2008-03-22,1.89,24.36
2008-03-23,1.70,24.55
2008-03-24,1.40,25.56
2008-03-25,1.94,25.88
2008-03-26,2.09,25.23
2008-03-27,1.95,24.77
2008-03-28,1.52,25.87
2008-03-29,1.48,25.58
2008-03-30,3.55,24.76
2008-03-31,2.59,24.20
2008-04-01,2.00,24.84
2008-04-02,1.31,22.97
2008-04-03,1.05,22.18
2008-04-04,0.94,22.92
2008-04-05,2.23,23.77
2008-04-06,2.21,23.95
2008-04-07,1.15,23.50
2008-04-08,1.16,24.37
2008-04-09,1.35,22.01
2008-04-10,,
2008-04-11,,
2008-04-12,,
2008-04-13,,
2008-04-14,,
2008-04-15,,
2008-04-16,,
2008-04-17,,
2008-04-18,2.83,27.68
2008-04-19,3.18,20.00
2008-04-20,1.91,21.68
2008-04-21,1.19,21.44
2008-04-22,1.60,23.27
2008-04-23,1.38,23.91
2008-04-24,1.36,22.79
2008-04-25,0.97,22.27
2008-04-26,1.15,22.30
2008-04-27,0.80,23.57
2008-04-28,1.58,25.26
2008-04-29,2.53,25.33
2008-04-30,2.25,22.42
2008-05-01,2.91,20.40
2008-05-02,2.15,20.67
2008-05-03,2.99,15.83
2008-05-04,1.47,17.60
2008-05-05,1.45,18.89
2008-05-06,2.23,18.61
2008-05-07,1.18,17.52
2008-05-08,1.08,19.47
2008-05-09,1.06,21.29
2008-05-10,2.12,20.16
2008-05-11,2.84,20.48
2008-05-12,2.30,20.07
2008-05-13,2.55,18.91
2008-05-14,1.82,20.51
2008-05-15,1.31,21.45
2008-05-16,1.48,20.36
2008-05-17,0.75,20.20
2008-05-18,1.19,22.89
2008-05-19,1.03,23.25
2008-05-20,1.34,22.64
