data,v_vento,t_med
2018-08-16,4.02,18.74
2018-08-17,4.58,16.68
2018-08-18,3.96,17.79
2018-08-19,3.22,19.58
2018-08-20,2.46,22.83
2018-08-21,2.41,21.99
2018-08-22,2.35,18.56
2018-08-23,2.33,19.02
2018-08-24,4.56,19.55
2018-08-25,3.29,18.46
2018-08-26,2.77,14.90
2018-08-27,4.29,13.87
2018-08-28,4.84,16.98
2018-08-29,3.25,20.51
2018-08-30,2.82,23.00
2018-08-31,2.94,24.53
2018-09-01,2.87,25.65
2018-09-02,4.02,20.61
2018-09-03,4.35,13.38
2018-09-04,3.62,15.55
2018-09-05,3.39,15.21
2018-09-06,3.46,16.10
2018-09-07,3.33,19.36
2018-09-08,2.95,22.16
2018-09-09,3.60,21.30
2018-09-10,4.49,19.54
2018-09-11,5.05,19.19
2018-09-12,6.28,18.49
2018-09-13,4.97,19.31
2018-09-14,3.56,17.64
2018-09-15,1.84,19.20
2018-09-16,3.15,18.76
2018-09-17,3.42,16.56
2018-09-18,1.77,21.49
2018-09-19,2.44,22.48
2018-09-20,4.10,16.39
2018-09-21,2.03,19.91
2018-09-22,2.39,23.87
2018-09-23,2.42,24.93
2018-09-24,2.12,26.55
2018-09-25,3.35,24.14
2018-09-26,2.86,22.73
2018-09-27,2.41,20.93
2018-09-28,2.76,22.34
2018-09-29,3.89,22.77
2018-09-30,2.07,21.16
2018-10-01,1.97,23.35
2018-10-02,2.24,24.29
2018-10-03,2.86,23.13
2018-10-04,2.60,22.58
2018-10-05,4.15,20.31
2018-10-06,5.12,18.32
2018-10-07,4.48,20.11
2018-10-08,3.29,19.90
2018-10-09,2.64,22.27
2018-10-10,2.12,22.97
2018-10-11,5.41,19.91
2018-10-12,4.22,21.50
2018-10-13,2.40,24.64
2018-10-14,1.96,23.27
2018-10-15,2.36,22.18
2018-10-16,3.15,22.52
2018-10-17,3.73,22.38
2018-10-18,3.24,22.70
2018-10-19,3.06,20.98
2018-10-20,4.89,19.81
2018-10-21,3.93,18.74
2018-10-22,3.91,21.09
2018-10-23,2.62,24.25
2018-10-24,4.07,18.28
2018-10-25,3.11,18.17
2018-10-26,2.26,20.13
2018-10-27,4.16,22.49
2018-10-28,2.89,21.12
2018-10-29,4.09,19.09
2018-10-30,3.07,22.35
2018-10-31,3.47,22.83
2018-11-01,3.07,19.00
2018-11-02,2.63,22.89
2018-11-03,3.22,24.52
2018-11-04,3.95,21.95
2018-11-05,4.99,20.89
2018-11-06,3.61,20.72
2018-11-07,4.44,21.50
2018-11-08,6.56,20.33
2018-11-09,4.62,20.82
2018-11-10,3.57,21.01
2018-11-11,2.37,23.86
2018-11-12,2.73,25.94
2018-11-13,3.09,26.71
2018-11-14,2.97,26.21
2018-11-15,1.86,25.44
2018-11-16,3.78,25.27
2018-11-17,4.94,23.44
2018-11-18,2.88,21.25
2018-11-19,4.85,18.26
2018-11-20,4.31,19.83
2018-11-21,4.11,20.73
2018-11-22,3.47,21.93
2018-11-23,3.18,20.02
2018-11-24,3.22,21.81
2018-11-25,2.26,23.93
2018-11-26,4.66,22.81
2018-11-27,4.32,21.98
2018-11-28,3.88,23.28
2018-11-29,2.68,23.87
2018-11-30,1.93,24.76
2018-12-01,2.01,23.59
2018-12-02,2.11,23.81
2018-12-03,3.81,22.04
2018-12-04,2.44,23.18
2018-12-05,2.41,26.26
2018-12-06,2.82,25.15
2018-12-07,2.32,23.84
2018-12-08,4.24,19.88
2018-12-09,3.75,20.31
2018-12-10,2.97,23.80
2018-12-11,2.32,26.71
2018-12-12,2.06,27.64
2018-12-13,2.21,27.14
2018-12-14,2.77,24.62
2018-12-15,2.26,26.33
2018-12-16,2.79,25.05
2018-12-17,2.36,27.36
2018-12-18,2.22,26.70
2018-12-19,2.67,26.03
2018-12-20,2.03,28.04
2018-12-21,2.63,25.61
2018-12-22,2.51,24.07
2018-12-23,2.25,22.39
2018-12-24,1.64,21.75
2018-12-25,3.27,22.18
2018-12-26,2.64,23.64
2018-12-27,2.50,24.84
2018-12-28,2.35,24.56
2018-12-29,2.31,24.75
2018-12-30,2.36,25.98
2018-12-31,2.21,26.39
2019-01-01,2.83,25.78
2019-01-02,2.51,25.27
2019-01-03,2.42,24.98
2019-01-04,2.23,25.30
2019-01-05,1.90,22.99
2019-01-06,2.43,22.55
2019-01-07,2.46,25.76
2019-01-08,1.95,26.39
2019-01-09,2.64,26.56
2019-01-10,2.17,25.27
2019-01-11,2.57,25.76
2019-01-12,2.46,24.58
2019-01-13,2.18,23.61
2019-01-14,1.84,26.30
2019-01-15,2.33,26.22
2019-01-16,2.00,26.71
2019-01-17,2.38,26.24
2019-01-18,1.91,25.03
2019-01-19,2.50,25.38
2019-01-20,1.88,24.42
2019-01-21,2.18,26.12
2019-01-22,1.63,28.76
2019-01-23,2.72,26.30
2019-01-24,2.29,26.06
2019-01-25,2.82,24.73
2019-01-26,3.32,23.71
2019-01-27,2.98,23.85
2019-01-28,2.21,25.53
2019-01-29,1.91,28.84
2019-01-30,1.96,28.98
2019-01-31,2.28,27.71
2019-02-01,2.25,28.62
2019-02-02,2.23,29.38
2019-02-03,2.79,26.76
2019-02-04,3.78,22.76
2019-02-05,4.07,21.75
2019-02-06,3.27,22.34
2019-02-07,2.50,22.93
2019-02-08,2.26,25.79
2019-02-09,2.38,27.27
2019-02-10,2.92,27.62
2019-02-11,1.97,26.42
2019-02-12,2.88,22.76
2019-02-13,3.49,23.24
2019-02-14,4.08,21.78
2019-02-15,3.07,21.69
2019-02-16,2.17,22.71
2019-02-17,2.76,22.98
2019-02-18,2.15,23.88
2019-02-19,2.37,22.15
2019-02-20,1.91,22.21
2019-02-21,2.23,22.53
2019-02-22,2.30,23.73
2019-02-23,2.13,25.63
2019-02-24,2.43,26.03
2019-02-25,2.63,24.29
2019-02-26,2.22,20.16
2019-02-27,1.19,21.07
2019-02-28,1.87,21.97
2019-03-01,2.31,22.87
2019-03-02,2.00,23.82
2019-03-03,2.14,25.04
2019-03-04,3.60,23.68
2019-03-05,2.52,24.26
2019-03-06,2.29,25.65
2019-03-07,2.19,24.36
2019-03-08,2.33,23.62
2019-03-09,2.51,24.06
2019-03-10,2.04,24.92
2019-03-11,4.02,22.44
2019-03-12,3.14,23.74
2019-03-13,2.39,24.17
2019-03-14,2.27,22.88
2019-03-15,1.85,23.60
2019-03-16,2.81,24.20
2019-03-17,3.14,23.96
2019-03-18,1.99,23.60
2019-03-19,2.43,23.97
2019-03-20,2.56,22.80
2019-03-21,3.25,20.55
2019-03-22,3.77,21.03
2019-03-23,2.73,22.09
2019-03-24,2.03,24.12
