data,v_vento,t_med
2016-05-30,-9999.00,-9999.00
2016-05-31,-9999.00,-9999.00
2016-06-01,-9999.00,-9999.00
2016-06-02,-9999.00,-9999.00
2016-06-03,-5832.17,-5828.57
2016-06-04,1.16,7.60
2016-06-05,0.99,10.39
2016-06-06,1.10,8.72
2016-06-07,1.25,7.90
2016-06-08,1.44,6.59
2016-06-09,1.26,4.24
2016-06-10,1.25,7.01
2016-06-11,1.26,3.76
2016-06-12,1.28,4.62
2016-06-13,1.55,5.92
2016-06-14,2.08,9.63
2016-06-15,1.15,11.30
2016-06-16,0.93,13.69
2016-06-17,0.85,13.21
2016-06-18,0.93,9.20
2016-06-19,0.99,9.05
2016-06-20,1.60,7.43
2016-06-21,1.55,8.06
2016-06-22,1.17,10.28
2016-06-23,1.16,11.42
2016-06-24,1.23,10.40
2016-06-25,1.80,11.16
2016-06-26,2.08,12.57
2016-06-27,1.39,10.71
2016-06-28,1.25,11.99
2016-06-29,1.00,13.40
2016-06-30,1.24,13.82
2016-07-01,1.27,15.02
2016-07-02,1.28,14.89
2016-07-03,1.52,15.02
2016-07-04,1.68,15.43
2016-07-05,1.50,16.00
2016-07-06,3.50,14.92
2016-07-07,1.64,9.68
2016-07-08,1.26,8.65
2016-07-09,1.61,10.02
2016-07-10,1.43,15.07
2016-07-11,1.42,15.51
2016-07-12,1.55,17.37
2016-07-13,1.48,13.13
2016-07-14,1.49,13.70
2016-07-15,1.57,15.73
2016-07-16,1.83,10.89
2016-07-17,1.59,5.79
2016-07-18,1.15,4.68
2016-07-19,1.25,6.82
2016-07-20,1.27,7.83
2016-07-21,1.14,8.67
2016-07-22,1.14,9.15
2016-07-23,2.53,9.97
2016-07-24,1.33,14.35
2016-07-25,1.44,13.15
2016-07-26,2.17,15.86
2016-07-27,2.90,10.85
2016-07-28,1.64,7.80
2016-07-29,1.02,8.24
2016-07-30,2.65,10.77
2016-07-31,2.16,14.12
2016-08-01,1.46,17.60
2016-08-02,1.67,12.06
2016-08-03,1.06,10.51
2016-08-04,2.31,12.53
2016-08-05,1.75,15.28
2016-08-06,1.75,17.83
2016-08-07,2.07,11.08
2016-08-08,1.23,7.72
2016-08-09,1.00,11.44
2016-08-10,2.46,9.22
2016-08-11,3.17,9.40
2016-08-12,1.35,9.22
2016-08-13,1.86,11.79
2016-08-14,1.29,16.73
2016-08-15,1.83,13.86
2016-08-16,1.45,15.33
2016-08-17,1.83,16.40
2016-08-18,1.28,12.43
2016-08-19,-6665.77,10.38
2016-08-20,-9999.00,13.20
2016-08-21,-9999.00,8.27
2016-08-22,-9999.00,6.28
2016-08-23,-9999.00,8.32
2016-08-24,-9999.00,9.52
2016-08-25,-9999.00,13.90
2016-08-26,-9999.00,15.79
2016-08-27,-9999.00,17.08
2016-08-28,-9999.00,19.87
2016-08-29,-9999.00,16.69
2016-08-30,-9999.00,16.77
2016-08-31,-9999.00,15.17
2016-09-01,-9999.00,12.94
2016-09-02,-9999.00,12.46
2016-09-03,-9999.00,12.74
2016-09-04,-9999.00,13.75
