data,v_vento,t_med
1997-06-01,3.60,16.08
1997-06-02,2.95,14.99
1997-06-03,3.60,15.14
1997-06-04,2.82,16.03
1997-06-05,2.75,16.17
1997-06-06,3.61,16.59
1997-06-07,3.92,10.51
1997-06-08,2.40,8.73
1997-06-09,2.46,10.43
1997-06-10,3.45,13.83
1997-06-11,3.22,15.97
1997-06-12,3.28,18.61
1997-06-13,6.47,22.05
1997-06-14,3.31,16.06
1997-06-15,4.25,13.89
1997-06-16,2.86,12.84
1997-06-17,2.67,13.90
1997-06-18,3.26,15.46
1997-06-19,5.47,18.62
1997-06-20,4.70,20.69
1997-06-21,7.38,24.92
1997-06-22,6.90,24.58
1997-06-23,6.83,25.41
1997-06-24,4.96,23.43
1997-06-25,3.01,22.70
1997-06-26,2.50,20.23
1997-06-27,4.49,15.56
1997-06-28,3.73,9.51
1997-06-29,3.20,8.77
1997-06-30,2.72,10.31
1997-07-01,3.73,9.71
1997-07-02,3.08,18.62
1997-07-03,2.03,17.89
1997-07-04,2.11,17.35
1997-07-05,4.37,15.93
1997-07-06,2.55,18.22
1997-07-07,2.70,20.67
1997-07-08,2.96,21.20
1997-07-09,3.15,20.72
1997-07-10,3.01,20.95
1997-07-11,2.73,20.84
1997-07-12,3.80,19.50
1997-07-13,3.47,19.51
1997-07-14,2.47,20.68
1997-07-15,4.11,22.85
1997-07-16,2.86,21.72
1997-07-17,2.82,20.58
1997-07-18,3.97,18.87
1997-07-19,5.11,18.25
1997-07-20,2.87,15.31
1997-07-21,2.27,15.39
1997-07-22,1.70,16.33
1997-07-23,3.05,15.84
1997-07-24,4.05,16.81
1997-07-25,3.48,17.54
1997-07-26,3.75,19.75
1997-07-27,3.44,19.23
1997-07-28,3.05,19.34
1997-07-29,4.10,19.58
1997-07-30,3.95,21.26
1997-07-31,4.13,21.19
1997-08-01,3.68,20.81
1997-08-02,3.34,19.54
1997-08-03,3.88,18.77
1997-08-04,4.18,13.44
1997-08-05,3.68,11.23
1997-08-06,2.92,13.61
1997-08-07,3.61,13.61
1997-08-08,3.64,12.74
1997-08-09,3.57,13.23
1997-08-10,2.70,13.80
1997-08-11,2.62,14.81
1997-08-12,2.62,16.72
1997-08-13,3.85,18.33
1997-08-14,3.85,20.32
1997-08-15,4.97,23.13
1997-08-16,6.15,25.33
1997-08-17,6.94,26.18
1997-08-18,6.17,25.90
1997-08-19,4.91,25.81
1997-08-20,3.92,20.55
1997-08-21,2.62,14.35
1997-08-22,2.53,14.98
1997-08-23,3.20,15.36
1997-08-24,2.29,13.14
1997-08-25,2.20,15.83
1997-08-26,2.40,18.61
1997-08-27,2.51,21.48
1997-08-28,3.23,23.02
1997-08-29,3.14,23.31
1997-08-30,3.66,23.20
1997-08-31,3.91,24.62
1997-09-01,3.50,24.48
1997-09-02,3.12,19.48
1997-09-03,3.47,18.90
1997-09-04,,
1997-09-05,2.79,22.50
1997-09-06,3.64,20.81
1997-09-07,4.65,22.94
1997-09-08,5.80,26.63
1997-09-09,4.65,27.64
1997-09-10,4.87,20.48
1997-09-11,3.57,14.99
1997-09-12,4.10,19.58
1997-09-13,5.67,27.42
1997-09-14,3.95,22.62
1997-09-15,4.02,16.73
1997-09-16,,
1997-09-17,,
1997-09-18,,
1997-09-19,,
1997-09-20,1.45,19.38
1997-09-21,2.36,20.06
1997-09-22,2.09,19.57
1997-09-23,3.54,22.70
1997-09-24,3.19,24.03
1997-09-25,2.92,21.09
1997-09-26,2.69,20.62
1997-09-27,3.42,22.41
1997-09-28,3.57,25.04
1997-09-29,5.06,21.68
1997-09-30,3.66,22.14
1997-10-01,5.04,20.68
1997-10-02,3.70,17.58
1997-10-03,3.82,20.77
1997-10-04,6.96,24.25
1997-10-05,7.78,23.57
1997-10-06,5.37,16.44
1997-10-07,3.50,18.87
1997-10-08,5.91,19.62
1997-10-09,5.52,21.93
1997-10-10,6.39,19.44
1997-10-11,4.52,22.31
1997-10-12,3.83,25.65
1997-10-13,4.13,26.97
1997-10-14,3.73,27.10
1997-10-15,6.22,25.17
1997-10-16,4.63,21.64
1997-10-17,4.59,20.63
1997-10-18,3.42,19.24
1997-10-19,3.05,21.85
1997-10-20,4.43,22.14
1997-10-21,2.95,22.18
1997-10-22,2.78,23.53
1997-10-23,4.39,24.39
1997-10-24,3.06,23.50
1997-10-25,4.73,21.43
1997-10-26,2.66,21.29
1997-10-27,5.75,24.75
1997-10-28,3.20,30.17
1997-10-29,5.51,26.26
1997-10-30,3.89,23.30
1997-10-31,3.23,23.78
1997-11-01,2.23,23.54
1997-11-02,3.45,25.33
1997-11-03,3.38,22.51
1997-11-04,2.95,24.22
1997-11-05,3.44,26.12
1997-11-06,4.90,22.48
1997-11-07,2.69,22.94
1997-11-08,2.70,26.67
1997-11-09,3.30,28.39
