data,v_vento,t_med
2011-10-02,5.40,29.50
2011-10-03,7.30,29.05
2011-10-04,6.50,29.00
2011-10-05,,
2011-10-06,,
2011-10-07,,
2011-10-08,,
2011-10-09,,
2011-10-10,,
2011-10-11,,
2011-10-12,,
2011-10-13,,
2011-10-14,,
2011-10-15,,
2011-10-16,,
2011-10-17,,
2011-10-18,,
2011-10-19,,
2011-10-20,,
2011-10-21,,
2011-10-22,,
2011-10-23,,
2011-10-24,7.20,32.65
2011-10-25,,
2011-10-26,,
2011-10-27,,
2011-10-28,4.90,25.80
2011-10-29,6.90,28.60
2011-10-30,,
2011-10-31,,
2011-11-01,2.80,24.60
2011-11-02,,
2011-11-03,,
2011-11-04,,
2011-11-05,,
2011-11-06,,
2011-11-07,,
2011-11-08,,
2011-11-09,,
2011-11-10,,
2011-11-11,,
2011-11-12,,
2011-11-13,,
2011-11-14,,
2011-11-15,,
2011-11-16,,
2011-11-17,,
2011-11-18,,
2011-11-19,,
2011-11-20,,
2011-11-21,,
2011-11-22,,
2011-11-23,,
2011-11-24,,
2011-11-25,,
2011-11-26,,
2011-11-27,,
2011-11-28,,
2011-11-29,,
2011-11-30,,
2011-12-01,,
2011-12-02,,
2011-12-03,,
2011-12-04,,
2011-12-05,,
2011-12-06,,
2011-12-07,,
2011-12-08,,
2011-12-09,,
2011-12-10,,
2011-12-11,,
2011-12-12,,
2011-12-13,,
2011-12-14,,
2011-12-15,6.53,29.34
2011-12-16,5.67,28.21
2011-12-17,5.90,28.33
2011-12-18,5.67,28.15
2011-12-19,5.19,27.94
2011-12-20,5.26,28.90
2011-12-21,5.44,27.75
2011-12-22,5.37,27.50
2011-12-23,5.32,27.58
2011-12-24,5.28,28.41
2011-12-25,4.35,27.54
2011-12-26,4.53,27.47
2011-12-27,5.13,28.10
2011-12-28,4.41,27.19
2011-12-29,4.98,27.55
2011-12-30,5.08,27.73
2011-12-31,5.56,27.69
2012-01-01,5.20,27.62
2012-01-02,4.39,27.12
2012-01-03,4.79,27.68
2012-01-04,5.35,27.70
2012-01-05,4.94,27.24
2012-01-06,5.00,27.39
2012-01-07,4.91,27.52
2012-01-08,5.27,28.20
2012-01-09,5.24,27.60
2012-01-10,4.75,28.13
2012-01-11,5.06,28.32
2012-01-12,5.44,28.33
2012-01-13,5.03,28.36
2012-01-14,5.25,29.00
2012-01-15,5.20,28.85
2012-01-16,4.78,27.78
2012-01-17,4.43,27.73
2012-01-18,4.41,27.61
2012-01-19,3.83,27.01
2012-01-20,4.41,27.36
2012-01-21,4.69,27.40
2012-01-22,4.59,27.05
2012-01-23,4.58,27.56
2012-01-24,4.72,27.59
2012-01-25,5.00,27.69
2012-01-26,4.91,27.46
2012-01-27,4.72,27.52
2012-01-28,5.12,28.14
2012-01-29,5.20,27.13
2012-01-30,4.92,27.60
2012-01-31,4.83,27.84
2012-02-01,5.38,27.67
2012-02-02,5.43,28.08
2012-02-03,5.25,29.27
2012-02-04,5.77,29.41
2012-02-05,5.88,29.59
2012-02-06,5.22,28.82
2012-02-07,5.88,29.30
2012-02-08,5.84,28.30
2012-02-09,4.52,27.43
2012-02-10,5.40,29.14
2012-02-11,6.37,30.44
2012-02-12,5.82,30.24
2012-02-13,4.37,27.84
2012-02-14,5.69,29.57
2012-02-15,5.65,30.74
2012-02-16,4.68,30.03
2012-02-17,3.30,28.38
2012-02-18,5.01,28.11
2012-02-19,2.70,25.50
2012-02-20,4.00,29.19
2012-02-21,5.42,31.09
2012-02-22,5.60,31.06
2012-02-23,5.22,30.63
2012-02-24,5.22,29.69
2012-02-25,5.63,30.58
2012-02-26,3.40,28.56
2012-02-27,5.12,28.95
2012-02-28,4.54,27.99
2012-02-29,5.02,30.75
2012-03-01,5.01,30.78
2012-03-02,4.42,29.94
2012-03-03,5.16,29.69
2012-03-04,6.23,29.90
2012-03-05,5.51,29.83
2012-03-06,4.62,29.62
2012-03-07,5.83,30.61
2012-03-08,6.06,31.12
2012-03-09,5.20,29.64
2012-03-10,3.46,26.68
2012-03-11,3.68,28.11
2012-03-12,4.11,28.39
2012-03-13,4.22,28.12
2012-03-14,4.43,27.32
2012-03-15,3.37,27.20
2012-03-16,4.34,27.77
2012-03-17,4.36,27.39
2012-03-18,4.04,27.55
2012-03-19,4.18,27.72
2012-03-20,4.22,27.89
2012-03-21,3.42,27.36
2012-03-22,3.27,26.25
2012-03-23,4.12,28.30
2012-03-24,4.33,28.07
2012-03-25,3.83,28.15
2012-03-26,4.15,28.03
2012-03-27,4.57,28.41
2012-03-28,4.08,28.19
2012-03-29,4.61,28.22
2012-03-30,4.95,28.60
2012-03-31,4.81,28.06
2012-04-01,4.09,28.66
2012-04-02,4.98,28.85
2012-04-03,5.03,28.25
2012-04-04,4.62,28.20
2012-04-05,4.70,28.56
2012-04-06,4.11,27.96
2012-04-07,3.85,27.47
2012-04-08,4.55,28.83
2012-04-09,4.81,28.74
2012-04-10,4.62,28.54
2012-04-11,3.97,28.05
2012-04-12,4.21,28.06
2012-04-13,4.10,28.43
2012-04-14,4.38,28.64
2012-04-15,3.75,27.58
2012-04-16,4.34,27.74
2012-04-17,4.10,27.66
2012-04-18,4.37,28.42
2012-04-19,4.03,28.28
2012-04-20,4.33,27.96
2012-04-21,4.15,27.71
2012-04-22,4.35,27.87
2012-04-23,4.87,28.28
2012-04-24,4.45,28.20
2012-04-25,4.14,28.16
2012-04-26,4.57,28.73
2012-04-27,5.07,28.48
2012-04-28,4.41,27.18
2012-04-29,4.08,27.72
2012-04-30,4.78,28.33
2012-05-01,4.63,28.47
2012-05-02,5.09,28.58
2012-05-03,4.95,28.91
2012-05-04,5.13,29.20
2012-05-05,5.21,29.25
2012-05-06,5.21,29.25
2012-05-07,5.47,28.90
2012-05-08,4.99,29.23
2012-05-09,4.92,28.73
2012-05-10,4.90,28.74
2012-05-11,4.36,27.80
2012-05-12,5.15,28.42
2012-05-13,5.01,27.69
2012-05-14,4.97,27.77
2012-05-15,4.71,27.20
2012-05-16,4.49,27.10
2012-05-17,4.74,27.46
2012-05-18,4.37,27.23
2012-05-19,3.65,26.53
2012-05-20,5.05,27.77
2012-05-21,4.56,27.74
2012-05-22,4.96,28.54
2012-05-23,3.40,25.51
2012-05-24,3.35,25.79
2012-05-25,4.01,26.00
2012-05-26,3.93,27.30
2012-05-27,3.87,26.98
2012-05-28,4.34,28.51
2012-05-29,4.38,26.73
2012-05-30,4.24,27.38
2012-05-31,3.76,27.23
2012-06-01,4.36,27.98
2012-06-02,4.70,27.48
2012-06-03,4.64,27.26
2012-06-04,4.44,27.55
2012-06-05,3.81,27.94
2012-06-06,4.41,28.96
2012-06-07,5.49,26.95
2012-06-08,5.06,27.67
2012-06-09,4.62,27.84
2012-06-10,4.35,28.22
2012-06-11,4.01,27.12
2012-06-12,4.48,27.30
2012-06-13,4.22,28.75
2012-06-14,4.46,27.67
2012-06-15,4.31,27.72
2012-06-16,3.58,26.94
2012-06-17,4.45,27.29
2012-06-18,5.18,27.71
2012-06-19,3.67,26.80
2012-06-20,4.09,27.05
2012-06-21,4.63,27.19
2012-06-22,3.09,24.77
2012-06-23,3.33,26.48
2012-06-24,4.02,28.72
2012-06-25,4.43,25.60
2012-06-26,3.38,26.28
2012-06-27,4.45,27.01
2012-06-28,4.03,27.18
2012-06-29,3.67,26.55
2012-06-30,4.22,27.25
2012-07-01,4.65,27.99
2012-07-02,4.77,26.93
2012-07-03,4.24,26.36
2012-07-04,4.85,27.90
2012-07-05,5.36,26.90
2012-07-06,5.36,27.64
2012-07-07,5.43,28.35
2012-07-08,5.82,28.55
2012-07-09,6.02,28.07
2012-07-10,4.30,26.24
2012-07-11,4.03,27.06
2012-07-12,4.66,27.41
2012-07-13,4.20,25.83
2012-07-14,4.13,26.15
2012-07-15,5.28,27.40
2012-07-16,3.99,27.62
2012-07-17,4.30,27.58
2012-07-18,4.49,27.22
2012-07-19,4.23,27.30
2012-07-20,4.46,27.44
2012-07-21,4.82,27.78
2012-07-22,4.58,28.09
2012-07-23,5.07,27.33
2012-07-24,4.96,27.14
2012-07-25,4.86,27.12
2012-07-26,4.90,27.51
2012-07-27,4.20,25.37
2012-07-28,4.82,27.70
2012-07-29,5.32,27.43
2012-07-30,4.48,26.57
2012-07-31,5.05,27.12
2012-08-01,4.97,26.99
2012-08-02,3.96,27.21
2012-08-03,5.06,27.76
2012-08-04,4.46,27.58
2012-08-05,4.21,26.82
2012-08-06,4.84,26.65
2012-08-07,4.88,28.47
2012-08-08,4.99,28.69
2012-08-09,5.05,28.38
2012-08-10,4.78,27.74
2012-08-11,5.02,28.36
2012-08-12,5.84,28.06
2012-08-13,5.62,27.79
2012-08-14,5.07,27.01
2012-08-15,4.93,27.78
2012-08-16,5.54,28.05
2012-08-17,5.64,27.92
2012-08-18,4.98,28.20
2012-08-19,5.52,27.61
2012-08-20,5.29,27.13
2012-08-21,5.51,27.83
2012-08-22,5.51,27.83
2012-08-23,5.09,28.01
2012-08-24,5.44,27.60
2012-08-25,5.53,26.74
2012-08-26,5.35,26.82
2012-08-27,5.70,28.43
2012-08-28,5.48,28.20
2012-08-29,5.42,27.92
2012-08-30,5.32,26.54
2012-08-31,5.33,26.55
2012-09-01,5.08,27.52
2012-09-02,5.47,27.50
2012-09-03,5.98,27.20
2012-09-04,5.64,27.25
2012-09-05,5.85,27.76
2012-09-06,5.52,26.89
2012-09-07,5.29,26.53
2012-09-08,5.07,28.01
2012-09-09,5.22,28.50
2012-09-10,5.38,27.93
2012-09-11,4.26,27.02
2012-09-12,4.78,27.08
2012-09-13,4.86,28.13
2012-09-14,6.00,27.12
2012-09-15,4.92,27.69
2012-09-16,4.51,26.88
2012-09-17,4.94,27.35
2012-09-18,5.72,28.04
2012-09-19,5.27,27.62
