data,v_vento,t_med
2014-09-26,2.58,23.64
2014-09-27,1.59,19.83
2014-09-28,,
2014-09-29,,
2014-09-30,2.96,23.10
2014-10-01,2.60,22.90
2014-10-02,3.09,19.37
2014-10-03,2.65,18.08
2014-10-04,2.41,18.05
2014-10-05,1.97,18.67
2014-10-06,2.15,19.40
2014-10-07,2.11,20.21
2014-10-08,2.06,21.80
2014-10-09,2.16,21.94
2014-10-10,1.85,22.36
2014-10-11,2.27,22.65
2014-10-12,2.26,23.65
2014-10-13,2.47,23.46
2014-10-14,2.25,24.14
2014-10-15,2.36,22.42
2014-10-16,1.97,23.51
2014-10-17,2.32,24.05
2014-10-18,2.09,23.09
2014-10-19,2.25,22.80
2014-10-20,1.68,21.05
2014-10-21,1.94,19.05
2014-10-22,1.59,19.64
2014-10-23,1.49,20.40
2014-10-24,1.86,22.18
2014-10-25,1.98,23.29
2014-10-26,2.33,23.90
2014-10-27,2.96,23.85
2014-10-28,2.48,22.71
2014-10-29,2.48,22.17
2014-10-30,2.44,24.18
2014-10-31,2.43,24.90
2014-11-01,2.28,25.38
2014-11-02,1.68,23.85
2014-11-03,2.05,25.29
2014-11-04,1.62,25.14
2014-11-05,1.98,21.03
2014-11-06,1.74,21.53
2014-11-07,1.81,23.27
2014-11-08,2.47,23.36
2014-11-09,2.42,24.08
2014-11-10,2.53,23.74
2014-11-11,2.50,23.15
2014-11-12,1.75,23.09
2014-11-13,2.26,23.78
2014-11-14,1.53,18.76
2014-11-15,2.13,20.41
2014-11-16,2.40,20.79
2014-11-17,2.55,21.58
2014-11-18,2.28,20.68
2014-11-19,2.15,22.06
2014-11-20,1.00,22.46
2014-11-21,1.83,23.91
2014-11-22,1.01,24.85
2014-11-23,1.62,23.65
2014-11-24,1.79,23.12
2014-11-25,1.83,24.16
2014-11-26,2.48,25.09
2014-11-27,2.67,24.92
2014-11-28,2.50,24.67
2014-11-29,1.94,22.93
2014-11-30,1.58,23.40
2014-12-01,2.16,24.96
2014-12-02,2.55,26.17
2014-12-03,1.70,28.85
2014-12-04,2.15,23.10
2014-12-05,2.88,23.37
2014-12-06,1.69,23.01
2014-12-07,2.44,24.84
2014-12-08,2.16,25.70
2014-12-09,1.59,26.24
2014-12-10,1.43,24.90
2014-12-11,1.89,26.46
2014-12-12,2.39,26.97
2014-12-13,1.98,26.37
2014-12-14,2.35,23.88
