data,v_vento,t_med
2011-12-15,1.56,27.44
2011-12-16,1.20,25.73
2011-12-17,1.29,24.84
2011-12-18,1.09,24.52
2011-12-19,1.45,26.02
2011-12-20,1.23,26.02
2011-12-21,1.00,25.34
2011-12-22,1.46,25.95
2011-12-23,1.20,26.95
2011-12-24,0.93,27.40
2011-12-25,1.08,24.95
2011-12-26,1.12,24.08
2011-12-27,0.80,25.73
2011-12-28,0.86,25.59
2011-12-29,1.23,25.45
2011-12-30,1.52,25.44
2011-12-31,1.08,26.52
2012-01-01,1.06,25.66
2012-01-02,0.88,24.98
2012-01-03,1.46,24.52
2012-01-04,0.82,24.71
2012-01-05,1.23,25.47
2012-01-06,1.50,25.45
2012-01-07,1.18,25.82
2012-01-08,1.17,23.99
2012-01-09,1.48,25.66
2012-01-10,1.29,26.56
2012-01-11,1.58,26.21
2012-01-12,1.61,26.52
2012-01-13,0.82,24.90
2012-01-14,1.05,23.23
2012-01-15,1.22,23.88
2012-01-16,1.06,25.53
2012-01-17,1.27,25.67
2012-01-18,1.36,25.53
2012-01-19,1.50,23.82
2012-01-20,1.20,24.08
2012-01-21,1.05,25.04
2012-01-22,1.10,25.42
2012-01-23,1.52,24.85
2012-01-24,1.48,26.04
2012-01-25,1.00,26.48
2012-01-26,1.36,24.68
2012-01-27,0.80,24.71
2012-01-28,0.96,24.53
2012-01-29,1.30,26.23
2012-01-30,1.33,26.49
2012-01-31,1.35,24.11
2012-02-01,0.80,26.62
2012-02-02,1.02,25.66
2012-02-03,1.33,24.40
2012-02-04,0.83,24.70
2012-02-05,0.69,25.62
2012-02-06,1.00,26.45
2012-02-07,1.07,26.06
2012-02-08,1.30,26.14
2012-02-09,0.84,27.46
2012-02-10,1.45,25.42
2012-02-11,0.88,24.36
2012-02-12,0.88,25.41
2012-02-13,1.17,26.61
2012-02-14,1.38,25.06
2012-02-15,1.20,22.16
2012-02-16,1.19,23.31
2012-02-17,1.42,24.35
2012-02-18,0.82,24.23
2012-02-19,1.21,24.92
2012-02-20,1.32,25.84
2012-02-21,1.38,25.08
2012-02-22,0.96,25.05
2012-02-23,1.05,24.52
2012-02-24,1.52,25.25
2012-02-25,1.73,25.25
2012-02-26,1.71,24.51
2012-02-27,1.07,25.69
2012-02-28,1.26,23.64
2012-02-29,1.18,23.89
2012-03-01,1.12,25.28
2012-03-02,1.04,24.71
2012-03-03,1.05,24.11
2012-03-04,1.03,26.62
2012-03-05,1.52,24.30
2012-03-06,0.80,25.43
2012-03-07,1.10,24.99
2012-03-08,1.28,25.48
2012-03-09,0.96,24.74
2012-03-10,0.83,24.33
2012-03-11,0.76,25.42
2012-03-12,0.77,25.81
2012-03-13,0.89,26.80
2012-03-14,1.32,27.81
2012-03-15,1.30,26.01
2012-03-16,0.83,25.49
2012-03-17,0.96,25.71
2012-03-18,1.62,25.34
2012-03-19,1.36,26.63
2012-03-20,1.43,27.18
2012-03-21,1.33,27.39
2012-03-22,1.35,27.00
2012-03-23,1.53,26.11
2012-03-24,1.18,26.09
2012-03-25,1.00,25.77
2012-03-26,0.88,26.56
2012-03-27,1.09,26.43
2012-03-28,1.90,23.90
2012-03-29,1.47,24.90
2012-03-30,1.57,25.80
2012-03-31,0.96,25.86
2012-04-01,0.81,26.50
2012-04-02,0.80,26.50
2012-04-03,0.92,26.97
2012-04-04,1.25,26.10
2012-04-05,1.00,26.75
2012-04-06,0.93,27.45
2012-04-07,1.11,27.00
2012-04-08,1.57,25.52
2012-04-09,0.89,25.27
2012-04-10,1.36,25.23
2012-04-11,1.48,25.52
2012-04-12,0.77,26.15
2012-04-13,0.74,26.05
2012-04-14,1.48,26.39
2012-04-15,0.61,25.61
2012-04-16,0.62,25.89
2012-04-17,1.06,25.08
2012-04-18,0.87,25.33
2012-04-19,0.88,27.28
2012-04-20,0.83,26.08
2012-04-21,0.97,27.23
2012-04-22,1.26,27.55
2012-04-23,1.42,26.05
2012-04-24,0.80,25.63
2012-04-25,1.16,26.30
