data,v_vento,t_med
2011-10-31,1.50,35.60
2011-11-01,,
2011-11-02,,
2011-11-03,,
2011-11-04,,
2011-11-05,,
2011-11-06,,
2011-11-07,,
2011-11-08,,
2011-11-09,,
2011-11-10,,
2011-11-11,,
2011-11-12,,
2011-11-13,,
2011-11-14,,
2011-11-15,,
2011-11-16,,
2011-11-17,,
2011-11-18,,
2011-11-19,,
2011-11-20,,
2011-11-21,,
2011-11-22,4.90,31.00
2011-11-23,,
2011-11-24,,
2011-11-25,,
2011-11-26,,
2011-11-27,,
2011-11-28,,
2011-11-29,,
2011-11-30,,
2011-12-01,,
2011-12-02,,
2011-12-03,,
2011-12-04,,
2011-12-05,,
2011-12-06,,
2011-12-07,,
2011-12-08,,
2011-12-09,,
2011-12-10,,
2011-12-11,,
2011-12-12,,
2011-12-13,,
2011-12-14,,
2011-12-15,3.86,32.46
2011-12-16,2.68,29.52
2011-12-17,2.45,30.24
2011-12-18,2.94,30.62
2011-12-19,2.76,30.02
2011-12-20,3.07,30.98
2011-12-21,3.12,30.48
2011-12-22,3.70,30.06
2011-12-23,3.24,29.58
2011-12-24,2.78,30.44
2011-12-25,2.92,29.83
2011-12-26,2.87,30.48
2011-12-27,2.20,29.89
2011-12-28,2.30,29.55
2011-12-29,3.49,30.12
2011-12-30,3.20,30.35
2011-12-31,3.31,30.25
2012-01-01,3.84,29.88
2012-01-02,3.85,29.62
2012-01-03,2.93,30.67
2012-01-04,3.07,30.60
2012-01-05,3.40,30.49
2012-01-06,3.13,29.95
2012-01-07,2.54,29.17
2012-01-08,3.31,30.96
2012-01-09,3.86,30.84
2012-01-10,4.12,31.18
2012-01-11,3.69,30.77
2012-01-12,4.09,31.29
2012-01-13,4.55,30.73
2012-01-14,3.07,30.77
2012-01-15,3.39,31.30
2012-01-16,2.57,30.43
2012-01-17,2.03,30.17
2012-01-18,2.33,27.74
2012-01-19,2.50,25.64
2012-01-20,2.64,28.53
2012-01-21,2.91,31.23
2012-01-22,2.46,29.39
2012-01-23,1.44,27.74
2012-01-24,3.67,27.56
2012-01-25,2.38,29.08
2012-01-26,2.84,30.08
2012-01-27,2.59,30.51
2012-01-28,3.04,31.63
2012-01-29,2.08,30.81
2012-01-30,3.54,29.84
2012-01-31,3.08,31.29
2012-02-01,2.90,31.27
2012-02-02,3.11,30.22
2012-02-03,3.62,31.66
2012-02-04,2.93,32.02
2012-02-05,3.76,33.64
2012-02-06,3.89,33.17
2012-02-07,3.31,33.61
2012-02-08,3.49,33.37
2012-02-09,2.96,32.21
2012-02-10,3.62,33.11
2012-02-11,3.39,33.72
2012-02-12,2.70,33.24
2012-02-13,4.19,33.41
2012-02-14,4.75,34.08
2012-02-15,2.39,33.63
2012-02-16,1.57,29.22
2012-02-17,2.28,28.23
2012-02-18,2.48,30.81
2012-02-19,1.72,26.98
2012-02-20,2.91,31.57
2012-02-21,2.13,29.33
2012-02-22,3.41,30.99
2012-02-23,1.77,30.56
2012-02-24,2.89,28.64
2012-02-25,2.78,26.03
2012-02-26,1.84,30.84
2012-02-27,4.07,32.09
2012-02-28,3.63,31.04
2012-02-29,3.34,32.15
2012-03-01,3.42,31.50
2012-03-02,3.98,32.77
2012-03-03,1.78,32.30
2012-03-04,2.64,33.09
2012-03-05,2.69,33.27
2012-03-06,3.08,31.55
2012-03-07,2.27,29.62
2012-03-08,2.79,28.65
2012-03-09,3.00,27.89
2012-03-10,2.85,28.02
2012-03-11,2.07,28.00
2012-03-12,3.23,29.91
2012-03-13,2.38,29.68
2012-03-14,2.51,29.59
2012-03-15,2.78,29.11
2012-03-16,2.56,29.91
2012-03-17,3.35,30.10
2012-03-18,2.35,28.27
2012-03-19,2.08,28.00
2012-03-20,2.30,29.14
2012-03-21,2.33,29.38
2012-03-22,2.91,29.59
2012-03-23,2.45,30.02
2012-03-24,2.63,30.42
2012-03-25,2.83,29.98
2012-03-26,1.96,27.77
2012-03-27,2.35,27.46
2012-03-28,1.90,28.22
2012-03-29,2.79,29.20
2012-03-30,2.68,29.16
2012-03-31,2.20,29.38
2012-04-01,1.70,29.40
2012-04-02,2.30,29.52
2012-04-03,2.87,30.37
2012-04-04,2.83,29.83
2012-04-05,3.00,30.93
2012-04-06,2.54,30.51
2012-04-07,2.76,30.06
2012-04-08,2.83,29.75
2012-04-09,1.87,28.92
2012-04-10,2.41,30.10
2012-04-11,2.58,29.91
2012-04-12,1.89,29.53
2012-04-13,1.82,28.95
2012-04-14,1.90,29.35
2012-04-15,2.21,29.64
2012-04-16,2.42,29.66
2012-04-17,2.12,29.65
2012-04-18,2.36,28.66
2012-04-19,1.99,29.20
2012-04-20,2.28,29.94
2012-04-21,2.70,30.15
2012-04-22,2.82,30.93
2012-04-23,2.78,30.29
2012-04-24,2.90,30.83
2012-04-25,2.73,29.88
2012-04-26,2.99,30.92
2012-04-27,1.98,30.14
2012-04-28,1.81,29.40
2012-04-29,1.95,29.77
2012-04-30,2.15,30.61
2012-05-01,2.11,30.15
2012-05-02,2.37,30.48
2012-05-03,3.23,31.48
2012-05-04,3.70,30.46
2012-05-05,3.19,30.43
2012-05-06,2.25,30.44
2012-05-07,2.93,31.38
2012-05-08,2.95,31.06
2012-05-09,1.77,30.13
2012-05-10,1.88,29.85
2012-05-11,2.02,30.08
2012-05-12,2.67,30.64
2012-05-13,2.62,30.10
2012-05-14,3.05,30.30
2012-05-15,2.90,30.30
2012-05-16,2.16,29.60
2012-05-17,2.33,29.95
2012-05-18,3.11,30.00
2012-05-19,2.37,29.73
2012-05-20,3.53,29.79
2012-05-21,2.81,30.24
2012-05-22,2.17,30.75
2012-05-23,2.85,27.81
2012-05-24,2.44,28.49
2012-05-25,1.98,28.33
2012-05-26,2.45,30.06
2012-05-27,2.82,29.65
2012-05-28,2.85,30.42
2012-05-29,2.65,28.40
2012-05-30,2.47,28.15
2012-05-31,1.74,29.09
2012-06-01,2.53,29.63
2012-06-02,2.36,29.33
2012-06-03,2.08,28.92
2012-06-04,2.14,29.12
2012-06-05,2.32,28.87
2012-06-06,2.16,30.05
2012-06-07,3.70,30.34
2012-06-08,3.12,30.24
2012-06-09,2.77,30.34
2012-06-10,2.29,29.66
2012-06-11,1.83,29.38
2012-06-12,3.00,29.66
2012-06-13,2.61,29.41
2012-06-14,2.83,29.83
2012-06-15,3.83,29.48
2012-06-16,2.30,29.22
2012-06-17,1.55,28.89
2012-06-18,2.35,29.38
2012-06-19,2.66,29.48
2012-06-20,2.44,29.23
2012-06-21,2.45,30.30
2012-06-22,2.16,27.81
2012-06-23,1.67,27.30
2012-06-24,2.17,28.65
2012-06-25,3.59,26.67
2012-06-26,2.90,27.90
2012-06-27,3.56,28.29
2012-06-28,2.49,26.75
2012-06-29,2.75,28.18
2012-06-30,3.41,29.47
2012-07-01,3.12,29.68
2012-07-02,2.92,27.08
2012-07-03,3.67,28.62
2012-07-04,3.47,29.35
2012-07-05,4.96,29.65
2012-07-06,3.16,29.71
2012-07-07,3.30,29.90
2012-07-08,2.93,30.68
2012-07-09,3.55,30.58
2012-07-10,3.95,30.09
2012-07-11,2.97,29.10
2012-07-12,2.41,29.56
2012-07-13,3.40,29.14
2012-07-14,3.25,29.63
2012-07-15,1.76,28.86
2012-07-16,2.58,29.17
2012-07-17,2.49,28.50
2012-07-18,2.50,29.25
2012-07-19,3.02,29.46
2012-07-20,2.21,29.28
2012-07-21,3.10,29.62
2012-07-22,2.51,29.94
2012-07-23,2.77,29.59
2012-07-24,3.99,30.13
2012-07-25,2.87,28.70
2012-07-26,3.75,29.52
2012-07-27,3.23,28.80
2012-07-28,3.90,29.89
2012-07-29,3.82,28.99
2012-07-30,4.26,28.93
2012-07-31,4.03,28.98
2012-08-01,4.64,28.85
2012-08-02,2.82,29.06
2012-08-03,3.01,29.16
2012-08-04,2.99,28.74
2012-08-05,2.01,28.78
2012-08-06,2.03,29.09
2012-08-07,2.78,29.26
2012-08-08,4.08,29.72
2012-08-09,3.43,30.02
2012-08-10,3.33,30.16
2012-08-11,3.08,28.81
2012-08-12,3.00,29.05
2012-08-13,4.62,29.43
2012-08-14,4.31,29.92
2012-08-15,4.68,30.31
2012-08-16,5.32,30.09
2012-08-17,4.12,30.60
2012-08-18,4.20,30.28
2012-08-19,5.13,29.22
2012-08-20,4.30,29.33
2012-08-21,3.44,29.86
2012-08-22,4.16,29.79
2012-08-23,4.81,29.73
2012-08-24,4.38,29.37
2012-08-25,4.71,29.28
2012-08-26,3.70,29.76
2012-08-27,3.28,30.19
2012-08-28,2.43,30.28
2012-08-29,2.59,30.58
2012-08-30,2.59,29.89
2012-08-31,3.16,28.92
2012-09-01,3.04,29.32
2012-09-02,3.11,29.54
2012-09-03,3.65,29.43
2012-09-04,3.13,29.76
2012-09-05,4.32,30.03
2012-09-06,4.34,29.36
2012-09-07,3.62,29.28
2012-09-08,2.67,29.20
2012-09-09,3.37,30.41
2012-09-10,3.00,29.97
2012-09-11,4.38,30.07
2012-09-12,2.48,29.96
2012-09-13,2.43,30.35
2012-09-14,2.79,29.55
2012-09-15,3.22,29.41
2012-09-16,4.04,30.28
2012-09-17,3.33,30.62
2012-09-18,3.49,30.40
2012-09-19,3.20,30.70
2012-09-20,2.20,29.91
2012-09-21,2.59,29.27
2012-09-22,2.67,29.98
2012-09-23,3.84,30.38
2012-09-24,4.10,30.46
2012-09-25,3.77,29.71
2012-09-26,2.52,30.10
2012-09-27,2.51,30.11
2012-09-28,3.97,30.98
2012-09-29,2.96,29.62
2012-09-30,2.87,29.90
2012-10-01,2.99,30.32
2012-10-02,2.89,30.58
2012-10-03,4.23,31.07
2012-10-04,3.68,30.55
2012-10-05,4.04,30.31
2012-10-06,4.26,30.23
2012-10-07,3.67,31.32
2012-10-08,3.72,30.86
2012-10-09,4.12,30.83
2012-10-10,4.15,29.96
2012-10-11,3.73,28.90
2012-10-12,3.08,29.78
2012-10-13,2.35,29.93
2012-10-14,3.26,29.67
2012-10-15,3.31,29.91
2012-10-16,3.25,30.34
2012-10-17,4.38,31.05
2012-10-18,4.46,30.67
2012-10-19,3.67,30.66
2012-10-20,3.00,30.27
2012-10-21,3.13,29.90
2012-10-22,2.63,30.43
2012-10-23,2.70,30.99
2012-10-24,3.04,30.68
2012-10-25,3.53,30.50
2012-10-26,3.79,30.93
2012-10-27,2.64,30.65
2012-10-28,2.45,29.92
2012-10-29,2.80,29.86
2012-10-30,2.80,28.92
2012-10-31,2.40,29.70
2012-11-01,3.33,29.42
2012-11-02,3.12,29.30
2012-11-03,3.24,29.14
2012-11-04,2.93,29.92
2012-11-05,3.60,29.93
2012-11-06,4.15,29.49
2012-11-07,4.01,29.38
2012-11-08,3.47,29.67
2012-11-09,2.46,28.38
2012-11-10,3.00,29.43
2012-11-11,2.18,29.60
2012-11-12,2.85,30.03
2012-11-13,2.45,29.45
2012-11-14,3.94,29.38
2012-11-15,3.26,28.85
2012-11-16,2.84,29.86
2012-11-17,2.54,29.69
2012-11-18,2.56,29.83
2012-11-19,4.29,31.57
2012-11-20,3.15,31.24
2012-11-21,2.77,30.31
2012-11-22,2.79,30.30
2012-11-23,2.71,30.89
2012-11-24,2.89,30.50
2012-11-25,4.18,29.94
2012-11-26,4.40,30.15
2012-11-27,3.83,30.35
2012-11-28,2.85,29.96
2012-11-29,2.62,28.88
2012-11-30,2.81,28.16
2012-12-01,2.73,29.67
2012-12-02,3.78,33.58
2012-12-03,3.61,30.33
2012-12-04,2.73,29.91
2012-12-05,3.15,30.26
2012-12-06,3.18,30.05
2012-12-07,3.33,30.33
2012-12-08,2.71,30.42
2012-12-09,2.88,29.90
2012-12-10,3.01,29.80
2012-12-11,4.29,29.91
2012-12-12,3.62,30.09
2012-12-13,2.88,30.60
2012-12-14,2.65,30.64
2012-12-15,2.93,30.98
2012-12-16,2.71,30.89
2012-12-17,2.47,30.65
2012-12-18,2.58,30.94
2012-12-19,3.33,30.45
2012-12-20,3.99,30.28
2012-12-21,2.48,30.53
2012-12-22,2.77,30.74
2012-12-23,2.70,30.58
2012-12-24,2.43,29.80
2012-12-25,2.68,30.45
2012-12-26,2.77,30.23
2012-12-27,3.10,30.69
2012-12-28,2.92,30.41
2012-12-29,2.69,30.40
2012-12-30,2.99,31.00
2012-12-31,2.48,30.73
2013-01-01,2.72,30.45
2013-01-02,2.31,30.87
2013-01-03,2.62,29.75
2013-01-04,4.13,29.57
2013-01-05,3.49,30.36
2013-01-06,2.60,30.30
2013-01-07,2.79,30.31
2013-01-08,3.08,31.00
2013-01-09,3.01,31.09
2013-01-10,3.08,30.81
2013-01-11,3.90,30.80
2013-01-12,4.33,31.10
2013-01-13,4.89,31.96
2013-01-14,3.12,31.32
2013-01-15,3.04,30.60
2013-01-16,2.09,30.69
2013-01-17,2.97,31.20
2013-01-18,3.50,30.32
2013-01-19,4.08,29.80
2013-01-20,1.95,28.57
2013-01-21,2.07,29.24
2013-01-22,2.02,29.74
2013-01-23,2.84,29.42
2013-01-24,3.11,30.97
2013-01-25,3.14,30.60
2013-01-26,2.65,30.56
2013-01-27,2.97,30.10
2013-01-28,3.43,30.02
2013-01-29,3.95,30.35
2013-01-30,2.84,30.57
2013-01-31,3.54,30.83
2013-02-01,3.57,30.85
2013-02-02,3.12,30.95
2013-02-03,3.86,32.36
2013-02-04,2.56,30.69
2013-02-05,3.47,30.90
2013-02-06,3.21,30.13
2013-02-07,4.04,30.64
2013-02-08,3.73,31.56
2013-02-09,3.40,31.58
2013-02-10,3.15,31.87
2013-02-11,3.01,32.02
2013-02-12,3.11,31.72
2013-02-13,2.35,31.48
2013-02-14,2.64,30.30
2013-02-15,2.06,26.90
2013-02-16,2.42,28.02
2013-02-17,2.15,26.65
2013-02-18,2.55,28.20
2013-02-19,2.31,27.65
2013-02-20,2.38,29.38
2013-02-21,4.46,30.50
2013-02-22,3.48,30.53
2013-02-23,2.70,30.10
2013-02-24,3.28,30.43
2013-02-25,3.03,30.64
2013-02-26,3.02,31.07
2013-02-27,2.72,31.09
2013-02-28,3.70,31.45
2013-03-01,3.83,31.42
2013-03-02,4.97,31.54
2013-03-03,4.80,31.28
2013-03-04,3.31,31.40
2013-03-05,3.37,31.20
2013-03-06,3.60,31.34
2013-03-07,3.20,30.76
2013-03-08,3.00,30.44
2013-03-09,2.71,30.29
2013-03-10,2.18,30.86
2013-03-11,2.85,31.34
2013-03-12,2.95,31.11
2013-03-13,3.10,31.13
2013-03-14,2.61,31.15
2013-03-15,2.97,31.29
2013-03-16,2.90,30.44
2013-03-17,1.80,30.11
2013-03-18,2.33,29.87
2013-03-19,2.46,26.28
2013-03-20,1.78,28.07
2013-03-21,2.00,29.38
2013-03-22,2.47,29.78
2013-03-23,2.14,28.84
2013-03-24,2.39,28.83
2013-03-25,2.03,29.36
