data,v_vento,t_med
2018-12-31,2.30,19.10
2019-01-01,1.87,21.72
2019-01-02,1.37,22.60
2019-01-03,1.53,24.07
2019-01-04,0.90,22.23
2019-01-05,1.33,21.20
2019-01-06,1.48,22.57
2019-01-07,1.86,24.24
2019-01-08,1.16,24.95
2019-01-09,1.83,23.85
2019-01-10,1.37,22.97
2019-01-11,1.14,23.69
2019-01-12,0.75,23.99
2019-01-13,0.95,24.80
2019-01-14,1.27,24.90
2019-01-15,1.20,25.34
2019-01-16,1.24,26.45
2019-01-17,2.17,22.73
2019-01-18,0.98,24.07
2019-01-19,1.09,25.41
2019-01-20,0.84,25.54
2019-01-21,0.85,25.35
2019-01-22,0.77,25.94
2019-01-23,1.23,25.05
2019-01-24,0.96,25.51
2019-01-25,1.51,25.69
2019-01-26,1.26,20.65
2019-01-27,1.41,21.07
2019-01-28,1.56,24.49
2019-01-29,1.27,25.24
2019-01-30,1.22,25.30
2019-01-31,0.94,25.41
2019-02-01,1.17,25.84
2019-02-02,0.88,26.20
2019-02-03,0.84,26.87
2019-02-04,1.46,23.85
2019-02-05,2.30,23.55
2019-02-06,1.98,21.38
2019-02-07,1.78,21.70
2019-02-08,1.62,23.12
2019-02-09,1.67,23.43
2019-02-10,2.45,23.40
2019-02-11,2.70,24.26
2019-02-12,1.59,24.56
2019-02-13,1.40,23.59
2019-02-14,1.49,22.51
2019-02-15,1.69,22.41
2019-02-16,1.71,21.58
2019-02-17,2.30,21.17
2019-02-18,2.50,20.56
2019-02-19,1.73,22.02
2019-02-20,1.47,23.17
2019-02-21,1.20,22.75
2019-02-22,1.73,24.66
2019-02-23,1.96,25.49
2019-02-24,1.98,25.88
2019-02-25,1.51,24.05
2019-02-26,1.57,22.23
2019-02-27,1.13,23.17
2019-02-28,1.66,23.08
2019-03-01,2.08,22.32
2019-03-02,1.07,21.27
2019-03-03,1.45,21.15
2019-03-04,1.16,21.11
2019-03-05,0.91,21.45
2019-03-06,1.07,21.49
2019-03-07,1.57,22.58
2019-03-08,1.22,23.27
2019-03-09,0.99,24.40
2019-03-10,1.09,24.40
2019-03-11,1.46,21.80
2019-03-12,1.83,23.21
2019-03-13,1.03,22.81
2019-03-14,1.14,22.36
2019-03-15,1.12,23.75
2019-03-16,1.21,24.03
2019-03-17,1.89,21.62
2019-03-18,1.24,23.35
2019-03-19,1.27,24.81
2019-03-20,1.29,24.30
2019-03-21,0.97,21.75
2019-03-22,1.06,21.75
2019-03-23,1.56,21.17
2019-03-24,1.48,23.30
2019-03-25,1.67,23.02
2019-03-26,1.35,23.30
2019-03-27,1.86,22.84
2019-03-28,1.22,22.96
2019-03-29,1.18,22.50
2019-03-30,1.10,22.35
2019-03-31,1.35,22.65
2019-04-01,1.17,22.48
2019-04-02,1.42,22.17
2019-04-03,1.12,23.04
2019-04-04,1.45,24.86
2019-04-05,1.21,22.95
2019-04-06,2.09,22.41
2019-04-07,1.43,21.63
2019-04-08,1.02,21.51
2019-04-09,1.29,21.38
2019-04-10,0.90,21.87
2019-04-11,1.27,22.58
2019-04-12,0.98,21.89
2019-04-13,1.07,21.42
2019-04-14,2.44,22.07
2019-04-15,1.00,21.97
2019-04-16,1.74,22.58
2019-04-17,1.52,22.23
2019-04-18,1.23,22.99
2019-04-19,1.34,22.58
2019-04-20,1.21,22.66
2019-04-21,1.35,22.77
2019-04-22,1.57,22.31
2019-04-23,1.44,22.03
2019-04-24,1.27,22.24
2019-04-25,1.39,22.40
2019-04-26,0.76,22.35
2019-04-27,1.17,22.56
2019-04-28,1.20,22.83
2019-04-29,1.14,22.75
2019-04-30,0.76,22.79
2019-05-01,0.96,21.80
2019-05-02,0.76,21.32
2019-05-03,1.16,22.29
2019-05-04,0.70,21.93
2019-05-05,0.99,21.92
2019-05-06,0.83,22.00
2019-05-07,0.46,22.75
2019-05-08,0.70,23.22
2019-05-09,1.12,22.14
2019-05-10,0.96,21.84
2019-05-11,0.87,21.60
2019-05-12,0.64,22.45
2019-05-13,0.52,22.98
2019-05-14,0.71,22.88
2019-05-15,1.00,20.62
2019-05-16,0.72,18.81
2019-05-17,0.70,17.34
2019-05-18,0.90,19.00
2019-05-19,0.67,19.56
2019-05-20,0.73,19.74
2019-05-21,0.65,20.58
2019-05-22,0.61,21.35
2019-05-23,0.91,23.39
2019-05-24,2.14,23.88
2019-05-25,1.08,21.78
2019-05-26,0.54,20.12
2019-05-27,0.62,20.58
2019-05-28,0.97,21.03
2019-05-29,0.57,21.67
2019-05-30,0.82,21.79
2019-05-31,0.96,21.58
2019-06-01,0.45,21.79
2019-06-02,0.40,22.02
2019-06-03,1.44,20.85
2019-06-04,1.77,18.69
2019-06-05,1.64,18.95
2019-06-06,1.69,17.11
2019-06-07,1.07,17.17
2019-06-08,0.93,17.19
2019-06-09,0.98,17.39
2019-06-10,1.39,17.88
2019-06-11,0.98,18.21
2019-06-12,1.69,19.64
2019-06-13,1.67,20.49
2019-06-14,1.23,20.38
2019-06-15,1.58,19.42
2019-06-16,1.18,19.98
2019-06-17,1.20,18.83
2019-06-18,1.20,19.03
2019-06-19,1.22,20.15
2019-06-20,0.80,19.78
2019-06-21,1.92,19.57
