data,v_vento,t_med
2007-08-08,2.16,31.49
2007-08-09,1.72,25.36
2007-08-10,1.40,25.79
2007-08-11,1.59,25.82
2007-08-12,1.61,25.70
2007-08-13,1.48,25.58
2007-08-14,2.10,26.30
2007-08-15,2.04,25.27
2007-08-16,1.51,24.66
2007-08-17,1.44,25.70
2007-08-18,1.02,24.45
2007-08-19,0.89,24.28
2007-08-20,1.50,25.80
2007-08-21,1.50,26.09
2007-08-22,1.25,26.39
2007-08-23,1.20,26.02
2007-08-24,1.32,25.72
2007-08-25,1.05,25.69
2007-08-26,1.25,27.00
2007-08-27,1.49,28.17
2007-08-28,1.55,25.52
2007-08-29,1.27,28.06
2007-08-30,1.77,28.86
2007-08-31,1.80,27.24
2007-09-01,1.05,25.48
2007-09-02,1.17,25.80
2007-09-03,1.41,26.76
2007-09-04,1.99,27.61
2007-09-05,1.89,28.54
2007-09-06,1.70,27.92
2007-09-07,1.32,27.02
2007-09-08,1.35,26.99
2007-09-09,1.10,27.20
2007-09-10,1.33,28.33
2007-09-11,0.99,28.05
2007-09-12,1.27,28.91
2007-09-13,1.83,29.75
2007-09-14,1.87,29.70
2007-09-15,1.32,30.36
2007-09-16,1.19,30.17
2007-09-17,1.30,30.17
2007-09-18,1.17,30.54
2007-09-19,1.46,30.12
2007-09-20,1.33,30.88
2007-09-21,1.39,30.35
2007-09-22,1.40,30.25
2007-09-23,0.91,29.58
2007-09-24,2.29,29.27
2007-09-25,1.08,26.85
2007-09-26,1.98,29.30
2007-09-27,2.00,29.25
2007-09-28,1.61,29.72
2007-09-29,1.21,29.63
2007-09-30,1.53,31.38
2007-10-01,2.10,31.59
2007-10-02,1.83,30.08
2007-10-03,1.34,29.88
2007-10-04,1.23,30.33
2007-10-05,1.85,29.83
2007-10-06,1.80,29.58
2007-10-07,1.07,26.55
2007-10-08,1.86,30.00
2007-10-09,1.77,30.68
2007-10-10,1.71,30.71
2007-10-11,1.51,31.02
2007-10-12,2.09,29.56
2007-10-13,1.38,27.08
2007-10-14,1.35,29.23
2007-10-15,1.50,24.08
2007-10-16,1.57,28.15
2007-10-17,1.00,31.55
2007-10-18,1.59,30.35
2007-10-19,1.63,24.90
2007-10-20,0.85,29.11
2007-10-21,1.39,29.45
2007-10-22,1.20,28.51
2007-10-23,2.46,27.96
2007-10-24,1.22,25.15
2007-10-25,1.44,23.80
2007-10-26,1.05,26.66
2007-10-27,1.45,28.29
2007-10-28,1.25,30.57
2007-10-29,1.65,31.45
2007-10-30,1.78,29.54
2007-10-31,1.58,28.50
2007-11-01,1.26,27.95
2007-11-02,1.28,28.20
2007-11-03,1.32,27.51
2007-11-04,1.63,26.96
2007-11-05,,
2007-11-06,,
2007-11-07,,
2007-11-08,,
2007-11-09,,
2007-11-10,,
2007-11-11,,
2007-11-12,,
2007-11-13,,
2007-11-14,,
2007-11-15,,
2007-11-16,,
2007-11-17,,
2007-11-18,,
2007-11-19,,
2007-11-20,2.05,31.85
2007-11-21,1.08,29.46
2007-11-22,1.36,30.50
2007-11-23,1.88,26.02
2007-11-24,0.96,24.26
2007-11-25,1.11,24.79
2007-11-26,1.73,26.50
2007-11-27,1.46,27.48
2007-11-28,1.50,27.18
2007-11-29,1.48,24.48
2007-11-30,0.96,25.41
2007-12-01,1.27,26.22
2007-12-02,1.46,26.18
2007-12-03,1.49,27.02
2007-12-04,1.25,25.54
2007-12-05,1.33,24.58
2007-12-06,0.73,24.57
2007-12-07,1.06,25.17
2007-12-08,1.31,26.64
2007-12-09,1.36,26.65
2007-12-10,1.62,25.25
2007-12-11,1.00,24.40
2007-12-12,1.12,27.02
2007-12-13,0.72,28.83
2007-12-14,1.79,26.61
2007-12-15,1.25,26.22
2007-12-16,1.11,27.35
2007-12-17,1.45,27.25
2007-12-18,1.77,26.99
2007-12-19,1.18,25.82
2007-12-20,1.35,25.25
2007-12-21,,
2007-12-22,0.50,28.88
2007-12-23,1.64,25.03
2007-12-24,1.03,26.36
2007-12-25,1.62,25.90
2007-12-26,1.45,25.24
2007-12-27,0.73,25.94
2007-12-28,0.96,26.42
2007-12-29,1.12,27.89
2007-12-30,1.48,26.46
2007-12-31,1.37,25.40
2008-01-01,1.12,26.16
2008-01-02,1.73,27.35
2008-01-03,1.13,26.66
2008-01-04,1.11,27.23
2008-01-05,1.05,28.23
2008-01-06,1.59,28.42
2008-01-07,1.60,24.52
2008-01-08,1.47,24.95
2008-01-09,0.97,24.84
2008-01-10,1.04,25.26
2008-01-11,1.35,25.40
2008-01-12,1.02,26.36
2008-01-13,1.02,26.93
2008-01-14,1.31,27.50
2008-01-15,1.65,23.11
2008-01-16,1.51,23.74
2008-01-17,1.72,23.56
2008-01-18,0.98,24.98
2008-01-19,1.14,25.49
2008-01-20,0.94,24.83
2008-01-21,0.84,24.05
2008-01-22,1.10,24.36
2008-01-23,1.12,24.08
2008-01-24,0.73,25.60
2008-01-25,1.32,24.56
2008-01-26,0.44,24.77
2008-01-27,1.36,24.44
2008-01-28,0.80,23.55
2008-01-29,0.90,23.60
2008-01-30,1.02,23.17
2008-01-31,1.10,24.58
2008-02-01,0.74,25.82
2008-02-02,1.21,24.80
2008-02-03,1.73,23.88
2008-02-04,1.60,24.20
2008-02-05,1.05,24.53
2008-02-06,0.88,24.42
2008-02-07,1.23,24.12
2008-02-08,0.92,25.73
2008-02-09,1.17,25.88
2008-02-10,1.35,26.52
2008-02-11,1.26,26.40
2008-02-12,1.05,27.20
2008-02-13,1.33,27.57
2008-02-14,0.92,26.79
2008-02-15,1.39,25.91
2008-02-16,1.49,24.35
2008-02-17,1.27,24.92
2008-02-18,0.94,25.10
2008-02-19,1.66,24.72
2008-02-20,1.34,25.71
2008-02-21,0.80,25.57
2008-02-22,0.95,26.22
2008-02-23,0.64,26.45
2008-02-24,0.73,26.41
2008-02-25,0.99,26.08
2008-02-26,0.90,24.63
2008-02-27,0.57,25.55
2008-02-28,1.14,24.88
2008-02-29,1.30,25.37
2008-03-01,1.75,24.79
2008-03-02,1.24,26.00
2008-03-03,1.60,26.24
2008-03-04,1.48,24.72
2008-03-05,0.63,23.93
2008-03-06,0.65,24.53
2008-03-07,1.12,24.88
2008-03-08,0.78,23.92
2008-03-09,1.07,25.19
2008-03-10,1.04,25.13
2008-03-11,0.93,24.99
2008-03-12,1.35,26.07
2008-03-13,1.51,25.38
2008-03-14,1.24,22.91
2008-03-15,1.05,24.72
2008-03-16,1.38,23.90
2008-03-17,0.74,24.75
2008-03-18,1.19,23.90
2008-03-19,1.23,24.46
2008-03-20,1.08,24.42
2008-03-21,1.38,25.18
2008-03-22,0.70,25.84
2008-03-23,1.02,26.55
2008-03-24,0.97,26.86
2008-03-25,0.77,26.73
2008-03-26,1.12,26.55
2008-03-27,0.75,27.16
2008-03-28,1.00,26.24
2008-03-29,0.41,26.19
2008-03-30,1.15,27.20
2008-03-31,0.73,26.54
2008-04-01,1.25,26.05
2008-04-02,0.44,24.99
2008-04-03,1.42,24.88
2008-04-04,0.80,24.67
2008-04-05,0.79,24.28
2008-04-06,1.40,24.38
2008-04-07,0.68,23.87
2008-04-08,0.70,25.58
2008-04-09,0.09,23.18
2008-04-10,,
2008-04-11,,
2008-04-12,,
2008-04-13,,
2008-04-14,,
2008-04-15,,
2008-04-16,,
2008-04-17,,
2008-04-18,1.61,27.29
2008-04-19,0.88,25.43
2008-04-20,0.78,24.73
2008-04-21,0.96,25.57
2008-04-22,0.86,25.04
2008-04-23,0.70,25.02
2008-04-24,0.64,26.10
2008-04-25,0.90,26.26
2008-04-26,0.71,26.76
2008-04-27,0.60,27.21
2008-04-28,0.54,27.06
2008-04-29,0.37,26.48
2008-04-30,0.93,25.47
2008-05-01,0.92,25.70
2008-05-02,1.76,24.67
2008-05-03,1.35,21.66
2008-05-04,0.74,21.70
2008-05-05,0.55,22.80
2008-05-06,0.89,24.11
2008-05-07,0.29,25.50
2008-05-08,0.80,25.73
2008-05-09,0.53,25.86
2008-05-10,0.42,26.25
2008-05-11,0.84,26.20
2008-05-12,0.78,25.39
2008-05-13,0.77,25.81
2008-05-14,0.62,25.31
2008-05-15,0.69,25.00
2008-05-16,0.62,24.56
2008-05-17,1.14,24.91
2008-05-18,0.65,24.93
2008-05-19,0.83,25.27
2008-05-20,0.95,24.85
2008-05-21,0.86,23.35
2008-05-22,0.83,23.41
2008-05-23,0.75,23.01
2008-05-24,0.61,22.23
2008-05-25,0.66,22.77
2008-05-26,0.53,23.42
2008-05-27,0.85,23.98
2008-05-28,0.45,24.02
2008-05-29,0.95,24.88
2008-05-30,1.05,24.00
2008-05-31,0.70,23.40
2008-06-01,0.82,23.92
2008-06-02,0.87,24.92
2008-06-03,0.87,24.50
2008-06-04,0.51,23.10
2008-06-05,0.73,23.30
2008-06-06,0.65,23.43
2008-06-07,0.94,23.56
2008-06-08,1.00,23.94
2008-06-09,0.55,23.87
2008-06-10,0.81,24.42
2008-06-11,0.74,23.40
2008-06-12,0.80,23.77
2008-06-13,0.43,23.76
2008-06-14,0.55,23.24
2008-06-15,0.34,23.30
2008-06-16,1.31,23.15
2008-06-17,0.64,23.45
2008-06-18,0.85,23.01
2008-06-19,1.15,23.12
2008-06-20,0.40,24.07
2008-06-21,0.62,23.23
2008-06-22,1.11,23.13
2008-06-23,1.15,23.80
2008-06-24,1.08,23.36
2008-06-25,1.00,23.04
2008-06-26,0.98,23.65
2008-06-27,1.02,23.27
2008-06-28,0.81,22.80
2008-06-29,1.04,22.11
2008-06-30,0.45,22.74
2008-07-01,0.75,23.50
2008-07-02,1.04,22.90
2008-07-03,0.81,23.30
2008-07-04,0.87,22.36
2008-07-05,0.69,21.98
2008-07-06,0.82,21.59
2008-07-07,0.65,23.99
2008-07-08,1.30,24.03
2008-07-09,1.20,22.55
2008-07-10,0.73,21.04
2008-07-11,1.16,22.23
2008-07-12,1.51,24.87
2008-07-13,1.07,24.52
2008-07-14,1.60,24.29
2008-07-15,1.32,21.48
2008-07-16,1.48,22.29
2008-07-17,1.30,21.40
2008-07-18,0.78,22.34
2008-07-19,0.91,23.34
2008-07-20,0.68,23.95
2008-07-21,1.40,23.56
2008-07-22,1.39,23.42
2008-07-23,1.08,22.75
2008-07-24,1.07,23.25
2008-07-25,1.21,23.86
2008-07-26,1.43,25.75
2008-07-27,1.50,23.71
2008-07-28,1.23,22.86
2008-07-29,1.04,22.85
2008-07-30,1.16,22.61
2008-07-31,0.98,23.14
2008-08-01,0.92,23.59
2008-08-02,0.88,24.95
2008-08-03,1.40,24.87
2008-08-04,1.00,25.27
2008-08-05,0.82,26.49
2008-08-06,1.52,28.27
2008-08-07,1.52,26.84
2008-08-08,1.09,26.87
2008-08-09,0.91,26.73
2008-08-10,1.31,26.47
2008-08-11,1.52,26.32
2008-08-12,1.81,27.25
2008-08-13,1.33,25.33
2008-08-14,1.25,24.60
2008-08-15,1.45,24.93
2008-08-16,1.80,26.10
2008-08-17,1.00,25.31
2008-08-18,1.02,25.44
2008-08-19,1.22,26.47
2008-08-20,1.15,25.00
2008-08-21,1.15,24.86
2008-08-22,0.96,25.01
2008-08-23,1.42,25.43
2008-08-24,1.17,25.81
2008-08-25,1.78,28.64
2008-08-26,1.15,27.19
2008-08-27,1.26,25.98
2008-08-28,1.26,26.57
2008-08-29,1.10,28.71
2008-08-30,1.09,27.10
2008-08-31,1.52,27.82
2008-09-01,1.15,27.63
2008-09-02,1.39,27.17
2008-09-03,1.87,28.53
2008-09-04,1.10,28.16
2008-09-05,1.16,27.98
2008-09-06,2.16,28.95
2008-09-07,1.59,28.26
2008-09-08,1.53,29.69
2008-09-09,0.87,29.18
2008-09-10,1.45,29.89
2008-09-11,1.64,30.06
2008-09-12,1.41,29.44
2008-09-13,1.24,29.15
2008-09-14,1.05,29.13
2008-09-15,1.20,30.20
2008-09-16,1.54,29.54
2008-09-17,1.39,27.30
2008-09-18,0.90,28.88
2008-09-19,1.54,29.77
2008-09-20,0.82,25.24
2008-09-21,1.11,22.42
2008-09-22,1.05,23.48
2008-09-23,0.80,23.83
2008-09-24,1.35,26.21
2008-09-25,1.09,29.27
2008-09-26,1.87,29.02
2008-09-27,1.58,29.28
2008-09-28,1.60,29.20
2008-09-29,1.35,30.73
2008-09-30,1.14,28.61
2008-10-01,1.29,30.63
2008-10-02,1.20,26.44
2008-10-03,1.23,26.02
2008-10-04,0.85,29.61
2008-10-05,1.53,29.63
2008-10-06,1.20,26.44
2008-10-07,1.76,27.95
2008-10-08,1.51,29.69
2008-10-09,2.26,29.83
2008-10-10,1.75,30.30
2008-10-11,1.24,29.52
2008-10-12,1.68,28.55
2008-10-13,1.42,30.01
2008-10-14,1.42,30.70
2008-10-15,1.05,31.39
2008-10-16,1.10,31.43
2008-10-17,1.38,30.74
2008-10-18,2.28,29.64
2008-10-19,1.58,28.02
2008-10-20,2.17,27.26
2008-10-21,1.96,22.46
2008-10-22,0.87,24.33
2008-10-23,1.05,28.68
2008-10-24,1.14,29.68
